Transcription-Units	Genes of transcription unit	Direction
TU8J2-3037	BSU04800 // BSU04810 // BSU04820	-
TU8J2-424	BSU35520	+
TU8J2-371	BSU36890	-
TU8J2-757	BSU19950	+
TU8J2-703	BSU23620	+
TU8J2-1497	BSU26880	+
TU8J2-1445	BSU19120	-
TU8J2-340	BSU37650	-
TU8J2-3020	BSU34800	-
TU8J2-41	BSU36640 // BSU36650 // BSU36660	-
TU8J2-357	BSU37210	+
TU8J2-742	BSU21950	+
TU8J2-689	BSU23890	+
TU8J2-1482	BSU25080	-
TU8J2-1430	BSU17830	-
TU8J2-325	BSU38090	+
TU8J2-3005	BSU16490	+
TU8J2-396	BSU36340	-
TU8J2-674	BSU24500 // BSU24490	+
TU8J2-728	BSU22540 // BSU22550 // BSU22560	-
TU8J2-1416	BSU14630	-
TU8J2-1468	BSU22250	-
TU8J2-2986	BSU16920 // BSU16910	+
TU8J2-310	BSU38460	+
TU8J2-1171	BSU01980 // BSU01970 // BSU01960 // BSU01950 // BSU01935 // BSU01920 // BSU01910	+
TU8J2-381	BSU36640 // BSU36650 // BSU36660	-
TU8J2-66	BSU27300 // BSU27310	-
TU8J2-713	BSU23300	-
TU8J2-1401	BSU13350	-
TU8J2-1455	BSU19639	+
TU8J2-992	BSU08280 // BSU08270 // BSU08260	+
TU8J2-3032	BSU03730 // BSU03740	-
TU8J2-2962	BSU02240	+
TU8J2-367	BSU36970	-
TU8J2-1157	BSU02520 // BSU02510 // BSU02500 // BSU02490 // BSU02480 // BSU02470 // BSU02460	+
TU8J2-699	BSU23720	+
TU8J2-645	BSU25840 // BSU25830	+
TU8J2-1440	BSU18820	+
TU8J2-1388	BSU11820	-
TU8J2-3016	BSU13460 // BSU13450	+
TU8J2-978	BSU08490 // BSU08500 // BSU08510	-
TU8J2-352	BSU37310 // BSU37320	-
TU8J2-2948	BSU12030 // BSU12020 // BSU12010	+
TU8J2-684	BSU24110	+
TU8J2-1142	BSU02820	+
TU8J2-1426	BSU17630	+
TU8J2-630	BSU27630	-
TU8J2-300	BSU38650 // BSU38660 // BSU38670 // BSU38680 // BSU38690 // BSU38700	-
TU8J2-1373	BSU09980	+
TU8J2-67	BSU28320	+
TU8J2-963	BSU08960	+
TU8J2-1411	BSU13970	-
TU8J2-281	G8J2-180 // BSU39010	-
TU8J2-2978	BSU10730	-
TU8J2-1128	BSU03140	-
TU8J2-1167	BSU02080 // BSU02070	+
TU8J2-616	BSU28070	-
TU8J2-655	BSU25520 // BSU25530	-
TU8J2-1359	BSU08779	-
TU8J2-1398	BSU12470	-
TU8J2-949	BSU09410	-
TU8J2-988	BSU08360	+
TU8J2-267	BSU39400 // BSU39410 // BSU39420 // BSU39430	-
TU8J2-2958	BSU35490	-
TU8J2-1113	BSU03530	+
TU8J2-1152	BSU02660	+
TU8J2-601	BSU28410	-
TU8J2-640	BSU26990 // BSU26980 // BSU26970 // BSU26960 // BSU26950	+
TU8J2-1344	BSU05680	+
TU8J2-1383	BSU11030	+
TU8J2-934	BSU10010	-
TU8J2-973	BSU08600	+
TU8J2-252	BSU39840	+
TU8J2-291	BSU38830	+
TU8J2-11	BSU00880 // BSU00870 // BSU00860 // BSU00850 // BSU00840 // BSU00830	+
TU8J2-1138	BSU03000 // BSU02990 // BSU02980	+
TU8J2-588	BSU28690	+
TU8J2-626	BSU27810	+
TU8J2-133	BSU11990	-
TU8J2-1369	BSU09880	+
TU8J2-585	BSU28810	-
TU8J2-959	BSU09100	-
TU8J2-1327	BSU04039	-
TU8J2-277	BSU39070 // BSU39080	-
TU8J2-917	BSU10610	-
TU8J2-1123	BSU03330	+
TU8J2-235	BSU40140 // BSU40150 // BSU40160 // BSU40170 // BSU40180	-
TU8J2-611	BSU28190 // BSU28200	-
TU8J2-1082	BSU04370 // BSU04380	-
TU8J2-1354	BSU07220	-
TU8J2-570	BSU29160	+
TU8J2-944	BSU09460	+
TU8J2-1312	BSU31570 // BSU31560 // BSU31550 // BSU31540	+
TU8J2-262	BSU39580	+
TU8J2-902	BSU11730	+
TU8J2-1109	BSU03660	+
TU8J2-220	BSU40530	+
TU8J2-598	BSU28470	-
TU8J2-1068	BSU05440	-
TU8J2-134	BSU07840	-
TU8J2-556	BSU29500 // BSU29510	-
TU8J2-93	BSU36250 // BSU36260	-
TU8J2-1299	BSU30700	-
TU8J2-248	BSU39930 // BSU39920 // BSU39910 // BSU39900 // BSU39890	+
TU8J2-889	BSU12510	-
TU8J2-1095	BSU04000	+
TU8J2-206	BSU40880 // BSU40870	-
TU8J2-1092	BSU04030	+
TU8J2-1053	BSU06160 // BSU06150	+
TU8J2-580	BSU28920	-
TU8J2-541	BSU29760 // BSU29770 // BSU29780	-
TU8J2-1322	BSU03110	-
TU8J2-1284	BSU_misc_RNA_55	-
TU8J2-912	BSU11250 // BSU11240 // BSU11230 // BSU11220 // BSU11210 // BSU11200 // BSU11190	+
TU8J2-874	BSU13470	-
TU8J2-230	BSU40290	-
TU8J2-191	BSU18280	-
TU8J2-1078	BSU04470 // BSU04460 // BSU04450	+
TU8J2-1039	BSU06839 // BSU06830	+
TU8J2-566	BSU29240 // BSU29239	+
TU8J2-527	BSU30320	-
TU8J2-1308	BSU07150	-
TU8J2-127	BSU00130	+
TU8J2-899	BSU11880 // BSU11870	+
TU8J2-86	BSU23830	+
TU8J2-216	BSU40620 // BSU40610 // BSU40600 // BSU40590 // BSU40580	+
TU8J2-177	BSU33780 // BSU33790	-
TU8J2-1063	BSU05630	-
TU8J2-1024	BSU07450 // BSU07460	-
TU8J2-551	BSU29610	-
TU8J2-512	BSU30840	+
TU8J2-1294	BSU18130	+
TU8J2-1255	BSU05720	+
TU8J2-884	BSU12960 // BSU12950 // BSU12940 // BSU12930 // BSU12920	+
TU8J2-845	BSU14800	-
TU8J2-201	BSU40990 // BSU41000 // BSU41010 // BSU41020	-
TU8J2-162	BSU21440 // BSU21450 // BSU21460 // BSU21470	-
TU8J2-1049	BSU06240	-
TU8J2-101	BSU24940 // BSU24930	+
TU8J2-537	BSU29930	-
TU8J2-499	BSU31290	-
TU8J2-128	BSU25260 // BSU25270	-
TU8J2-1240	BSU08220 // BSU08210	+
TU8J2-87	BSU27180	-
TU8J2-830	BSU15950 // BSU15940 // BSU15930	+
TU8J2-187	BSU11790	+
TU8J2-1570	BSU37300	+
TU8J2-1034	BSU07320	-
TU8J2-484	BSU31660 // BSU31650 // BSU31640 // BSU31630 // BSU31620 // BSU31610 // BSU31600	+
TU8J2-522	BSU30500	-
TU8J2-1220	BSU11720	+
TU8J2-1265	BSU34820	-
TU8J2-817	BSU16940	+
TU8J2-855	BSU14240	+
TU8J2-1556	BSU34650	+
TU8J2-172	BSU27240 // BSU27250 // BSU27260 // BSU27270 // BSU27280	-
TU8J2-47	BSU08600	+
TU8J2-102	BSU06580 // BSU06570	+
TU8J2-1206	BSU_rRNA_26 // BSU_rRNA_5 // BSU_tRNA_9 // BSU_tRNA_8 // BSU_rRNA_4	+
TU8J2-508	BSU30930	+
TU8J2-802	BSU17840	+
TU8J2-1250	BSU11810 // BSU11809	+
TU8J2-1541	BSU32920	+
TU8J2-840	BSU15090	+
TU8J2-455	BSU33080 // BSU33090 // BSU33100 // BSU33110 // BSU33120 // BSU33130	-
TU8J2-1580	BSU24180 // BSU24190 // BSU24200	-
TU8J2-1192	BSU00630 // BSU00620 // BSU00610 // BSU00600 // BSU00590 // BSU00580 // BSU00570	+
TU8J2-1005	BSU07970	+
TU8J2-789	BSU18120	+
TU8J2-494	BSU31380	+
TU8J2-1527	BSU31810	+
TU8J2-1235	BSU35609 // BSU35610 // BSU35540 // BSU35550 // BSU35560 // BSU35570 // BSU35580 // BSU35590 // BSU35600	-
TU8J2-440	BSU34430 // BSU34440	-
TU8J2-826	BSU16100 // BSU16090	+
TU8J2-1178	BSU01600 // BSU01610 // BSU01620 // BSU01630	-
TU8J2-1566	BSU36590	+
TU8J2-773	BSU18920 // BSU18910	+
TU8J2-48	BSU30650	-
TU8J2-1512	BSU29870	+
TU8J2-1216	BSU00020 // BSU00010	+
TU8J2-426	BSU35480	-
TU8J2-812	BSU17310	-
TU8J2-759	BSU19800	-
TU8J2-1551	BSU33880	-
TU8J2-1499	BSU27000	-
TU8J2-465	BSU32570 // BSU32580 // BSU32590 // BSU32600 // BSU32610 // BSU32620 // BSU32630	-
TU8J2-342	BSU37620	+
TU8J2-1201	BSU00400	+
TU8J2-411	BSU35960 // BSU35950 // BSU35940 // BSU35930 // BSU35920 // BSU35910	+
TU8J2-799	BSU17890	+
TU8J2-744	BSU21910	+
TU8J2-1537	BSU32330	-
TU8J2-1484	BSU25120	+
TU8J2-450	BSU33410	+
TU8J2-327	BSU38060	+
TU8J2-1188	BSU00730	+
TU8J2-398	BSU36280	+
TU8J2-783	BSU18530 // BSU18520 // BSU18510	+
TU8J2-73	BSU24230	-
TU8J2-1522	BSU31030	+
TU8J2-147	BSU12500	-
TU8J2-436	BSU34540	+
TU8J2-312	BSU38420 // BSU38410	+
TU8J2-769	BSU19180	+
TU8J2-383	BSU36600	-
TU8J2-1508	BSU29540	+
TU8J2-715	BSU23200 // BSU23210 // BSU23220	-
TU8J2-421	BSU35670	+
TU8J2-14564	BSU12170 // BSU12160	+
TU8J2-754	BSU21710	-
TU8J2-3034	BSU03780 // BSU03770 // BSU03760 // BSU03750	+
TU8J2-1494	BSU26350	+
TU8J2-369	BSU36910 // BSU36920	-
TU8J2-338	BSU37670	+
TU8J2-700	BSU23650 // BSU23660 // BSU23670 // BSU23680 // BSU23690	-
TU8J2-407	BSU36040	-
TU8J2-1442	BSU18860	-
TU8J2-74	BSU18030 // BSU18020	+
TU8J2-3018	BSU36530	+
TU8J2-148	BSU09810	-
TU8J2-354	BSU37250 // BSU37260 // BSU37270 // BSU37280	-
TU8J2-322	BSU38130	+
TU8J2-686	BSU24030 // BSU24040 // BSU24050 // BSU24060 // BSU24070 // BSU24080 // BSU24090	-
TU8J2-393	BSU36390 // BSU36400 // BSU36410 // BSU36420 // BSU36430	-
TU8J2-1428	BSU17680	+
TU8J2-725	BSU22790	-
TU8J2-3002	BSU27009	+
TU8J2-1465	BSU20780	+
TU8J2-671	BSU24620 // BSU24630 // BSU24640	-
TU8J2-308	BSU38480	-
TU8J2-1413	BSU14420	-
TU8J2-379	BSU36690	-
TU8J2-2980	BSU26830	-
TU8J2-710	BSU23370	+
TU8J2-1169	BSU02050	+
TU8J2-1452	BSU19540	-
TU8J2-657	BSU25370 // BSU25380 // BSU25390	-
TU8J2-303	BSU38600	-
TU8J2-14	BSU16480 // BSU16470 // BSU16460 // BSU16450 // BSU16440 // BSU16430 // BSU16420 // BSU16410 // BSU16400 // BSU16390 // BSU16380 // BSU16370 // BSU16360 // BSU16350 // BSU16340 // BSU16330 // BSU16320 // BSU16310 // BSU16300 // BSU16299 // BSU16290 // BSU16280 // BSU16270 // BSU16260 // BSU16250 // BSU16240 // BSU16230 // BSU16220 // BSU16210 // BSU16200 // BSU16190 // BSU16180	+
TU8J2-364	BSU37070	-
TU8J2-99	BSU35250 // BSU35260	-
TU8J2-696	BSU23800	+
TU8J2-296	BSU38770	+
TU8J2-1438	BSU18770	+
TU8J2-1154	BSU02610	+
TU8J2-3012	BSU11040 // BSU11055 // BSU11070	-
TU8J2-642	BSU26670	+
TU8J2-35	BSU09500 // BSU09510 // BSU09520	-
TU8J2-1385	BSU11270	-
TU8J2-681	BSU24220	-
TU8J2-975	BSU08550	-
TU8J2-1423	BSU15640	-
TU8J2-293	BSU38800	-
TU8J2-2999	BSU04770 // BSU04760 // BSU04750	+
TU8J2-114	BSU09340 // BSU09330 // BSU09320	+
TU8J2-667	BSU24760	-
TU8J2-628	BSU27670	+
TU8J2-1409	BSU13810	-
TU8J2-1370	BSU09889	-
TU8J2-2972	BSU19460 // BSU19470 // BSU19479 // BSU19480	-
TU8J2-960	BSU09090 // BSU09080 // BSU09070 // BSU09060 // BSU09050 // BSU09040 // BSU09030 // BSU09020 // BSU09010 // BSU09000 // BSU08990	+
TU8J2-1164	BSU02110	-
TU8J2-279	BSU39040 // BSU39050	-
TU8J2-652	BSU25600	+
TU8J2-1125	BSU03270	+
TU8J2-1395	BSU12230	+
TU8J2-613	BSU28120 // BSU28130 // BSU28140 // BSU28150 // BSU28160 // BSU28170	-
TU8J2-985	BSU08400	-
TU8J2-1356	BSU07240	-
TU8J2-2955	BSU14530 // BSU14540	-
TU8J2-946	BSU09440	+
TU8J2-115	BSU34690 // BSU34700	-
TU8J2-264	BSU39530 // BSU39540	-
TU8J2-638	BSU27130 // BSU27120	+
TU8J2-1110	BSU03590 // BSU03600 // BSU03610	-
TU8J2-1380	BSU10820	-
TU8J2-6	BSU13700	-
TU8J2-970	BSU08660 // BSU08650 // BSU08630	+
TU8J2-1341	BSU05370	+
TU8J2-289	BSU38850	+
TU8J2-931	BSU10140 // BSU10130 // BSU10120	+
TU8J2-1135	BSU03030	+
TU8J2-25	BSU03000 // BSU02990 // BSU02980	+
TU8J2-623	BSU27890 // BSU27880	+
TU8J2-1097	BSU03970	+
TU8J2-1366	BSU09480	-
TU8J2-582	BSU28890	+
TU8J2-956	BSU09230	+
TU8J2-1324	BSU03560	+
TU8J2-274	BSU39220 // BSU39230	-
TU8J2-914	BSU10790	+
TU8J2-1120	BSU03400	+
TU8J2-232	BSU40250	-
TU8J2-609	BSU28220	-
TU8J2-108	BSU22270 // BSU22280	-
TU8J2-1351	BSU06590	-
TU8J2-568	BSU29200	-
TU8J2-941	BSU09540 // BSU09530	+
TU8J2-131	BSU17400 // BSU17390 // BSU17380 // BSU17370	+
TU8J2-26	BSU06660	-
TU8J2-90	BSU29400	+
TU8J2-1106	BSU03790	-
TU8J2-218	BSU40550	+
TU8J2-595	BSU28520 // BSU28530 // BSU28540 // BSU28550 // BSU28560	-
TU8J2-1065	BSU05530	-
TU8J2-1337	BSU05290	-
TU8J2-553	BSU29570	-
TU8J2-927	BSU10330	+
TU8J2-1296	BSU35400 // BSU35410 // BSU35420 // BSU35430	-
TU8J2-245	BSU39970 // BSU39980	-
TU8J2-886	BSU12900	-
TU8J2-109	BSU12870	+
TU8J2-203	BSU40960 // BSU40970	-
TU8J2-578	BSU28950	-
TU8J2-1050	BSU06230	+
TU8J2-132	BSU32540	+
TU8J2-539	BSU29880	-
TU8J2-91	BSU05880 // BSU05870 // BSU05860 // BSU05850 // BSU05840 // BSU05830 // BSU05820 // BSU05810	+
TU8J2-1281	BSU_misc_RNA_55 // BSU33600 // BSU33610 // BSU33620 // BSU33630	-
TU8J2-228	BSU40320 // BSU40330 // BSU40340	-
TU8J2-871	BSU13680 // BSU13690	-
TU8J2-1075	BSU04550	-
TU8J2-189	BSU22240	+
TU8J2-563	BSU29280 // BSU29290 // BSU29300 // BSU29310 // BSU29320 // BSU29330 // BSU29340 // BSU29350 // BSU29360 // BSU29370 // BSU29380 // BSU29390	-
TU8J2-1036	BSU07260	+
TU8J2-1305	BSU28850 // BSU28860 // BSU28870	-
TU8J2-524	BSU30370	-
TU8J2-896	BSU12090	-
TU8J2-1267	BSU03280 // BSU03290 // BSU03300	-
TU8J2-213	BSU40660	-
TU8J2-857	BSU14140 // BSU14130 // BSU14120 // BSU14110 // BSU14100	+
TU8J2-1060	BSU05790	+
TU8J2-174	BSU08870 // BSU08860 // BSU08850 // BSU08840 // BSU08830	+
TU8J2-549	BSU29640	+
TU8J2-1021	BSU07550	+
TU8J2-1291	G8J2-7	+
TU8J2-51	BSU29100 // BSU29110	-
TU8J2-881	BSU13140	+
TU8J2-1252	BSU11809	+
TU8J2-199	BSU41060	-
TU8J2-842	BSU14960 // BSU14950	+
TU8J2-1046	BSU06300	-
TU8J2-16	BSU06310	-
TU8J2-534	BSU30000 // BSU30010	-
TU8J2-1007	BSU07930 // BSU07920	+
TU8J2-1277	BSU13000 // BSU12990 // BSU12980 // BSU12970	+
TU8J2-496	BSU31360	-
TU8J2-867	BSU13820	+
TU8J2-1238	BSU05890 // BSU05899	-
TU8J2-184	BSU13550 // BSU13560	-
TU8J2-828	BSU15980 // BSU15970	+
TU8J2-1031	BSU07360 // BSU07350	+
TU8J2-1568	BSU36790	+
TU8J2-52	BSU18350 // BSU18360	-
TU8J2-481	BSU31700 // BSU31710	-
TU8J2-1262	BSU19230	-
TU8J2-1218	BSU11340 // BSU11330	+
TU8J2-852	BSU14400 // BSU14390 // BSU14380	+
TU8J2-814	BSU17030	+
TU8J2-17	BSU35670	+
TU8J2-1553	BSU34000	+
TU8J2-1017	BSU07620 // BSU07610	+
TU8J2-467	BSU32470 // BSU32480 // BSU32490 // BSU32500 // BSU32510	-
TU8J2-505	BSU31000 // BSU31010 // BSU31020	-
TU8J2-1203	BSU00370	-
TU8J2-1248	BSU40890 // BSU40900 // BSU40910 // BSU40920	-
TU8J2-80	BSU08620	-
TU8J2-838	BSU15160 // BSU15150 // BSU15140 // BSU15130	+
TU8J2-1539	BSU32550	-
TU8J2-1578	BSU33520	-
TU8J2-452	BSU33320	+
TU8J2-1002	BSU08000	-
TU8J2-119	BSU27020	+
TU8J2-491	BSU31430	-
TU8J2-785	BSU18440 // BSU18450	-
TU8J2-1232	BSU37690 // BSU37700 // BSU37710 // BSU37720 // BSU37730 // BSU37740	-
TU8J2-1524	BSU31470	-
TU8J2-8231	BSU03940 // BSU03950 // BSU03960	-
TU8J2-438	BSU34510	-
TU8J2-1563	BSU36160	+
TU8J2-770	BSU19110	+
TU8J2-477	BSU31750	-
TU8J2-151	BSU05650 // BSU05640	+
TU8J2-1213	BSU_rRNA_3 // BSU_rRNA_2 // BSU_tRNA_6 // BSU_tRNA_5 // BSU_rRNA_1	+
TU8J2-423	BSU35620 // BSU35630 // BSU35640	-
TU8J2-81	BSU36530	+
TU8J2-756	BSU21680	-
TU8J2-1549	BSU33840	+
TU8J2-1496	BSU26850	+
TU8J2-462	BSU32990	+
TU8J2-34	BSU_rRNA_3 // BSU_rRNA_2 // BSU_tRNA_6 // BSU_tRNA_5 // BSU_rRNA_1	+
TU8J2-12	BSU23490 // BSU23500	-
TU8J2-409	BSU35990	-
TU8J2-796	BSU17950 // BSU17940 // BSU17930	+
TU8J2-741	BSU21960	-
TU8J2-1534	BSU32220	+
TU8J2-1481	BSU25050	-
TU8J2-448	BSU33470 // BSU33480	-
TU8J2-324	BSU38100 // BSU38110	-
TU8J2-1185	BSU00910 // BSU00900 // BSU00890	+
TU8J2-395	BSU36360	-
TU8J2-780	BSU18600	+
TU8J2-727	BSU22600 // BSU22610 // BSU22620 // BSU22630 // BSU22640 // BSU22650 // BSU22660 // BSU22670 // BSU22680	-
TU8J2-152	BSU35680 // BSU35690	-
TU8J2-1467	BSU22169	+
TU8J2-433	BSU35160 // BSU35170	-
TU8J2-31	BSU_rRNA_26 // BSU_rRNA_5 // BSU_tRNA_9 // BSU_tRNA_8 // BSU_rRNA_4	+
TU8J2-766	BSU_misc_RNA_32	-
TU8J2-380	BSU36670 // BSU36680	-
TU8J2-1505	BSU27690	+
TU8J2-712	BSU23310	-
TU8J2-419	BSU35760 // BSU35750	+
TU8J2-1454	BSU19590	-
TU8J2-751	BSU21790	+
TU8J2-3031	BSU18190 // BSU18180 // BSU18170	+
TU8J2-1491	BSU25730	-
TU8J2-366	BSU36990	-
TU8J2-335	BSU37790	-
TU8J2-698	BSU23740 // BSU23730	+
TU8J2-404	BSU36070	+
TU8J2-144	BSU18930 // BSU18940 // BSU18950	-
TU8J2-737	BSU22030	-
TU8J2-3015	BSU31070	+
TU8J2-1477	BSU24780	+
TU8J2-351	BSU37330	-
TU8J2-32	BSU_tRNA_72 // BSU_tRNA_71 // BSU_tRNA_70 // BSU_tRNA_69 // BSU_tRNA_68 // BSU_tRNA_67 // BSU_tRNA_66 // BSU_tRNA_65 // BSU_tRNA_64 // BSU_tRNA_63 // BSU_tRNA_62 // BSU_tRNA_61 // BSU_tRNA_60 // BSU_tRNA_59 // BSU_tRNA_58 // BSU_tRNA_57 // BSU_tRNA_56 // BSU_tRNA_55 // BSU_tRNA_54 // BSU_tRNA_53 // BSU_tRNA_52 // BSU_rRNA_21 // BSU_rRNA_20 // BSU_rRNA_19	-
TU8J2-683	BSU24120 // BSU24130 // BSU24140 // BSU24150 // BSU24160 // BSU24170	-
TU8J2-390	BSU36470	-
TU8J2-1425	BSU17620	-
TU8J2-722	BSU22920 // BSU22930	-
TU8J2-30	BSU41060	-
TU8J2-1462	BSU20560	+
TU8J2-669	BSU24660 // BSU24670 // BSU24680 // BSU24690 // BSU24700 // BSU24710 // BSU24720 // BSU24730	-
TU8J2-305	BSU38550	+
TU8J2-1410	BSU13940	-
TU8J2-376	BSU36730	-
TU8J2-2976	BSU35090 // BSU35080	+
TU8J2-708	BSU23490 // BSU23500	-
TU8J2-1166	BSU02090	-
TU8J2-145	BSU18100 // BSU18090	+
TU8J2-654	BSU25540	-
TU8J2-3027	BSU14170 // BSU14160 // BSU14150	+
TU8J2-1397	BSU12460	+
TU8J2-361	BSU37130	-
TU8J2-987	BSU08370 // BSU08380	-
TU8J2-693	BSU23830	+
TU8J2-2957	BSU17220 // BSU17210 // BSU17200 // BSU17190 // BSU17180 // BSU17170 // BSU17160 // BSU17150 // BSU17140 // BSU17130 // BSU17120 // BSU17110 // BSU17100	+
TU8J2-1435	BSU18620	+
TU8J2-1151	BSU02670 // BSU02680	-
TU8J2-301	BSU38630	+
TU8J2-64	BSU10950 // BSU10940	+
TU8J2-347	BSU37490 // BSU37500	-
TU8J2-1382	BSU10890	-
TU8J2-679	BSU24240 // BSU24250	-
TU8J2-972	BSU08610	+
TU8J2-1420	BSU14820	-
TU8J2-290	BSU38840	-
TU8J2-2994	G8J2-160	+
TU8J2-1137	BSU03010	-
TU8J2-1176	BSU_tRNA_74 // BSU_tRNA_77 // BSU_tRNA_76 // BSU_tRNA_78 // BSU_tRNA_75	+
TU8J2-625	BSU27830 // BSU27840	-
TU8J2-664	BSU25070 // BSU25060	+
TU8J2-1368	BSU09670	+
TU8J2-1406	BSU13660	-
TU8J2-958	BSU09140	-
TU8J2-2968	BSU32240 // BSU32250 // BSU32260	-
TU8J2-276	BSU39100	+
TU8J2-1161	BSU02290 // BSU02280 // BSU02270	+
TU8J2-1122	BSU03359 // BSU03360 // BSU03350 // BSU03340	+
TU8J2-65	BSU22240	+
TU8J2-610	BSU28210	-
TU8J2-1392	BSU12130	+
TU8J2-1353	BSU06740	-
TU8J2-982	BSU08440	-
TU8J2-943	BSU09490	+
TU8J2-2952	BSU02380 // BSU02370	+
TU8J2-261	BSU39590	+
TU8J2-1147	BSU02740	-
TU8J2-1108	BSU03670	-
TU8J2-635	BSU27460 // BSU27450 // BSU27440 // BSU27430	+
TU8J2-597	BSU28500	-
TU8J2-1378	BSU10800	-
TU8J2-1339	BSU05310	-
TU8J2-968	BSU08730	+
TU8J2-929	BSU10290	+
TU8J2-286	BSU38920	+
TU8J2-247	BSU39940 // BSU39950	-
TU8J2-1132	BSU03070	-
TU8J2-1094	BSU04010	+
TU8J2-620	BSU27940	-
TU8J2-1363	BSU09210	-
TU8J2-953	BSU09300	+
TU8J2-271	BSU39280 // BSU39290 // BSU39300	-
TU8J2-1118	BSU03420 // BSU03430	-
TU8J2-606	BSU28320	+
TU8J2-1349	BSU06550	+
TU8J2-939	BSU09770 // BSU09780	-
TU8J2-257	BSU39670 // BSU39680 // BSU39690 // BSU39700 // BSU39710 // BSU39720 // BSU39730 // BSU39740 // BSU39750 // BSU39760	-
TU8J2-1103	BSU03860 // BSU03870	-
TU8J2-592	BSU28620	+
TU8J2-1334	BSU05160	+
TU8J2-924	BSU10400	+
TU8J2-242	BSU40010	-
TU8J2-921	BSU10430	-
TU8J2-24	BSU38100 // BSU38110	-
TU8J2-1087	BSU04160	+
TU8J2-575	BSU29010 // BSU29020	-
TU8J2-1317	BSU02650	-
TU8J2-907	BSU11510	-
TU8J2-225	BSU40420	-
TU8J2-1072	BSU04630	+
TU8J2-560	BSU29460	-
TU8J2-1302	BSU03230	+
TU8J2-893	BSU12150	-
TU8J2-210	BSU40770 // BSU40780	-
TU8J2-1058	BSU06030 // BSU06020	+
TU8J2-546	BSU29670	-
TU8J2-1289	BSU33800 // BSU33810 // BSU33820 // BSU33830	-
TU8J2-879	BSU13160	+
TU8J2-196	BSU09165	+
TU8J2-1043	BSU06370	+
TU8J2-531	BSU30160	-
TU8J2-1274	BSU32570 // BSU32580 // BSU32590 // BSU32600 // BSU32610	-
TU8J2-864	BSU13910 // BSU13900 // BSU13890	+
TU8J2-181	BSU07680 // BSU07690	-
TU8J2-1029	BSU07380	+
TU8J2-517	BSU30630	-
TU8J2-126	BSU11420	-
TU8J2-85	BSU11500 // BSU11490	+
TU8J2-167	BSU17720	+
TU8J2-1014	BSU07710	-
TU8J2-502	BSU31240 // BSU31250	-
TU8J2-1245	BSU23390 // BSU23401 // BSU23402 // BSU23410 // BSU23420 // BSU23430 // BSU23440	-
TU8J2-835	BSU15290 // BSU15280	+
TU8J2-1575	BSU40840	+
