Proteins	Accession-1	Common-Name	Genes of polypeptide, complex, or RNA	Locations	Gene
BSU14850-MONOMER		essential cell-division protein FtsW	BSU14850	CCI-PM-BAC-POS-GP	BSU14850
BSU15240-MONOMER		cell-division initiation protein	BSU15240	CCI-PM-BAC-POS-GP	BSU15240
BSU02520-MONOMER		putative phosphotransferase	BSU02520		BSU02520
BSU24930-MONOMER		co-factor of the FtsEX-CwlO cell wall hydrolase complex	BSU24930	CCI-PM-BAC-POS-GP	BSU24930
BSU28570-MONOMER		putative integral inner membrane protein	BSU28570	CCI-PM-BAC-POS-GP	BSU28570
BSU28980-MONOMER		helicase loader	BSU28980		BSU28980
BSU37900-MONOMER		putative dTDP glycosyl/glycerophosphate transferase or transport	BSU37900	CCI-PM-BAC-POS-GP	BSU37900
BSU06520-MONOMER		fused phosphoribosylaminoimidazole carboxy formyl formyltransferase; inosine-monophosphate cyclohydrolase	BSU06520	CCI-CYTOSOL-GP	BSU06520
BSU00440-MONOMER		conserved hypothetical protein	BSU00440	CCI-CYTOSOL-GP	BSU00440
BSU32610-MONOMER		fructosevaline-6-phosphate deglycase	BSU32610	CCI-CYTOSOL-GP	BSU32610
BSU19579-MONOMER		putative exported protein	BSU19579	CCI-PM-BAC-POS-GP	BSU19579
BSU32250-MONOMER		threonine synthase	BSU32250	CCI-CYTOSOL-GP	BSU32250
BSU35840-MONOMER		teichoic acid-peptidoglycan tethering enzyme (LCP component) with transcription regulator domain of capsule synthesis	BSU35840	CCI-PM-BAC-POS-GP	BSU35840
BSU06890-MONOMER		component of the inner spore coat	BSU06890		BSU06890
BSU28475-MONOMER		aspartokinase II beta subunit (aa 246->408)	BSU28475	CCI-CYTOSOL-GP	BSU28475
BSU10230-MONOMER		conserved protein of unknown function	BSU10230		BSU10230
BSU11210-MONOMER		N-acetylglutamate 5-phosphotransferase (acetylglutamate kinase)	BSU11210	CCI-CYTOSOL-GP	BSU11210
BSU00840-MONOMER		activator of protein kinase McsB	BSU00840		BSU00840
BSU13169-MONOMER		hypothetical protein	BSU13169		BSU13169
BSU21120-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21120		BSU21120
BSU14690-MONOMER		putative AdoMet-dependent methyltransferase	BSU14690		BSU14690
BSU36240-MONOMER		protein tyrosine-phosphatase	BSU36240		BSU36240
BSU23160-MONOMER		23S rRNA pseudouridine 2633 (=2605 standard) pseudouridine synthase	BSU23160		BSU23160
BSU24770-MONOMER		transcriptional regulator of stress	BSU24770	CCI-CYTOSOL-GP	BSU24770
BSU28400-MONOMER		putative transcriptional regulator (mother cell's gene expression during sporulation)	BSU28400		BSU28400
BSU10630-MONOMER		ATP-dependent deoxyribonuclease (subunit A)	BSU10630	CCI-CYTOSOL-GP	BSU10630
BSU26830-MONOMER		lipoprotein buffering protein for Zn2+ transport	BSU26830		BSU26830
BSU06360-MONOMER		GMP synthetase	BSU06360	CCI-CYTOSOL-GP	BSU06360
BSU00280-MONOMER		thymidylate kinase	BSU00280	CCI-CYTOSOL-GP	BSU00280
BSU39870-MONOMER		putative N-acetyltransferase	BSU39870		BSU39870
BSU04820-MONOMER		ICEBs1 mobile element: transcriptional regulator (Xre family)	BSU04820		BSU04820
BSU32090-MONOMER		conserved protein of unknown function	BSU32090		BSU32090
BSU35680-MONOMER		poly(glucosyl N-acetylgalactosamine 1-phosphate) glucosyltransferase	BSU35680	CCI-PM-BAC-POS-GP	BSU35680
BSU11610-MONOMER		inorganic polyphosphate/ATP-NAD kinase (quinolate activated)	BSU11610	CCI-CYTOSOL-GP	BSU11610
BSU16750-MONOMER		aspartate-semialdehyde dehydrogenase	BSU16750		BSU16750
BSU10060-MONOMER		putative hydrolase	BSU10060		BSU10060
BSU39340-MONOMER		transcriptional antiterminator	BSU39340		BSU39340
BSU21500-MONOMER		lesion bypass phage DNA polymerase; phage SPbeta	BSU21500		BSU21500
BSU30500-MONOMER		tetraprenyl-&beta;-curcumene synthase	BSU30500		BSU30500
BSU20970-MONOMER		conserved protein of unknown function; phage SPbeta	BSU20970		BSU20970
BSU14550-MONOMER		putative hydrolase	BSU14550	CCI-CYTOSOL-GP	BSU14550
BSU25140-MONOMER		ATP-dependent RNA helicase; cold shock	BSU25140	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP // CCI-BAC-NUCLEOID-GP	BSU25140
BSU34060-MONOMER		two-component response regulator [YvfT]	BSU34060	CCI-CYTOSOL-GP	BSU34060
BSU24610-MONOMER		master regulator of biofilm formation	BSU24610		BSU24610
BSU28240-MONOMER		DNA damage checkpoint antagonist	BSU28240		BSU28240
BSU15080-MONOMER		ribosomal protein L32	BSU15080	CCI-RIBOSOME-GP	BSU15080
BSU08460-MONOMER		xenosiderophore schizokinen (dihydroxamate) transporter (permease)	BSU08460	CCI-PM-BAC-POS-GP	BSU08460
BSU06220-MONOMER		putative membrane associated potassium channel; prophage region 3	BSU06220	CCI-PM-BAC-POS-GP	BSU06220
BSU00120-MONOMER		glutamine amidotransferase for pyridoxal phosphate synthesis; pyridoxal 5'-phosphate synthase complex, glutamine amidotransferase subunit PdxT	BSU00120	CCI-CYTOSOL-GP	BSU00120
BSU28810-MONOMER		arabinan-endo-1,5-alpha-L-arabinase	BSU28810	CCI-EXTRACELLULAR-GP	BSU28810
BSU02360-MONOMER		glucosamine-6-phosphate deaminase	BSU02360	CCI-CYTOSOL-GP	BSU02360
BSU31930-MONOMER		L-alanine dehydrogenase (NAD-dependent)	BSU31930	CCI-CYTOSOL-GP	BSU31930
BSU35510-MONOMER		putative translation regulator	BSU35510		BSU35510
BSU32460-MONOMER		5-hydroxyisourate hydrolase; also uricase subunit	BSU32460		BSU32460
BSU37740-MONOMER		prephenate decarboxylase	BSU37740	CCI-CYTOSOL-GP	BSU37740
BSU09910-MONOMER		putative DNA repair exonuclease	BSU09910		BSU09910
BSU03788-MONOMER		putative type I toxin	BSU03788	CCI-PM-BAC-POS-GP	BSU03788
BSU06750-MONOMER		putative resolvase; HGT island	BSU06750		BSU06750
BSU19420-MONOMER		putative YDP-glycosyltransferase	BSU19420		BSU19420
BSU39190-MONOMER		conserved hypothetical protein	BSU39190		BSU39190
BSU20830-MONOMER		hypothetical protein; phage SPbeta	BSU20830		BSU20830
BSU00680-MONOMER		hypoxanthine-guanine phosphoribosyltransferase	BSU00680	CCI-CYTOSOL-GP	BSU00680
BSU21925-MONOMER		hypothetical protein	BSU21925		BSU21925
BSU14390-MONOMER		fructose-1-phosphate kinase	BSU14390	CCI-CYTOSOL-GP	BSU14390
BSU24450-MONOMER		elongation factor P	BSU24450	CCI-CYTOSOL-GP	BSU24450
BSU36080-MONOMER		putative flavin-binding monooxygenase	BSU36080		BSU36080
BSU13010-MONOMER		6-phosphogluconolactonase	BSU13010	CCI-CYTOSOL-GP	BSU13010
BSU28090-MONOMER		valyl-tRNA synthetase	BSU28090	CCI-CYTOSOL-GP	BSU28090
BSU06048-MONOMER		hypothetical protein; prophage 3 region	BSU06048		BSU06048
BSU10470-MONOMER		conserved hypothetical protein	BSU10470		BSU10470
BSU22980-MONOMER		putative phosphoesterase	BSU22980		BSU22980
BSU18050-MONOMER		conserved hypothetical protein	BSU18050		BSU18050
BSU31760-MONOMER		nicotinamidase; NAD salvage pathway	BSU31760		BSU31760
BSU39710-MONOMER		inositol transport protein	BSU39710	CCI-PM-BAC-POS-GP	BSU39710
BSU26660-MONOMER		putative tautomerase	BSU26660		BSU26660
BSU35350-MONOMER		putative flagellar protein of unknown function	BSU35350		BSU35350
BSU09750-MONOMER		small acid-soluble spore protein (beta-type SASP)	BSU09750		BSU09750
BSU11460-MONOMER		oligopeptide ABC transporter ATP-binding protein OppD	BSU11460	CCI-PM-BAC-POS-GP	BSU11460
BSU04660-MONOMER		endoribonuclease toxin	BSU04660		BSU04660
BSU03640-MONOMER		promiscuous phenolic acid decarboxylase subunit; 1,4-dihydroxy-2-naphtoate-heptaprenyl diphosphate decarboxylase	BSU03640	CCI-CYTOSOL-GP	BSU03640
BSU39020-MONOMER		purine nucleoside transporter	BSU39020	CCI-PM-BAC-POS-GP	BSU39020
BSU21340-MONOMER		protein conferring self-immunity to the host; phage SPbeta	BSU21340	CCI-PM-BAC-POS-GP	BSU21340
BSU16590-MONOMER		ribosome maturation factor	BSU16590	CCI-CYTOSOL-GP	BSU16590
BSU20670-MONOMER		putative DNA-binding protein anti-repressor; phage SPbeta	BSU20670		BSU20670
BSU14230-MONOMER		thiol-disulfide oxidoreductase	BSU14230	CCI-CYTOSOL-GP	BSU14230
BSU14930-MONOMER		cytochrome aa(3) assembly factor	BSU14930	CCI-PM-BAC-POS-GP	BSU14930
BSU30340-MONOMER		blue light GTP-binding receptor	BSU30340		BSU30340
BSU24290-MONOMER		exodeoxyribonuclease VII (small subunit)	BSU24290	CCI-CYTOSOL-GP	BSU24290
BSU27930-MONOMER		sporulation initiation phosphotransferase	BSU27930	CCI-CYTOSOL-GP	BSU27930
BSU25010-MONOMER		putative efflux transporter	BSU25010	CCI-PM-BAC-POS-GP	BSU25010
BSU33900-MONOMER		enolase	BSU33900	CCI-CYTOSOL-GP // CCI-EXTRACELLULAR-GP	BSU33900
BSU05880-MONOMER		exported mannan endo-1,4-beta-mannosidase	BSU05880	CCI-EXTRACELLULAR-GP	BSU05880
BSU17900-MONOMER		factor controlling DNA replication	BSU17900		BSU17900
BSU28650-MONOMER		ribosomal RNA methylase	BSU28650		BSU28650
BSU08290-MONOMER		two-component sensor histidine kinase [YfiK]	BSU08290	CCI-PM-BAC-POS-GP	BSU08290
BSU31600-MONOMER		Na<sup>+</sup>:H<sup>+</sup> antiporter subunit A	BSU31600	CCI-PM-BAC-POS-GP	BSU31600
BSU35190-MONOMER		putative phosphotransferase	BSU35190		BSU35190
BSU06590-MONOMER		putative osmotic shock glutamate synthase subunit (flavoprotein subunit, ferredoxin-dependent)	BSU06590	CCI-PM-BAC-POS-GP	BSU06590
BSU02200-MONOMER		putative pepdidoglycan binding protein	BSU02200	CCI-PM-BAC-POS-GP	BSU02200
BSU09590-MONOMER		putative membrane protein	BSU09590	CCI-PM-BAC-POS-GP	BSU09590
BSU03470-MONOMER		positive regulator of hxlAB expression (formaldehyde sensing)	BSU03470		BSU03470
BSU00520-MONOMER		ribosomal protein BL25 (Ctc), binding 5S RNA	BSU00520	CCI-RIBOSOME-GP	BSU00520
BSU37580-MONOMER		putative transcriptional regulator	BSU37580	CCI-CYTOSOL-GP	BSU37580
BSU38860-MONOMER		UDP-glucose 4-epimerase	BSU38860	CCI-CYTOSOL-GP	BSU38860
BSU20510-MONOMER		conserved hypothetical protein; phage SPbeta	BSU20510		BSU20510
BSU32330-MONOMER		lipoyl synthase (lipoic acid synthetase)	BSU32330	CCI-CYTOSOL-GP	BSU32330
BSU19260-MONOMER		putative chaperone	BSU19260	CCI-CYTOSOL-GP	BSU19260
BSU14072-MONOMER		conserved hypothetical protein	BSU14072		BSU14072
BSU24120-MONOMER		2-methylisocitrate lyase	BSU24120		BSU24120
BSU35920-MONOMER		ribokinase	BSU35920	CCI-CYTOSOL-GP	BSU35920
BSU12875-MONOMER		hypothetical protein	BSU12875	CCI-PM-BAC-POS-GP	BSU12875
BSU27770-MONOMER		putative inositol-related oxidoreductase	BSU27770	CCI-CYTOSOL-GP	BSU27770
BSU05720-MONOMER		putative glycosyltransferase	BSU05720		BSU05720
BSU10310-MONOMER		putative N-acetyltransferase	BSU10310		BSU10310
BSU12850-MONOMER		putative PitB transporter accessory protein	BSU12850		BSU12850
BSU17740-MONOMER		conserved protein involved in spore germination	BSU17740		BSU17740
BSU31440-MONOMER		promiscuous cystathionine / cystine beta-lyase / cysteine desulfhydrase	BSU31440		BSU31440
BSU39550-MONOMER		sugar-phosphate hydrolase (promiscuous)	BSU39550	CCI-CYTOSOL-GP	BSU39550
BSU22840-MONOMER		GTPase essential for ribosome 50S subunit assembly (maturation of the 50S subunit central protoberance)	BSU22840		BSU22840
BSU35030-MONOMER		transcriptional regulator (GntR family)	BSU35030		BSU35030
BSU09420-MONOMER		cell wall dl-endopeptidase; phosphatase-associated protein (major autolysin)	BSU09420	CCI-CW-BAC-POS-GP // CCI-EXTRACELLULAR-GP	BSU09420
BSU11290-MONOMER		putative NAD(P) binding enzyme	BSU11290		BSU11290
BSU26500-MONOMER		putative sulfur-carrier protein	BSU26500		BSU26500
BSU03320-MONOMER		assimilatory nitrate reductase (electron transfer subunit NasB)	BSU03320		BSU03320
BSU21200-MONOMER		conserved protein of unknown function; phage SPbeta	BSU21200		BSU21200
BSU38700-MONOMER		RNA polymerase ECF (extracytoplasmic function)-type sigma factor (sigma-Y)	BSU38700		BSU38700
BSU04500-MONOMER		putative ABC efflux transporter membrane protein YdbK	BSU04500	CCI-PM-BAC-POS-GP	BSU04500
BSU20350-MONOMER		putative single-strand DNA-specific exonuclease; phage SPbeta	BSU20350		BSU20350
BSU13930-MONOMER		spore photoproduct (thymine dimer) lyase	BSU13930		BSU13930
BSU14770-MONOMER		ribosome-associated GTPase	BSU14770	CCI-CYTOSOL-GP	BSU14770
BSU16430-MONOMER		chemotactic two-component sensor histidine kinase	BSU16430	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU16430
BSU23960-MONOMER		arginine ABC transporter ATP-binding protein	BSU23960	CCI-PM-BAC-POS-GP	BSU23960
BSU27620-MONOMER		single-strand DNA-specific exonuclease	BSU27620		BSU27620
BSU24850-MONOMER		glucose kinase	BSU24850	CCI-CYTOSOL-GP	BSU24850
BSU30180-MONOMER		putative NAD-dependent nucleoside-diphosphate-sugar epimerase	BSU30180		BSU30180
BSU05560-MONOMER		conserved hypothetical protein; putative germination protein	BSU05560		BSU05560
BSU17590-MONOMER		transcriptional regulator	BSU17590		BSU17590
BSU28490-MONOMER		excinuclease ABC (subunit C)	BSU28490	CCI-CYTOSOL-GP	BSU28490
BSU33740-MONOMER		putative transcriptional regulator (controlling choline uptake)	BSU33740		BSU33740
BSU31300-MONOMER		putative membrane protein	BSU31300	CCI-PM-BAC-POS-GP	BSU31300
BSU34870-MONOMER		imidazole glycerol phosphate synthase subunit	BSU34870	CCI-CYTOSOL-GP	BSU34870
BSU06440-MONOMER		adenylosuccinate lyase	BSU06440	CCI-CYTOSOL-GP	BSU06440
BSU08130-MONOMER		putative integral inner membrane protein	BSU08130	CCI-PM-BAC-POS-GP	BSU08130
BSU09260-MONOMER		putative aminotransferase	BSU09260		BSU09260
BSU03160-MONOMER		xenotiotic metabolite methyltransferase	BSU03160		BSU03160
BSU00360-MONOMER		16S rRNA 2'-O-ribose C1402 methyltransferase	BSU00360	CCI-CYTOSOL-GP	BSU00360
BSU02040-MONOMER		putative phage protein; prophage region 1	BSU02040		BSU02040
BSU38540-MONOMER		putative oxidoreductase	BSU38540	CCI-CYTOSOL-GP	BSU38540
BSU20190-MONOMER		putative type I toxin; phage SPbeta	BSU20190	CCI-PM-BAC-POS-GP	BSU20190
BSU32170-MONOMER		diaminopimelate epimerase	BSU32170	CCI-CYTOSOL-GP	BSU32170
BSU37420-MONOMER		putative peptidase involved in subtilosin production	BSU37420		BSU37420
MONOMER8J2-54		RNA polymerase sporulation-specific sigma-K factor precursor (Sigma-27) (N-terminal half)	BSU25760		BSU25760
BSU13790-MONOMER		putative sporulation-specific glycosylase (HGT island)	BSU13790		BSU13790
BSU35760-MONOMER		teichoic acid primase, CDP-glycerol:N-acetyl-beta-d-mannosaminyl-1, 4-N-acetyl-d-glucosaminyldiphosphoundecaprenyl glycerophosphotransferase	BSU35760	CCI-PM-BAC-POS-GP	BSU35760
BSU19110-MONOMER		mother cell-specific membrane sporulation protein	BSU19110	CCI-PM-BAC-POS-GP	BSU19110
BSU23800-MONOMER		pyrroline-5-carboxylate reductase (NADP-dependent, weak activity)	BSU23800	CCI-CYTOSOL-GP	BSU23800
BSU27469-MONOMER		conserved protein of unknown function	BSU27469		BSU27469
BSU10140-MONOMER		promiscuous protoporphyrinogen IX and coproporphyrinogen III oxidase	BSU10140	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP	BSU10140
BSU41000-MONOMER		7-methylguanosine methyltransferase (16S rRNA, nucleotide G527)	BSU41000	CCI-CYTOSOL-GP	BSU41000
BSU05410-MONOMER		YdfH two-component sensory histidine kinase	BSU05410	CCI-PM-BAC-POS-GP // CCO-CE-BAC	BSU05410
BSU17440-MONOMER		putative C-S lyase	BSU17440		BSU17440
BSU11139-MONOMER		conserved hypothetical protein; genus orphan	BSU11139		BSU11139
BSU12700-MONOMER		phage PBSX; conserved hypothetical protein	BSU12700		BSU12700
BSU31150-MONOMER		undecaprenyl-pyrophosphate phosphatase	BSU31150	CCI-PM-BAC-POS-GP	BSU31150
BSU34720-MONOMER		response regulator PsdR	BSU34720	CCI-CYTOSOL-GP	BSU34720
BSU39420-MONOMER		deoxyribose-phosphate aldolase	BSU39420	CCI-CYTOSOL-GP	BSU39420
BSU22680-MONOMER		anthranilate synthase	BSU22680		BSU22680
BSU09090-MONOMER		putative ABC efflux transporter membrane protein YhcI	BSU09090	CCI-PM-BAC-POS-GP	BSU09090
BSU03000-MONOMER		glycine betaine ABC transporter substrate-binding lipoprotein	BSU03000	CCI-PM-BAC-POS-GP	BSU03000
BSU21040-MONOMER		DNA-dependent RNA polymerase; phage SPbeta	BSU21040		BSU21040
BSU26320-MONOMER		putative transcriptional regulator; skin element	BSU26320		BSU26320
BSU38380-MONOMER		conserved protein of unknown function	BSU38380		BSU38380
BSU20030-MONOMER		SPbeta phage putative thiol disulfide oxidoreductase fragment	BSU20030		BSU20030
BSU14620-MONOMER		small peptidoglycan-associated lipoprotein	BSU14620	CCI-PM-BAC-POS-GP	BSU14620
BSU04340-MONOMER		acetyl-phosphate generating pyruvate oxidase	BSU04340		BSU04340
BSU13640-MONOMER		negative regulatory phosphatase acting on Spo0A-P (sporulation)	BSU13640		BSU13640
BSU23640-MONOMER		putative hydrolase	BSU23640	CCI-PM-BAC-POS-GP	BSU23640
BSU24690-MONOMER		component of the DNA transport pilin platform	BSU24690	CCI-PM-BAC-POS-GP	BSU24690
BSU16280-MONOMER		flagellar hook capping protein	BSU16280		BSU16280
BSU27320-MONOMER		transcription elongation factor resolving backtracking / stalling	BSU27320		BSU27320
BSU05280-MONOMER		putative integral inner membrane protein	BSU05280	CCI-PM-BAC-POS-GP	BSU05280
BSU28320-MONOMER		inner spore coat protein	BSU28320		BSU28320
BSU30000-MONOMER		putative ABC efflux transporter membrane protein YthQ	BSU30000	CCI-PM-BAC-POS-GP	BSU30000
BSU17280-MONOMER		putative peroxiredoxin-related protein	BSU17280		BSU17280
BSU30990-MONOMER		putative thiamin ECF transporter, S-component ThiT	BSU30990	CCI-PM-BAC-POS-GP	BSU30990
BSU06290-MONOMER		conserved hypothetical protein	BSU06290		BSU06290
BSU33580-MONOMER		putative transcriptional regulator	BSU33580		BSU33580
BSU34560-MONOMER		oligo-1,4-1,6-alpha-glucosidase (sucrase-maltase-isomaltase)	BSU34560	CCI-CYTOSOL-GP	BSU34560
BSU08930-MONOMER		tRNA (cytidine(34)-2'-O)-methyltransferase	BSU08930	CCI-CYTOSOL-GP	BSU08930
BSU00200-MONOMER		nucleoid associated protein	BSU00200	CCI-BAC-NUCLEOID-GP // CCI-CYTOSOL-GP	BSU00200
BSU07980-MONOMER		exported peptidoglycan N-acetylmuramic acid deacetylase	BSU07980		BSU07980
BSU02840-MONOMER		putative oligo-carbohydrate hydrolase	BSU02840	CCI-CYTOSOL-GP	BSU02840
BSU38229-MONOMER		anti-repressor of SlrR	BSU38229		BSU38229
BSU32010-MONOMER		bacillibactin trilactone hydrolase	BSU32010	CCI-CYTOSOL-GP	BSU32010
BSU01880-MONOMER		conserved hypothetical protein; prophage 1 region	BSU01880		BSU01880
BSU19870-MONOMER		conserved hypothetical protein; phage SPbeta	BSU19870		BSU19870
BSU13490-MONOMER		membrane protease	BSU13490	CCI-PM-BAC-POS-GP	BSU13490
BSU35590-MONOMER		putative glycosyltransferase (teichuronic acid)	BSU35590		BSU35590
BSU37260-MONOMER		nitrate reductase molybdenum cofactor assembly chaperone NarJ	BSU37260	CCI-CYTOSOL-GP	BSU37260
BSU23490-MONOMER		purine nucleoside phosphorylase	BSU23490	CCI-CYTOSOL-GP	BSU23490
BSU27160-MONOMER		cytochrome P450 CYP102A3	BSU27160	CCI-CYTOSOL-GP	BSU27160
BSU09990-MONOMER		transcriptional regulator of extracellular protease production, sporulation and bacilysin production (MarR family)	BSU09990		BSU09990
BSU18950-MONOMER		conserved hypothetical protein of phage origin; putative defective prophage 6	BSU18950		BSU18950
BSU05120-MONOMER		cold-shock protein	BSU05120	CCI-CYTOSOL-GP	BSU05120
BSU17110-MONOMER		enzyme involved in bacillaene synthesis	BSU17110	CCI-CYTOSOL-GP	BSU17110
BSU03850-MONOMER		putative transcriptional regulator (TetR/AcrR family)	BSU03850		BSU03850
BSU40850-MONOMER		maltose O-acetyltransferase	BSU40850	CCI-CYTOSOL-GP	BSU40850
BSU30830-MONOMER		menaquinone-specific isochorismate synthase	BSU30830		BSU30830
BSU34400-MONOMER		phenolic acid decarboxylase	BSU34400		BSU34400
BSU39270-MONOMER		phosphotransferase system (PTS) beta-glucoside-specific enzyme IIBCA component	BSU39270	CCI-PM-BAC-POS-GP	BSU39270
