Transcription-Units	Genes of transcription unit	Direction
TU1G01-6580	G1G01-4006	-
TU1G01-3212	G1G01-3017	+
TU1G01-1388	G1G01-1302 // G1G01-1301	+
TU1G01-6896	G1G01-2553	+
TU1G01-2168	G1G01-2062	-
TU1G01-3884	G1G01-3649	+
TU1G01-4542	G1G01-4272	+
TU1G01-824	G1G01-773	-
TU1G01-5224	G1G01-4935	-
TU1G01-5888	G1G01-5576 // G1G01-5575 // G1G01-5574 // G1G01-5573	-
TU1G01-1474	G1G01-1398 // G1G01-1397	+
TU1G01-6552	G1G01-4102	+
TU1G01-3184	G1G01-2986	-
TU1G01-136	G1G01-116 // G1G01-115 // G1G01-114 // G1G01-113 // G1G01-112	+
TU1G01-6866	G1G01-2648	-
TU1G01-214	G1G01-177 // G1G01-176	-
TU1G01-3856	G1G01-3626	-
TU1G01-4512	G1G01-4238	+
TU1G01-798	G1G01-753	+
TU1G01-5198	G1G01-4907	+
TU1G01-586	G1G01-570 // G1G01-569 // G1G01-568 // G1G01-567 // G1G01-566 // G1G01-565 // G1G01-564 // G1G01-563 // G1G01-562	+
TU1G01-6522	G1G01-4232	+
TU1G01-3156	G1G01-2965 // G1G01-2964 // G1G01-2963 // G1G01-2962 // G1G01-2961 // G1G01-2960 // G1G01-2959 // G1G01-2958 // G1G01-2957	+
TU1G01-1330	G1G01-1259 // G1G01-1258	-
TU1G01-6838	G1G01-2749	-
TU1G01-2110	G1G01-2002	-
TU1G01-3826	G1G01-3591	+
TU1G01-4482	G1G01-4214	-
TU1G01-768	G1G01-735 // G1G01-734 // G1G01-733	+
TU1G01-5168	G1G01-4876	-
TU1G01-5830	G1G01-5517 // G1G01-5516	-
TU1G01-6494	G1G01-4370	+
TU1G01-3126	G1G01-2925	-
TU1G01-1300	G1G01-1236	-
TU1G01-6808	G1G01-2943	-
TU1G01-2080	G1G01-1971	+
TU1G01-38	G1G01-28	+
TU1G01-4454	G1G01-4194	-
TU1G01-7454	G1G01-4628	+
TU1G01-2746	G1G01-2583 // G1G01-2582 // G1G01-2581 // G1G01-2580 // G1G01-2579	-
TU1G01-514	G1G01-471 // G1G01-470	-
TU1G01-5800	G1G01-5482 // G1G01-5481 // G1G01-5480	-
TU1G01-6464	G1G01-4497	-
TU1G01-3098	G1G01-2900	-
TU1G01-1272	G1G01-1220	+
TU1G01-6780	G1G01-3128	-
TU1G01-2052	G1G01-1950	-
TU1G01-3770	G1G01-3542	-
TU1G01-4424	G1G01-4160	+
TU1G01-7439	G1G01-4964 // G1G01-4963	-
TU1G01-2718	G1G01-2555	+
TU1G01-5110	G1G01-4822	+
TU1G01-5774	G1G01-5458 // G1G01-5457 // G1G01-5456	+
TU1G01-6436	G1G01-4623	+
TU1G01-3066	G1G01-2862	+
TU1G01-1240	G1G01-1188 // G1G01-1187	-
TU1G01-6752	G1G01-3258	-
TU1G01-2022	G1G01-1929	-
TU1G01-3740	G1G01-3515	+
TU1G01-4398	G1G01-4117	-
TU1G01-7414	G1G01-92	-
TU1G01-2688	G1G01-2526 // G1G01-2525 // G1G01-2524 // G1G01-2523 // G1G01-2522 // G1G01-2521 // G1G01-2520	+
TU1G01-5080	G1G01-4794	+
TU1G01-5744	G1G01-5417	-
TU1G01-6406	G1G01-4810	+
TU1G01-3036	G1G01-2836	+
TU1G01-1212	G1G01-1161	+
TU1G01-6722	G1G01-3466	+
TU1G01-1998	G1G01-1891 // G1G01-1892 // G1G01-1893 // G1G01-1894 // G1G01-1898 // G1G01-1897 // G1G01-1896 // G1G01-1895	-
TU1G01-3712	G1G01-3472	+
TU1G01-4368	G1G01-4094	-
TU1G01-7386	G1G01-240	+
TU1G01-266	G1G01-223	-
TU1G01-5052	G1G01-4755	-
TU1G01-5716	G1G01-5393 // G1G01-5392	+
TU1G01-638	G1G01-617	+
TU1G01-3006	G1G01-2806 // G1G01-2805 // G1G01-2804 // G1G01-2803 // G1G01-2802 // G1G01-2801 // G1G01-2800	-
TU1G01-118	G1G01-96	-
TU1G01-1964	G1G01-1863 // G1G01-1862	+
TU1G01-3682	G1G01-3448 // G1G01-3447 // G1G01-3446	-
TU1G01-434	G1G01-395	-
TU1G01-7358	G1G01-314	+
TU1G01-2630	G1G01-2468 // G1G01-2467	+
TU1G01-5022	G1G01-4733	+
TU1G01-5686	G1G01-5366	+
TU1G01-6350	G1G01-4925	-
TU1G01-298	G1G01-257	+
TU1G01-1150	G1G01-1093	+
TU1G01-1936	G1G01-1839	-
TU1G01-3654	G1G01-3417	-
TU1G01-4310	G1G01-4027	+
TU1G01-7328	G1G01-427	+
TU1G01-2600	G1G01-2448 // G1G01-2447	+
TU1G01-4996	G1G01-4714	+
TU1G01-5658	G1G01-5339	+
TU1G01-6320	G1G01-4981	+
TU1G01-2950	G1G01-2745	+
TU1G01-112	G1G01-91	+
TU1G01-1906	G1G01-1814	+
TU1G01-3622	G1G01-3394	-
TU1G01-4280	G1G01-3992	-
TU1G01-730	G1G01-704	+
TU1G01-2574	G1G01-2416	+
TU1G01-4966	G1G01-4694	+
TU1G01-5628	G1G01-5313	+
TU1G01-6292	G1G01-5108	-
TU1G01-2920	G1G01-2721	+
TU1G01-1090	G1G01-1031 // G1G01-1030 // G1G01-1029 // G1G01-1028 // G1G01-1027	-
TU1G01-1878	G1G01-1789	-
TU1G01-3596	G1G01-3377	+
TU1G01-4252	G1G01-3961	-
TU1G01-7270	G1G01-828	+
TU1G01-2544	G1G01-2388	+
TU1G01-4936	G1G01-4674 // G1G01-4673	+
TU1G01-560	G1G01-535 // G1G01-534	+
TU1G01-6262	G1G01-5290	+
TU1G01-2892	G1G01-2701	-
TU1G01-1060	G1G01-998 // G1G01-997	-
TU1G01-1848	G1G01-1756 // G1G01-1755	+
TU1G01-3560	G1G01-3341	+
TU1G01-4222	G1G01-3932	-
TU1G01-7240	G1G01-969	-
TU1G01-2516	G1G01-2361 // G1G01-2360	+
TU1G01-4898	G1G01-4640	-
TU1G01-5572	G1G01-5261 // G1G01-5260	-
TU1G01-6234	G1G01-5409	-
TU1G01-2862	G1G01-2678	-
TU1G01-1032	G1G01-968	+
TU1G01-182	G1G01-154	-
TU1G01-3532	G1G01-3320	+
TU1G01-4196	G1G01-3912	+
TU1G01-7212	G1G01-1116	-
TU1G01-2486	G1G01-2333	+
TU1G01-4866	G1G01-4594 // G1G01-4593	-
TU1G01-5542	G1G01-5229	-
TU1G01-6204	G1G01-5502	+
TU1G01-2834	G1G01-2660	-
TU1G01-1002	G1G01-941 // G1G01-940	+
TU1G01-1792	G1G01-1705	+
TU1G01-3502	G1G01-3283	-
TU1G01-4166	G1G01-3892	+
TU1G01-7184	G1G01-1208	-
TU1G01-2458	G1G01-2308	-
TU1G01-4834	G1G01-4568	+
TU1G01-5512	G1G01-5200 // G1G01-5199	+
TU1G01-6178	G1G01-5568	+
TU1G01-2804	G1G01-2633	-
TU1G01-1762	G1G01-1675 // G1G01-1674 // G1G01-1673 // G1G01-1672 // G1G01-1671	+
TU1G01-3474	G1G01-3257 // G1G01-3256 // G1G01-3255	+
TU1G01-4138	G1G01-3868	-
TU1G01-7156	G1G01-1388	-
TU1G01-2426	G1G01-2284 // G1G01-2283	-
TU1G01-4804	G1G01-4540	-
TU1G01-7150	G1G01-1432	-
TU1G01-2420	G1G01-2279	+
TU1G01-480	G1G01-434	-
TU1G01-5478	G1G01-5165	-
TU1G01-6142	G1G01-5649	+
TU1G01-2772	G1G01-2602	+
TU1G01-1728	G1G01-1633	-
TU1G01-344	G1G01-305	+
TU1G01-4102	G1G01-3834 // G1G01-3833 // G1G01-3832 // G1G01-3831	+
TU1G01-7120	G1G01-1531	+
TU1G01-2394	G1G01-2257	+
TU1G01-4772	G1G01-4504 // G1G01-4503 // G1G01-4502 // G1G01-4501 // G1G01-4500	-
TU1G01-5448	G1G01-5134	+
TU1G01-6114	G1G01-5730	+
TU1G01-170	G1G01-144	+
TU1G01-3408	G1G01-3180	-
TU1G01-4074	G1G01-3811 // G1G01-3810	+
TU1G01-7092	G1G01-1736	+
TU1G01-2364	G1G01-2237	+
TU1G01-4742	G1G01-4474 // G1G01-4473	-
TU1G01-542	G1G01-498 // G1G01-497 // G1G01-496	+
TU1G01-6084	G1G01-5765	+
TU1G01-1670	G1G01-1576 // G1G01-1575 // G1G01-1574 // G1G01-1573	-
TU1G01-3380	G1G01-3161	-
TU1G01-7062	G1G01-1913	+
TU1G01-2336	G1G01-2209	-
TU1G01-4050	G1G01-3794	+
TU1G01-4714	G1G01-4439 // G1G01-4438 // G1G01-4437	+
TU1G01-994	G1G01-934 // G1G01-933	+
TU1G01-6056	G1G01-5710	+
TU1G01-1640	G1G01-1550	-
TU1G01-3352	G1G01-3133	+
TU1G01-7034	G1G01-1947	+
TU1G01-2306	G1G01-2190	-
TU1G01-4020	G1G01-3773	-
TU1G01-4684	G1G01-4398 // G1G01-4397 // G1G01-4396 // G1G01-4395 // G1G01-4394 // G1G01-4393 // G1G01-4392 // G1G01-4391	+
TU1G01-964	G1G01-901 // G1G01-900 // G1G01-899 // G1G01-898	+
TU1G01-5368	G1G01-5072 // G1G01-5071	-
TU1G01-6026	G1G01-5687	+
TU1G01-1612	G1G01-1528	+
TU1G01-6690	G1G01-3595	+
TU1G01-3322	G1G01-3110	-
TU1G01-7004	G1G01-2050	+
TU1G01-2278	G1G01-2159 // G1G01-2158 // G1G01-2157	-
TU1G01-3996	G1G01-3754 // G1G01-3753	-
TU1G01-4656	G1G01-4372	-
TU1G01-936	G1G01-876	-
TU1G01-5336	G1G01-5041 // G1G01-5040 // G1G01-5039 // G1G01-5038	-
TU1G01-60	G1G01-46	-
TU1G01-1584	G1G01-1502	-
TU1G01-6660	G1G01-3763	-
TU1G01-3294	G1G01-3087	-
TU1G01-6978	G1G01-2219	-
TU1G01-2248	G1G01-2125	+
TU1G01-3966	G1G01-3727 // G1G01-3726	+
TU1G01-4626	G1G01-4348	+
TU1G01-906	G1G01-851 // G1G01-850	-
TU1G01-5306	G1G01-5013	+
TU1G01-5972	G1G01-5647	-
TU1G01-1556	G1G01-1481 // G1G01-1480	-
TU1G01-6632	G1G01-3858	-
TU1G01-3264	G1G01-3062 // G1G01-3061	+
TU1G01-144	G1G01-124 // G1G01-123 // G1G01-122	-
TU1G01-6948	G1G01-2330	-
TU1G01-222	G1G01-183	-
TU1G01-3938	G1G01-3692	-
TU1G01-46	G1G01-38	+
TU1G01-878	G1G01-825	+
TU1G01-5278	G1G01-4987 // G1G01-4986 // G1G01-4985	-
TU1G01-5942	G1G01-5622	+
TU1G01-1526	G1G01-1453 // G1G01-1452	+
TU1G01-6602	G1G01-3939	+
TU1G01-3236	G1G01-3040	-
TU1G01-1410	G1G01-1326 // G1G01-1325 // G1G01-1324 // G1G01-1323	+
TU1G01-692	G1G01-671 // G1G01-670	-
TU1G01-2192	G1G01-2080	+
TU1G01-3908	G1G01-3667 // G1G01-3666	-
TU1G01-4568	G1G01-4290	+
TU1G01-848	G1G01-792	-
TU1G01-5248	G1G01-4961	+
TU1G01-5914	G1G01-5600	-
TU1G01-1498	G1G01-1431 // G1G01-1430 // G1G01-1429	+
TU1G01-6576	G1G01-4021	-
TU1G01-3206	G1G01-3013 // G1G01-3012	+
TU1G01-1382	G1G01-1298	+
TU1G01-6890	G1G01-2589	+
TU1G01-2162	G1G01-2059	+
TU1G01-388	G1G01-346 // G1G01-345 // G1G01-344	+
TU1G01-4536	G1G01-4264 // G1G01-4263 // G1G01-4262 // G1G01-4261 // G1G01-4260	+
TU1G01-82	G1G01-61	-
TU1G01-522	G1G01-475	+
TU1G01-5882	G1G01-5563	-
TU1G01-1468	G1G01-1391 // G1G01-1390	+
TU1G01-6546	G1G01-4109	+
TU1G01-318	G1G01-279 // G1G01-278	-
TU1G01-1354	G1G01-1274	-
TU1G01-6860	G1G01-2708	-
TU1G01-2134	G1G01-2031 // G1G01-2030	+
TU1G01-3850	G1G01-3621	-
TU1G01-4506	G1G01-4231 // G1G01-4230	-
TU1G01-792	G1G01-750	-
TU1G01-5192	G1G01-4899 // G1G01-4898 // G1G01-4897	-
TU1G01-5854	G1G01-5537	+
TU1G01-6518	G1G01-4240	-
TU1G01-3150	G1G01-2952 // G1G01-2951	-
TU1G01-1324	G1G01-1255	-
TU1G01-6832	G1G01-2761	-
TU1G01-2104	G1G01-1998	-
TU1G01-3820	G1G01-3586 // G1G01-3585	-
TU1G01-4478	G1G01-4211 // G1G01-4210	+
TU1G01-762	G1G01-730	+
TU1G01-5162	G1G01-4868 // G1G01-4867	-
TU1G01-5824	G1G01-5511	-
TU1G01-6488	G1G01-4400	+
TU1G01-3120	G1G01-2920	-
TU1G01-1296	G1G01-1234	-
TU1G01-6802	G1G01-2996	-
TU1G01-2076	G1G01-1968	+
TU1G01-3794	G1G01-3565	+
TU1G01-4448	G1G01-4190	+
TU1G01-7451	G1G01-3986	-
TU1G01-2740	G1G01-2574	-
TU1G01-5134	G1G01-4842 // G1G01-4841 // G1G01-4840	-
TU1G01-5798	G1G01-5479 // G1G01-5478	+
TU1G01-646	G1G01-625	-
TU1G01-3092	G1G01-2888 // G1G01-2887	+
TU1G01-1264	G1G01-1212	-
TU1G01-6776	G1G01-3138	+
TU1G01-2046	G1G01-1945	+
TU1G01-3764	G1G01-3537	+
TU1G01-442	G1G01-404 // G1G01-403	+
TU1G01-7436	G1G01-3829 // G1G01-3830 // G1G01-3831 // G1G01-3832 // G1G01-3833 // G1G01-3834	+
TU1G01-2712	G1G01-2543 // G1G01-2542	+
TU1G01-5104	G1G01-4818	-
TU1G01-5768	G1G01-5450 // G1G01-5449	-
TU1G01-6430	G1G01-4705	+
TU1G01-3060	G1G01-2859 // G1G01-2858 // G1G01-2857 // G1G01-2856	+
TU1G01-1236	G1G01-1182	-
TU1G01-6746	G1G01-3261	+
TU1G01-2018	G1G01-1927	-
TU1G01-3736	G1G01-3513 // G1G01-3512 // G1G01-3511 // G1G01-3510 // G1G01-3509 // G1G01-3508 // G1G01-3507 // G1G01-3506 // G1G01-3505 // G1G01-3504 // G1G01-3503	-
TU1G01-4392	G1G01-4112	-
TU1G01-7408	G1G01-111	-
TU1G01-2682	G1G01-2514	-
TU1G01-5076	G1G01-4787 // G1G01-4786 // G1G01-4785 // G1G01-4784 // G1G01-4783	-
TU1G01-574	G1G01-548	-
TU1G01-6400	G1G01-4813	-
TU1G01-3030	G1G01-2831	+
TU1G01-1206	G1G01-1156	-
TU1G01-6718	G1G01-3471	-
TU1G01-1988	G1G01-1884	-
TU1G01-3706	G1G01-3465 // G1G01-3464	-
TU1G01-4362	G1G01-4089	+
TU1G01-7380	G1G01-280	+
TU1G01-2654	G1G01-2486	+
TU1G01-5046	G1G01-4750	-
TU1G01-5710	G1G01-5389	-
TU1G01-6374	G1G01-4871	-
TU1G01-3000	G1G01-2796 // G1G01-2795 // G1G01-2794 // G1G01-2793 // G1G01-2792	-
TU1G01-1174	G1G01-1128 // G1G01-1127 // G1G01-1126 // G1G01-1125 // G1G01-1124 // G1G01-1123 // G1G01-1122 // G1G01-1121 // G1G01-1120 // G1G01-1119 // G1G01-1118 // G1G01-1117	+
TU1G01-196	G1G01-167 // G1G01-166	+
TU1G01-3678	G1G01-3441	-
TU1G01-4334	G1G01-4064 // G1G01-4063	-
TU1G01-7352	G1G01-337	+
TU1G01-2624	G1G01-2463	+
TU1G01-5018	G1G01-4731	-
TU1G01-5680	G1G01-5360 // G1G01-5359	+
TU1G01-6344	G1G01-4933	+
TU1G01-2974	G1G01-2768	-
TU1G01-1144	G1G01-1087	+
TU1G01-1930	G1G01-1835	-
TU1G01-3648	G1G01-3413 // G1G01-3412 // G1G01-3411	-
TU1G01-4304	G1G01-4020	+
TU1G01-7322	G1G01-455	-
TU1G01-2598	G1G01-2446 // G1G01-2445	+
TU1G01-4990	G1G01-4710	+
TU1G01-5652	G1G01-5336 // G1G01-5335 // G1G01-5334 // G1G01-5333 // G1G01-5332	-
TU1G01-6316	G1G01-5026	-
TU1G01-2944	G1G01-2741	-
TU1G01-1114	G1G01-1058	-
TU1G01-1900	G1G01-1807 // G1G01-1806 // G1G01-1805	+
TU1G01-3618	G1G01-3392	-
TU1G01-4276	G1G01-3990 // G1G01-3989	+
TU1G01-7294	G1G01-607	+
TU1G01-2568	G1G01-2404 // G1G01-2403	+
TU1G01-4960	G1G01-4691 // G1G01-4690	+
TU1G01-5622	G1G01-5309	-
TU1G01-6286	G1G01-5193	+
TU1G01-2916	G1G01-2719	+
TU1G01-1084	G1G01-1021 // G1G01-1020 // G1G01-1019 // G1G01-1018 // G1G01-1017	+
TU1G01-1872	G1G01-1784 // G1G01-1783 // G1G01-1782	+
TU1G01-3590	G1G01-3374	-
TU1G01-4246	G1G01-3957 // G1G01-3956 // G1G01-3955	-
TU1G01-7264	G1G01-831	-
TU1G01-254	G1G01-217 // G1G01-216	-
TU1G01-4930	G1G01-4670	-
TU1G01-5596	G1G01-5282 // G1G01-5281	-
TU1G01-6258	G1G01-5299	-
TU1G01-2886	G1G01-2693	-
TU1G01-1056	G1G01-993	+
TU1G01-1842	G1G01-1751	+
TU1G01-3556	G1G01-3339 // G1G01-3338	+
TU1G01-4218	G1G01-3929	+
TU1G01-7236	G1G01-973	+
TU1G01-2510	G1G01-2353	+
TU1G01-4892	G1G01-4630	-
TU1G01-5566	G1G01-5253	-
TU1G01-6228	G1G01-5435	-
TU1G01-2858	G1G01-2676 // G1G01-2675	+
TU1G01-1026	G1G01-963 // G1G01-962	+
TU1G01-1814	G1G01-1723	-
TU1G01-3526	G1G01-3311	-
TU1G01-4190	G1G01-3905	-
TU1G01-7206	G1G01-1136	-
TU1G01-2480	G1G01-2323	+
TU1G01-4860	G1G01-4589	-
TU1G01-5538	G1G01-5225	+
TU1G01-620	G1G01-599 // G1G01-598 // G1G01-597	+
TU1G01-2828	G1G01-2657 // G1G01-2656 // G1G01-2655 // G1G01-2654 // G1G01-2653 // G1G01-2652	+
TU1G01-10	G1G01-4 // G1G01-3 // G1G01-2 // G1G01-1	-
TU1G01-1786	G1G01-1702 // G1G01-1701 // G1G01-1700 // G1G01-1699 // G1G01-1698 // G1G01-1697	+
TU1G01-3498	G1G01-3280	-
TU1G01-4160	G1G01-3889	+
TU1G01-718	G1G01-697	+
TU1G01-2452	G1G01-2302	-
TU1G01-4828	G1G01-4561	-
TU1G01-5506	G1G01-5195	+
TU1G01-6172	G1G01-5571	-
TU1G01-280	G1G01-239	-
TU1G01-1758	G1G01-1669	+
TU1G01-3468	G1G01-3251	+
TU1G01-4132	G1G01-3863	-
TU1G01-3462	G1G01-3241 // G1G01-3240 // G1G01-3239 // G1G01-3238 // G1G01-3237	+
TU1G01-4126	G1G01-3857	+
TU1G01-7144	G1G01-1462	+
TU1G01-2416	G1G01-2276	+
TU1G01-4796	G1G01-4534	+
TU1G01-5472	G1G01-5161	+
TU1G01-6138	G1G01-5675	-
TU1G01-2766	G1G01-2599 // G1G01-2598	+
TU1G01-1722	G1G01-1625 // G1G01-1624 // G1G01-1623	-
TU1G01-3434	G1G01-3203 // G1G01-3202	-
TU1G01-4098	G1G01-3828	-
TU1G01-7116	G1G01-1603	-
TU1G01-2388	G1G01-2253	+
TU1G01-4766	G1G01-4494 // G1G01-4493	-
TU1G01-5442	G1G01-5130	-
TU1G01-6108	G1G01-5738	+
TU1G01-1694	G1G01-1596	+
TU1G01-3402	G1G01-3177	+
TU1G01-4068	G1G01-3807	+
TU1G01-7086	G1G01-1786	+
TU1G01-236	G1G01-198	+
TU1G01-4738	G1G01-4469 // G1G01-4468 // G1G01-4467 // G1G01-4466	-
TU1G01-5414	G1G01-5107	+
TU1G01-608	G1G01-590 // G1G01-589	-
TU1G01-1664	G1G01-1569 // G1G01-1568	+
TU1G01-3376	G1G01-3158	+
TU1G01-7058	G1G01-1919	-
TU1G01-2330	G1G01-2206 // G1G01-2205	-
TU1G01-4044	G1G01-3790	+
TU1G01-4708	G1G01-4430 // G1G01-4429	-
TU1G01-988	G1G01-923 // G1G01-922 // G1G01-921	+
TU1G01-5392	G1G01-5094	-
TU1G01-6050	G1G01-5707	+
TU1G01-1636	G1G01-1548	+
TU1G01-3346	G1G01-3130	-
TU1G01-7028	G1G01-1958	+
TU1G01-2300	G1G01-2183	-
TU1G01-4016	G1G01-3771	-
TU1G01-468	G1G01-424	-
TU1G01-96	G1G01-73	+
TU1G01-5362	G1G01-5068	+
TU1G01-6020	G1G01-5684 // G1G01-5683	-
TU1G01-1606	G1G01-1524 // G1G01-1523	+
TU1G01-6684	G1G01-3598	-
TU1G01-3318	G1G01-3107 // G1G01-3106	-
TU1G01-700	G1G01-679 // G1G01-678	-
TU1G01-2272	G1G01-2151 // G1G01-2150 // G1G01-2149 // G1G01-2148 // G1G01-2147 // G1G01-2146	+
TU1G01-3990	G1G01-3749	+
TU1G01-4650	G1G01-4367	-
TU1G01-930	G1G01-873	-
TU1G01-5330	G1G01-5034 // G1G01-5033	-
TU1G01-5996	G1G01-5668	+
TU1G01-158	G1G01-136	+
TU1G01-6656	G1G01-3769	+
TU1G01-3288	G1G01-3084 // G1G01-3083	+
TU1G01-6972	G1G01-2265	-
TU1G01-2242	G1G01-2122	+
TU1G01-3960	G1G01-3719	-
