ReferenceGene,Subsystem,General_subsystem,CP043320,CP063780,CP039749,AP022324,CP000712,CP026386,CP012831,CP015225,CP043179,CP041013,CP061848,CP053697,CP076683,CP020100,CP060288,AP014655.1,CP007511.1,CP065866,CP022562,LS483372,CP069317,CP014784,CP065867,CP024478,CP013144,CP073105,CP038001,CP022561,CP045416,CP045349,AE004091.2,CP068238,CP012830,LR590473,CP065865,CP008896,CP061335,CP032419,CP045359,AP024503,CP008749.1,CP070982,CP050291,CP022560,CP058975
PA14_70040,Alanine and Aspartate Metabolism,Amino acids,FXF61_01300,IH404_00040,FA030_27965,PPTS312_03760,Pput_5180,C3F42_16515,AO356_12620,TK06_22025,FQ342_11960,FIU24_01620,IE322_22165,HNE05_18855,KQ248_01775,BVH74_04140,H7683_11395,MT1_4354,CL52_02230,I9X27_28520,CHR29_26985,NCTC10038_05945,JQN61_20685,A0T30_00940,I9X29_29500,CS390_23910,AOU28_21230,KCX70_02095,DCC84_32960,CHN49_27070,FIU84_02350,FIV02_01215,PA5304,JHW37_28375,AO353_09155,NCTC13359_00093,I9X26_32515,HZ99_16875,ICJ54_01190,D3880_21700,FIU98_01215,PproGo58_57270,OU9_05417,JYG34_25625,HAV28_24705,CHR26_08445,HXW90_30480
PA14_62480,Alanine and Aspartate Metabolism,Amino acids,FXF61_10065,IH404_23980,FA030_24780,PPTS312_47890,Pput_4556,C3F42_21275,AO356_16100,TK06_25750,FQ342_15845,FIU24_04805,IE322_25200,HNE05_14105,KQ248_21370,BVH74_01940,H7683_04385,MT1_3666,CL52_04610,I9X27_25405,CHR29_23715,NCTC10038_05195,JQN61_17525,A0T30_17980,I9X29_26455,CS390_20790,AOU28_24230,KCX70_17315,DCC84_04215,CHN49_23995,FIU84_16845,FIV02_19065,PA4722,JHW37_25390,AO353_14425,NCTC13359_05984,I9X26_29205,HZ99_22355,ICJ54_23770,D3880_04405,FIU98_19050,PproGo58_49780,OU9_04815,JYG34_22345,HAV28_21720,CHR26_11820,HXW90_26695
PA14_62400,Alanine and Aspartate Metabolism,Amino acids,FXF61_06185,IH404_21885,FA030_24745,PPTS312_13350,Pput_0840,C3F42_12275,AO356_05050,TK06_14370,FQ342_19480,FIU24_04840,IE322_17215,HNE05_09885,KQ248_21370,BVH74_00985,H7683_20740,MT1_2272,CL52_16125,I9X27_25370,CHR29_04630,NCTC10038_04772,JQN61_12330,A0T30_09905,I9X29_26420,CS390_04370,AOU28_24265,KCX70_17315,DCC84_26355,CHN49_04250,FIU84_04915,FIV02_10440,PA4715,JHW37_25355,AO353_03235,NCTC13359_05977,I9X26_29170,HZ99_10140,ICJ54_06265,D3880_10740,FIU98_10420,PproGo58_44200,OU9_04808,JYG34_04495,HAV28_04305,CHR26_03175,HXW90_24585
PA14_10570,Alternate Carbon Metabolism,Amino acids,,IH404_18415,FA030_01070,PPTS312_35870,,C3F42_02090,AO356_25560,TK06_06680,FQ342_25650,FIU24_28525,,,,,H7683_14115,,,I9X27_04120,,,,,I9X29_04205,CS390_11390,AOU28_15790,,DCC84_12405,,,,PA4128,JHW37_03985,,NCTC13359_01275,I9X26_04475,HZ99_06995,,,,PproGo58_32640,OU9_04183,JYG34_14870,,CHR26_25340,
PA14_57890,Alternate Carbon Metabolism,Amino acids,FXF61_10860,IH404_05805,FA030_22590,PPTS312_14410,Pput_0996,C3F42_11645,AO356_07010,TK06_16295,FQ342_06260,FIU24_06995,IE322_16675,HNE05_01780,KQ248_09665,BVH74_01035,H7683_14795,MT1_1256,CL52_16180,I9X27_23970,CHR29_05165,NCTC10038_01076,JQN61_11615,A0T30_05645,I9X29_25005,CS390_04950,AOU28_25785,KCX70_04680,DCC84_28780,CHN49_05015,FIU84_04860,FIV02_04500,PA4457,JHW37_23845,AO353_05155,NCTC13359_05557,I9X26_27150,HZ99_12375,ICJ54_06800,D3880_18525,FIU98_04490,PproGo58_08990,OU9_04532,JYG34_05160,HAV28_05160,CHR26_02640,HXW90_05070
PA14_52800,Alternate Carbon Metabolism,Amino acids,FXF61_11465,IH404_21705,FA030_20495,PPTS312_41050,Pput_1428,C3F42_25120,AO356_18695,TK06_28175,FQ342_19750,FIU24_09090,IE322_03220,HNE05_05300,KQ248_18340,BVH74_16615,H7683_01775,MT1_2962,CL52_12110,I9X27_21895,CHR29_19995,NCTC10038_04723,JQN61_09525,A0T30_14740,I9X29_22615,CS390_07005,AOU28_27670,KCX70_08750,DCC84_26015,CHN49_07415,FIU84_08225,FIV02_16765,PA0887,JHW37_21875,AO353_03060,NCTC13359_05129,I9X26_24950,HZ99_09955,ICJ54_20430,D3880_07770,FIU98_16745,PproGo58_43680,OU9_00896,JYG34_18570,HAV28_07235,CHR26_16405,HXW90_24385
PA14_15820,Alternate Carbon Metabolism,Amino acids,,IH404_23070,FA030_03035,,,C3F42_23150,AO356_17550,,FQ342_05455,FIU24_26560,,,,,,,,I9X27_06135,,NCTC10038_04999,,,I9X29_06425,,AOU28_13880,,DCC84_05740,,,,PA3758,JHW37_06000,AO353_04450,NCTC13359_01668,I9X26_06470,HZ99_23765,,,,PproGo58_10540,OU9_03800,JYG34_20810,,,HXW90_25590
PA14_17400,Alternate Carbon Metabolism,Amino acids,FXF61_04570,IH404_07800,FA030_03995,PPTS312_16510,Pput_4161,C3F42_23635,AO356_05920,TK06_15230,FQ342_04860,FIU24_25600,IE322_15630,HNE05_12855,KQ248_19610,BVH74_17360,H7683_01295,MT1_3317,CL52_12870,I9X27_06785,CHR29_06170,NCTC10038_01474,JQN61_15485,A0T30_17100,I9X29_07075,CS390_05815,AOU28_13230,KCX70_15490,DCC84_06360,CHN49_21950,FIU84_07480,FIV02_16320,PA3629,JHW37_06715,AO353_16580,NCTC13359_01853,I9X26_07120,HZ99_24265,ICJ54_07895,D3880_08290,FIU98_16300,PproGo58_11760,OU9_03669,JYG34_19920,HAV28_06145,CHR26_01645,HXW90_07180
PA14_11810,Alternate Carbon Metabolism,Amino acids,FXF61_05105,IH404_25060,FA030_01630,PPTS312_10370,Pput_0584,C3F42_14170,AO356_15225,TK06_24860,FQ342_14860,FIU24_27965,IE322_18550,HNE05_01325,KQ248_08845,BVH74_17095,H7683_23780,MT1_1083,CL52_03340,I9X27_04670,CHR29_03190,NCTC10038_05368,JQN61_02925,A0T30_04955,I9X29_04745,CS390_21520,AOU28_18685,KCX70_18545,DCC84_30080,CHN49_02820,FIU84_18525,FIV02_14485,PA4022,JHW37_04530,AO353_06560,NCTC13359_01387,I9X26_05015,HZ99_13680,ICJ54_04730,D3880_19650,FIU98_14465,PproGo58_51750,OU9_04073,JYG34_02945,HAV28_22475,CHR26_04515,HXW90_27850
PA14_09710,Alternate Carbon Metabolism,Amino acids,FXF61_13880,IH404_00080,FA030_00440,PPTS312_24510,Pput_3127,C3F42_00185,AO356_09270,TK06_21985,FQ342_24880,FIU24_29155,IE322_11350,HNE05_01325,KQ248_05070,BVH74_04525,H7683_11345,MT1_0449,CL52_00880,I9X27_03815,CHR29_11130,NCTC10038_05953,JQN61_20725,A0T30_00975,I9X29_03835,CS390_01025,AOU28_16115,KCX70_04315,DCC84_14935,CHN49_16615,FIU84_00230,FIV02_23015,PA4189,JHW37_01055,AO353_15035,NCTC13359_01153,I9X26_04170,HZ99_05090,ICJ54_14605,D3880_21985,FIU98_22995,PproGo58_34660,OU9_04242,JYG34_13785,HAV28_06700,CHR26_26275,HXW90_14270
PA14_36590,Alternate Carbon Metabolism,Amino acids,,IH404_13540,FA030_13285,PPTS312_37430,Pput_1791,C3F42_06050,AO356_26015,TK06_05420,FQ342_28110,FIU24_16310,IE322_05095,,KQ248_15915,,H7683_22290,MT1_2472,CL52_09520,I9X27_14860,CHR29_18170,NCTC10038_03329,JQN61_07325,,I9X29_14870,CS390_13850,AOU28_05775,KCX70_11165,DCC84_15420,CHN49_09350,FIU84_10975,,PA2163,JHW37_14865,AO353_23765,NCTC13359_03698,I9X26_17695,HZ99_03765,ICJ54_18470,,,PproGo58_31210,OU9_02191,JYG34_10010,HAV28_15670,CHR26_18445,HXW90_16305
PA14_43440,Alternate Carbon Metabolism,Amino acids,FXF61_07050,IH404_14740,FA030_16610,PPTS312_30030,Pput_2475,C3F42_01780,AO356_26360,TK06_09195,FQ342_27200,FIU24_12980,IE322_09305,HNE05_11155,KQ248_14985,BVH74_17895,H7683_17035,MT1_2266,CL52_10055,I9X27_17610,CHR29_14130,NCTC10038_03153,JQN61_12740,A0T30_07915,I9X29_18000,CS390_10060,AOU28_03060,KCX70_06825,DCC84_10065,CHN49_13545,FIU84_10590,FIV02_06915,PA1629,JHW37_17245,AO353_25675,NCTC13359_04357,I9X26_20780,HZ99_03310,ICJ54_14895,D3880_17440,FIU98_06900,PproGo58_29700,OU9_01636,JYG34_13350,HAV28_12360,CHR26_22645,HXW90_15680
PA14_65840,Alternate Carbon Metabolism,Amino acids,FXF61_07655,IH404_08595,FA030_26205,PPTS312_24730,Pput_2037,C3F42_01785,AO356_30355,TK06_09225,FQ342_29005,FIU24_03380,IE322_06780,HNE05_12290,KQ248_05025,BVH74_00110,H7683_02565,MT1_2255,CL52_08760,I9X27_26730,CHR29_11265,NCTC10038_02299,JQN61_06375,A0T30_16555,I9X29_27800,CS390_12485,AOU28_22895,KCX70_07055,DCC84_13250,CHN49_10880,FIU84_10590,FIV02_06910,PA4980,JHW37_07595,AO353_24830,NCTC13359_06274,I9X26_30545,HZ99_24915,ICJ54_17395,D3880_08955,FIU98_06895,PproGo58_26330,OU9_05087,JYG34_13355,HAV28_14650,CHR26_20220,HXW90_07835
PA14_16130,Alternate Carbon Metabolism,Amino acids,,IH404_22935,FA030_03170,PPTS312_15570,Pput_4246,C3F42_23400,AO356_06355,TK06_15690,FQ342_05310,FIU24_26425,IE322_16060,HNE05_02900,KQ248_18350,BVH74_00555,H7683_01800,MT1_2964,CL52_10755,I9X27_06265,CHR29_05760,NCTC10038_04974,JQN61_15905,A0T30_06965,I9X29_06555,CS390_05425,AOU28_13750,KCX70_08730,DCC84_05875,CHN49_22375,FIU84_08205,FIV02_16790,PA3733,JHW37_06125,AO353_04330,NCTC13359_01695,I9X26_06600,HZ99_23900,ICJ54_07425,D3880_06210,FIU98_16770,PproGo58_10820,OU9_03774,JYG34_20175,HAV28_05700,CHR26_02050,HXW90_25470
PA14_18260,Alternate Carbon Metabolism,Amino acids,,IH404_05395,FA030_04365,PPTS312_13080,Pput_0817,C3F42_12420,AO356_07330,TK06_16670,FQ342_06565,FIU24_25230,IE322_17325,,KQ248_09475,,H7683_14495,MT1_1218,CL52_04220,I9X27_07140,CHR29_04495,NCTC10038_00988,JQN61_12440,,I9X29_07420,CS390_04270,AOU28_12880,KCX70_04465,DCC84_29200,CHN49_04130,FIU84_04635,FIV02_04090,PA3561,JHW37_07070,AO353_05480,NCTC13359_01925,I9X26_07795,HZ99_12745,ICJ54_06155,,FIU98_04080,PproGo58_08340,OU9_01974,JYG34_04355,HAV28_04155,CHR26_03310,HXW90_04640
PA14_03870,Alternate Carbon Metabolism,Amino acids,,,FA030_30910,PPTS312_21400,Pput_3558,C3F42_17935,AO356_13140,,FQ342_30915,FIU24_31580,IE322_11040,HNE05_19025,KQ248_05165,BVH74_06285,H7683_15645,MT1_0469,CL52_20025,I9X27_01505,CHR29_09270,NCTC10038_05823,JQN61_12925,A0T30_03010,I9X29_01510,CS390_23545,AOU28_19080,KCX70_21970,DCC84_32350,CHN49_18490,FIU84_00320,FIV02_05415,PA0297,JHW37_01375,AO353_29305,NCTC13359_00666,I9X26_01545,HZ99_16305,ICJ54_12510,D3880_00970,FIU98_05405,PproGo58_22390,OU9_00302,JYG34_25745,HAV28_10700,CHR26_28100,HXW90_14260
PA14_17960,Alternate Carbon Metabolism,Amino acids,FXF61_05140,IH404_07020,FA030_04245,PPTS312_43860,Pput_1116,C3F42_23875,AO356_18250,TK06_27775,FQ342_17885,FIU24_25350,IE322_01685,HNE05_11645,KQ248_11755,BVH74_10965,H7683_03210,MT1_1657,CL52_12710,I9X27_07020,CHR29_21835,NCTC10038_01332,JQN61_11035,A0T30_15675,I9X29_07310,CS390_19150,AOU28_12995,KCX70_07525,DCC84_27700,CHN49_05600,FIU84_07685,FIV02_17750,PA3582,JHW37_06960,AO353_04180,NCTC13359_01902,I9X26_07685,HZ99_11390,ICJ54_21965,D3880_16550,FIU98_17735,PproGo58_46130,OU9_03621,JYG34_05585,HAV28_19990,CHR26_13725,HXW90_06415
PA14_18010,Alternate Carbon Metabolism,Amino acids,FXF61_05140,IH404_07020,FA030_04260,PPTS312_43860,Pput_1116,C3F42_23875,AO356_18250,TK06_27775,FQ342_17885,FIU24_25335,IE322_01685,HNE05_11645,KQ248_11755,BVH74_10965,H7683_03210,MT1_1657,CL52_12710,I9X27_07035,CHR29_21835,NCTC10038_01332,JQN61_11035,A0T30_15675,I9X29_07325,CS390_19150,AOU28_12995,KCX70_07525,DCC84_27700,CHN49_05600,FIU84_07685,FIV02_17750,PA3579,JHW37_06975,AO353_04180,NCTC13359_01905,I9X26_07700,HZ99_11390,ICJ54_21965,D3880_16550,FIU98_17735,PproGo58_46130,OU9_03618,JYG34_05585,HAV28_19990,CHR26_13725,HXW90_06415
PA14_34640,Alternate Carbon Metabolism,Amino acids,,IH404_21895,FA030_12120,PPTS312_28610,Pput_2346,C3F42_02425,AO356_05060,TK06_14380,FQ342_19470,FIU24_17475,IE322_08275,,KQ248_16625,BVH74_17785,H7683_21320,MT1_2621,CL52_09380,I9X27_13980,CHR29_14660,NCTC10038_04774,JQN61_03760,,I9X29_14150,CS390_12540,AOU28_06525,KCX70_12970,DCC84_26365,CHN49_12675,FIU84_11265,FIV02_12690,PA2321,JHW37_14060,AO353_03250,NCTC13359_03467,I9X26_16395,HZ99_10150,ICJ54_15930,,FIU98_12670,PproGo58_44220,OU9_02337,JYG34_11725,HAV28_11675,CHR26_23165,HXW90_24600
PA14_34340,Alternate Carbon Metabolism,Amino acids,,IH404_15925,FA030_12000,PPTS312_29240,Pput_3232,C3F42_04765,AO356_27700,TK06_03975,FQ342_27140,FIU24_17595,IE322_11965,,KQ248_16560,,,MT1_2608,,I9X27_13860,CHR29_14450,NCTC10038_02748,JQN61_03595,,I9X29_14030,CS390_09130,AOU28_06620,KCX70_12905,DCC84_18495,CHN49_17165,FIU84_11195,FIV02_23860,PA2344,JHW37_13985,AO353_25910,NCTC13359_03442,I9X26_16275,HZ99_03910,ICJ54_11585,,FIU98_23840,PproGo58_29820,OU9_02361,JYG34_09735,HAV28_14875,CHR26_19300,HXW90_13620
PA14_54000,Alternate Carbon Metabolism,Amino acids,,IH404_21020,FA030_21000,PPTS312_22710,Pput_3432,C3F42_27170,,,FQ342_01500,FIU24_08585,IE322_12470,,,BVH74_12010,,,,I9X27_22385,CHR29_09975,NCTC10038_04550,,,I9X29_23105,,AOU28_27290,,DCC84_08240,CHN49_17810,,,PA0792,JHW37_22415,AO353_00880,NCTC13359_05232,I9X26_25575,HZ99_08640,ICJ54_11080,D3880_10030,,PproGo58_18230,OU9_00806,JYG34_09320,HAV28_15890,CHR26_27305,HXW90_23645
PA14_53940,Alternate Carbon Metabolism,Amino acids,FXF61_05305,IH404_21040,FA030_20980,PPTS312_22670,Pput_3436,C3F42_27150,AO356_20865,TK06_30220,FQ342_01520,FIU24_08605,IE322_12490,HNE05_07530,KQ248_14070,BVH74_11990,H7683_21510,MT1_2077,CL52_08575,I9X27_22365,CHR29_09955,NCTC10038_04555,JQN61_15725,A0T30_12250,I9X29_23085,CS390_08575,AOU28_27310,KCX70_10310,DCC84_08220,CHN49_17830,FIU84_09960,FIV02_12505,PA0796,JHW37_22395,AO353_00900,NCTC13359_05227,I9X26_25555,HZ99_08660,ICJ54_11060,D3880_10010,FIU98_12485,PproGo58_18190,OU9_00810,JYG34_09300,HAV28_15910,CHR26_27325,HXW90_23665
PA14_53950,Alternate Carbon Metabolism,Amino acids,FXF61_05310,IH404_21035,FA030_20985,PPTS312_22680,Pput_3435,C3F42_27155,AO356_20870,TK06_30225,FQ342_01515,FIU24_08600,IE322_12485,HNE05_07535,KQ248_14075,BVH74_11995,H7683_21515,MT1_2078,CL52_08580,I9X27_22370,CHR29_09960,NCTC10038_04554,JQN61_08085,A0T30_12255,I9X29_23090,CS390_08580,,KCX70_10315,DCC84_08225,CHN49_17825,FIU84_09965,FIV02_12500,PA0795,JHW37_22400,AO353_00895,NCTC13359_05228,I9X26_25560,HZ99_08655,ICJ54_11065,D3880_10015,FIU98_12480,PproGo58_18200,OU9_00809,JYG34_09305,HAV28_15905,CHR26_27320,HXW90_23660
PA14_53970,Alternate Carbon Metabolism,Amino acids,FXF61_05315,IH404_21030,FA030_20990,PPTS312_22690,Pput_3434,C3F42_27160,AO356_20875,TK06_30230,FQ342_01510,FIU24_08595,IE322_12480,HNE05_07540,KQ248_14080,BVH74_12000,H7683_21520,MT1_2079,CL52_08585,I9X27_22375,CHR29_09965,NCTC10038_04552,JQN61_13285,A0T30_12260,I9X29_23095,CS390_08585,AOU28_03875,KCX70_10320,DCC84_08230,CHN49_17820,FIU84_09970,FIV02_12495,PA0794,JHW37_22405,AO353_00890,NCTC13359_05229,I9X26_25565,HZ99_08650,ICJ54_11070,D3880_10020,FIU98_12475,PproGo58_18210,OU9_00808,JYG34_09310,HAV28_15900,CHR26_27315,HXW90_23655
PA14_36605,Alternate Carbon Metabolism,Amino acids,,IH404_13535,FA030_13290,PPTS312_37440,Pput_1790,C3F42_06055,AO356_26010,TK06_05415,FQ342_28115,FIU24_16305,IE322_05090,,KQ248_15920,,H7683_22295,MT1_2473,CL52_09515,I9X27_14865,CHR29_18175,NCTC10038_03330,JQN61_07330,,I9X29_14875,,AOU28_05770,KCX70_11160,DCC84_15415,CHN49_09345,FIU84_10980,,PA2162,JHW37_14870,AO353_23760,NCTC13359_03699,I9X26_17700,HZ99_03770,ICJ54_18475,,,PproGo58_31220,OU9_02190,JYG34_10005,HAV28_15675,CHR26_18440,HXW90_16310
PA14_70270,Alternate Carbon Metabolism,Amino acids,FXF61_12165,IH404_00120,FA030_28055,PPTS312_03940,Pput_5197,C3F42_17985,AO356_12530,TK06_21940,FQ342_11880,FIU24_01530,IE322_22085,HNE05_18760,KQ248_01840,BVH74_05315,H7683_08525,MT1_4367,CL52_02170,I9X27_28610,CHR29_27295,NCTC10038_05961,JQN61_20770,A0T30_01015,I9X29_29585,CS390_23990,AOU28_21140,KCX70_02030,DCC84_33045,CHN49_27155,FIU84_02285,FIV02_23355,PA5322,JHW37_28465,AO353_09235,NCTC13359_00110,I9X26_32605,HZ99_16955,ICJ54_01275,D3880_21765,FIU98_23335,PproGo58_57430,OU9_05435,JYG34_25705,HAV28_24785,CHR26_08365,HXW90_30560
PA14_53480,Alternate Carbon Metabolism,Amino acids,FXF61_01930,IH404_04695,FA030_20780,PPTS312_12930,Pput_0799,C3F42_22250,AO356_16680,TK06_26260,FQ342_06170,FIU24_08805,IE322_17410,HNE05_11980,KQ248_21170,BVH74_07960,H7683_04695,MT1_3625,CL52_15765,I9X27_22165,CHR29_04420,NCTC10038_00829,JQN61_12530,A0T30_07545,I9X29_22885,CS390_04190,AOU28_24590,KCX70_17100,DCC84_04790,CHN49_04045,FIU84_05350,FIV02_19360,PA0835,JHW37_22150,AO353_05065,NCTC13359_05187,I9X26_25220,HZ99_22935,ICJ54_06070,D3880_05025,FIU98_19345,PproGo58_09170,OU9_00842,JYG34_04265,HAV28_04060,CHR26_03455,HXW90_03930
