Transcription-Units	Direction	Genes of transcription unit
TU8J2-506	-	BSU_TRNA_72 // BSU_TRNA_71 // BSU_TRNA_70 // BSU_TRNA_69 // BSU_TRNA_68 // BSU_TRNA_67 // BSU_TRNA_66 // BSU_TRNA_65 // BSU_TRNA_64 // BSU_TRNA_63 // BSU_TRNA_62 // BSU_TRNA_61 // BSU_TRNA_60 // BSU_TRNA_59 // BSU_TRNA_58 // BSU_TRNA_57 // BSU_TRNA_56 // BSU_TRNA_55 // BSU_TRNA_54 // BSU_TRNA_53 // BSU_TRNA_52 // BSU_RRNA_21 // BSU_RRNA_20 // BSU_RRNA_19
TU8J2-1215	+	BSU00060 // BSU00050 // BSU00040 // BSU00030
TU8J2-16433	+	BSU17440 // BSU17430
TU8J2-16971	-	BSU35230
TU8J2-229	+	BSU40310 // BSU40300
TU8J2-50	+	BSU38630
TU8J2-16506	+	BSU19160
TU8J2-1078	+	BSU04470 // BSU04460 // BSU04450
TU8J2-16113	+	BSU05700
TU8J2-17277	-	BSU31590
TU8J2-200	-	BSU41030 // BSU41040
TU8J2-16611	+	BSU21350
TU8J2-416	+	BSU35820 // BSU35810 // BSU35800
TU8J2-17240	-	BSU25730
TU8J2-16371	+	BSU15000
TU8J2-16442	+	BSU17660 // BSU17650
TU8J2-16580	-	BSU20840 // BSU20830
TU8J2-476	+	BSU31920
TU8J2-16016	+	BSU01880
TU8J2-16588	-	BSU20950
TU8J2-16694	-	BSU24520
TU8J2-16104	-	BSU05460
TU8J2-44	-	BSU30630
TU8J2-505	-	BSU31000 // BSU31010 // BSU31020
TU8J2-1129	+	BSU03130
TU8J2-924	+	BSU10400
TU8J2-15962	+	BSU00280 // BSU00270
TU8J2-15985	+	BSU01130
TU8J2-735	-	BSU22080
TU8J2-380	-	BSU36670 // BSU36680
TU8J2-125	+	BSU17820
TU8J2-460	-	BSU33000
TU8J2-1149	+	BSU02700
TU8J2-1159	+	BSU02380
TU8J2-17255	-	BSU_27786
TU8J2-411	+	BSU35960 // BSU35950 // BSU35940 // BSU35930 // BSU35920 // BSU35910
TU8J2-16952	-	BSU34180
TU8J2-611	-	BSU28190 // BSU28200
TU8J2-144	-	BSU18930 // BSU18940 // BSU18950
TU8J2-16713	-	BSU25180 // BSU25170
TU8J2-16385	+	BSU15660
TU8J2-261	+	BSU39590
TU8J2-16634	+	BSU21920
TU8J2-290	-	BSU38840
TU8J2-1045	-	BSU06310
TU8J2-949	-	BSU09410
TU8J2-16205	+	BSU09630
TU8J2-16594	-	BSU21000
TU8J2-485	+	BSU31580
TU8J2-264	-	BSU39530 // BSU39540
TU8J2-15895	-	BSU32370 // BSU32380 // BSU32390 // BSU32400
TU8J2-16425	+	BSU17270
TU8J2-16973	+	BSU_35678
TU8J2-16699	-	BSU24830
TU8J2-958	-	BSU09140
TU8J2-69	-	BSU23450 // BSU23460 // BSU23470 // BSU23480
TU8J2-1025	+	BSU07440
TU8J2-16551	-	BSU20180
TU8J2-16532	-	BSU19920
TU8J2-450	+	BSU33410
TU8J2-270	-	BSU39320
TU8J2-16267	+	BSU11610 // BSU11600 // BSU11590
TU8J2-303	-	BSU38600
TU8J2-16567	-	BSU20550
TU8J2-16258	+	BSU11280
TU8J2-360	+	BSU37140
TU8J2-16111	-	BSU05620
TU8J2-1204	+	BSU00260 // BSU00250
TU8J2-16983	-	BSU36220 // BSU_36215
TU8J2-16161	+	BSU07060 // BSU07050
TU8J2-1145	+	BSU02770
TU8J2-770	+	BSU19110
TU8J2-16953	+	BSU34380
TU8J2-62	+	BSU09165
TU8J2-482	-	BSU31690
TU8J2-1125	+	BSU03270
TU8J2-1188	+	BSU00730
TU8J2-421	+	BSU35670
TU8J2-16173	-	BSU07660
TU8J2-16619	-	BSU21550
TU8J2-679	-	BSU24240 // BSU24250
TU8J2-1047	-	BSU06270 // BSU06280 // BSU06290
TU8J2-266	-	BSU39440 // BSU39450
TU8J2-451	-	BSU33340
TU8J2-663	-	BSU25110 // BSU25130
TU8J2-268	+	BSU39390 // BSU39380 // BSU39370 // BSU39360 // BSU39350 // BSU39340
TU8J2-16908	-	BSU32719
TU8J2-17331		BSU13910 // BSU13900
TU8J2-16141	+	BSU06390
TU8J2-302	-	BSU38610 // BSU38620
TU8J2-248	+	BSU39930 // BSU39920 // BSU39910 // BSU39900 // BSU39890
TU8J2-150	+	BSU06630 // BSU06620 // BSU06610 // BSU06600
TU8J2-15954	-	BSU34640
TU8J2-17181	+	BSU18430
TU8J2-957	+	BSU09150
TU8J2-1312	+	BSU31570 // BSU31560 // BSU31550 // BSU31540
TU8J2-16188	+	BSU08780
TU8J2-16394	+	BSU16060
TU8J2-90	+	BSU29400
TU8J2-17066	+	BSU02720
TU8J2-17431	-	BSU29679
TU8J2-95	+	BSU15410 // BSU15400 // BSU15390 // BSU15380 // BSU15370
TU8J2-16756	-	BSU26510 // BSU26500
TU8J2-731	+	BSU22290
TU8J2-17270	+	BSU30659
TU8J2-16776	+	BSU26810
TU8J2-17140	-	BSU_11798
TU8J2-1164	-	BSU02110
TU8J2-17025	-	BSU38870
TU8J2-396	-	BSU36340
TU8J2-908	+	BSU11500 // BSU11490
TU8J2-15918	-	BSU08510
TU8J2-1041	-	BSU06650
TU8J2-952	-	BSU09370
TU8J2-560	-	BSU29460
TU8J2-16431	+	BSU17350
TU8J2-17178	-	G8J2-8
TU8J2-123	+	BSU37030
TU8J2-17051	-	BSU40574
TU8J2-17117	-	BSU09660
TU8J2-861	+	BSU13990
TU8J2-17048	-	BSU40430
TU8J2-898	+	BSU11950 // BSU11940
TU8J2-341	-	BSU37640
TU8J2-17265	+	BSU29970
TU8J2-16819	-	BSU28240
TU8J2-16660	-	BSU22820 // BSU22810
TU8J2-15993	+	BSU01440
TU8J2-397	-	BSU36300 // BSU36310
TU8J2-16274	-	BSU11890
TU8J2-16637	-	BSU22019
TU8J2-26	-	BSU06660
TU8J2-38	-	BSU24220
TU8J2-17084	+	BSU05280
TU8J2-990	-	BSU08340
TU8J2-16569	-	BSU20610 // BSU20600
TU8J2-783	+	BSU18530 // BSU18520 // BSU18510
TU8J2-240	-	BSU40030 // BSU40040
TU8J2-475	+	BSU31930
TU8J2-16803	-	BSU27420
TU8J2-16722	-	BSU25680 // BSU25670 // BSU25660 // BSU25650 // BSU25640 // BSU25630 // BSU25620 // BSU25610
TU8J2-16695	-	BSU24530
TU8J2-16098	+	BSU05340 // BSU05330
TU8J2-481	-	BSU31700 // BSU31710
TU8J2-16735	-	BSU26210
TU8J2-16605	+	BSU21270 // BSU21260 // BSU21250 // BSU21240
TU8J2-16217	-	BSU10020
TU8J2-15948	-	BSU29140
TU8J2-16914	+	BSU32860 // BSU32859
TU8J2-16443	+	BSU17678
TU8J2-282	-	BSU38970 // BSU38980 // BSU38990 // BSU39000
TU8J2-309	+	BSU38470
TU8J2-444	+	BSU33970
TU8J2-16951	-	BSU34170
TU8J2-1221	-	BSU10170
TU8J2-1143	+	BSU02790
TU8J2-16725	+	BSU25850
TU8J2-16439	+	BSU17530
TU8J2-73	-	BSU24230
TU8J2-16312	+	BSU13340
TU8J2-15932	-	BSU12860
TU8J2-1136	+	BSU03020
TU8J2-16687	-	BSU23940
TU8J2-626	+	BSU27810
TU8J2-600	-	BSU28430 // BSU28440 // BSU28450
TU8J2-16848	+	BSU30060
TU8J2-17093	-	BSU05690
TU8J2-16320	+	BSU13490
TU8J2-1260	+	BSU11500
TU8J2-198	-	BSU37810 // BSU37820 // BSU37830 // BSU37840 // BSU37850 // BSU37860 // BSU37870 // BSU37880 // BSU37890 // BSU37900 // BSU37910
TU8J2-2982	+	BSU06320
TU8J2-2952	+	BSU02380 // BSU02370
TU8J2-15894	-	BSU08890 // BSU08899
TU8J2-976	+	BSU08540
TU8J2-16329	+	BSU13819
TU8J2-1140	+	BSU02940 // BSU02930 // BSU02920 // BSU02910 // BSU02900 // BSU02890
TU8J2-16208	-	BSU09680
TU8J2-16457	-	BSU18070
TU8J2-372	-	BSU36800 // BSU36810 // BSU36820 // BSU36830 // BSU36840 // BSU36850 // BSU36860 // BSU36870 // BSU36880
TU8J2-627	-	BSU27750 // BSU27760
TU8J2-315	+	BSU38370
TU8J2-16838	-	BSU29420
TU8J2-17264	+	BSU29910
TU8J2-1174	-	BSU01800
TU8J2-826	+	BSU16100 // BSU16090
TU8J2-15991	+	BSU01420 // BSU01410 // BSU01400 // BSU01390
TU8J2-1168	+	BSU02060
TU8J2-16187	+	BSU08750
TU8J2-16643	-	BSU_MISC_RNA_35
TU8J2-287	+	BSU38890
TU8J2-154	-	BSU35290 // BSU35300
TU8J2-806	-	BSU17590
TU8J2-15	+	BSU15290 // BSU15280
TU8J2-16519	-	BSU19520
TU8J2-16501	-	BSU19060 // BSU19050
TU8J2-16930	+	BSU33380
TU8J2-325	+	BSU38090
TU8J2-15879	+	BSU12270
TU8J2-16623	+	BSU21598
TU8J2-17184	-	BSU18760
TU8J2-16355	-	BSU14569
TU8J2-1111	-	BSU03580
TU8J2-419	+	BSU35760 // BSU35750
TU8J2-2950	-	BSU07760 // BSU07770 // BSU07780 // BSU07790
TU8J2-665	-	BSU24950 // BSU24960 // BSU24970 // BSU24980 // BSU24990
TU8J2-16396	+	BSU16130
TU8J2-590	-	BSU28650
TU8J2-1043	+	BSU06370
TU8J2-820	+	BSU16710
TU8J2-383	-	BSU36600
TU8J2-16085	-	BSU05150
TU8J2-17313	+	BSU35140
TU8J2-17191	+	G8J2-163
TU8J2-17425	-	BSU18680
TU8J2-17129	+	BSU10810
TU8J2-16073	+	BSU_TRNA_51 // BSU_TRNA_50 // BSU_TRNA_49 // BSU_TRNA_48 // BSU_TRNA_47 // BSU_TRNA_46 // BSU_TRNA_45
TU8J2-328	-	BSU38030 // BSU38040 // BSU38050
TU8J2-1020	+	BSU07560
TU8J2-16084	-	BSU05140
TU8J2-17422	+	BSU15920
TU8J2-215	-	BSU40630 // BSU40640
TU8J2-1219	+	BSU15910 // BSU15900 // BSU15890 // BSU15880
TU8J2-16416	-	BSU_MISC_RNA_89
TU8J2-16740	-	BSU26270
TU8J2-16793	+	G8J2-161
TU8J2-16981	+	BSU36080
TU8J2-1316	-	BSU02590
TU8J2-16576	-	BSU20760
TU8J2-17144	+	BSU12060
TU8J2-1242	-	BSU23240 // BSU23250 // BSU23260 // BSU23270 // BSU23280
TU8J2-16856	-	BSU30640
TU8J2-569	-	BSU29170 // BSU29180 // BSU29190
TU8J2-550	-	BSU29630
TU8J2-615	-	BSU28080 // BSU28090
TU8J2-189	+	BSU22240
TU8J2-16894	-	BSU32160
TU8J2-16565	+	BSU20500
TU8J2-17031	-	BSU39030
TU8J2-15977	+	BSU_RRNA_11
TU8J2-16987	+	BSU36570 // BSU36560
TU8J2-1179	-	BSU01570
TU8J2-17214	+	BSU20780
TU8J2-16156	+	BSU06840
TU8J2-330	-	BSU37970
TU8J2-1131	+	BSU03100 // BSU03090
TU8J2-16936	-	BSU33580 // BSU33570 // BSU33560
TU8J2-17225	+	BSU24540
TU8J2-3036	+	BSU04990 // BSU04980 // BSU04970 // BSU04960 // BSU04950 // BSU04940 // BSU04930 // BSU04920 // BSU04910 // BSU04900 // BSU04890 // BSU04880 // BSU04870 // BSU04860 // BSU04850 // G8J2-173 // BSU04840 // BSU04839 // BSU04830
TU8J2-16040	+	BSU02800
TU8J2-16345	+	BSU14230
TU8J2-16082	-	G8J2-174
TU8J2-2964	+	BSU04230
TU8J2-16577	-	BSU20770
TU8J2-176	-	BSU02420 // BSU02430
TU8J2-17308	+	BSU34650
TU8J2-16229	+	BSU10250 // BSU10240
TU8J2-17179	-	BSU17830
TU8J2-17203	+	BSU19669
TU8J2-570	+	BSU29160
TU8J2-114	+	BSU09340 // BSU09330 // BSU09320
TU8J2-231	-	BSU40260 // BSU40270 // BSU40280
TU8J2-534	-	BSU30000 // BSU30010
TU8J2-16792	+	BSU27110
TU8J2-17017	+	BSU38240 // BSU38230
TU8J2-657	-	BSU25370 // BSU25380 // BSU25390
TU8J2-404	+	BSU36070
TU8J2-15884	-	BSU19150
TU8J2-15917	-	BSU36670
TU8J2-146	+	BSU13800
TU8J2-342	+	BSU37620
TU8J2-209	+	BSU40790
TU8J2-15995	+	BSU_MISC_RNA_4
TU8J2-15929	+	BSU10900
TU8J2-16216	-	BSU10000
TU8J2-16926	-	BSU33330
TU8J2-16062	-	BSU04359 // BSU_04345
TU8J2-1087	+	BSU04160
TU8J2-16481	-	BSU18710
TU8J2-1286	+	BSU09720 // BSU09710
TU8J2-120	+	BSU10560
TU8J2-16639	-	BSU22050 // BSU22040
TU8J2-16638	-	G8J2-19
TU8J2-463	-	BSU32940
TU8J2-16449	+	BSU17740
TU8J2-1115	+	BSU03470
TU8J2-16990	-	BSU36668
TU8J2-293	-	BSU38800
TU8J2-483	-	BSU31670 // BSU31680
TU8J2-16607	-	BSU21310
TU8J2-16018	+	BSU01900
TU8J2-16376	+	BSU15080 // BSU15070
TU8J2-310	+	BSU38460
TU8J2-233	+	BSU40240
TU8J2-16319	-	BSU13480
TU8J2-140	-	BSU21500 // BSU21510
TU8J2-239	+	BSU40080 // BSU40070 // BSU40060 // BSU40050
TU8J2-484	+	BSU31660 // BSU31650 // BSU31640 // BSU31630 // BSU31620 // BSU31610 // BSU31600
TU8J2-17063	-	BSU00080
TU8J2-15974	+	BSU00720
TU8J2-722	-	BSU22920 // BSU22930
TU8J2-16417	-	BSU17060
TU8J2-15888	-	BSU04380
TU8J2-610	-	BSU28210
TU8J2-430	-	BSU35320 // BSU35330 // BSU35340 // BSU35350
TU8J2-905	+	BSU11530
TU8J2-16806	-	BSU_MISC_RNA_41
TU8J2-17115	+	BSU09360
TU8J2-14565	+	BSU27230 // BSU27220
TU8J2-16348	+	BSU14330 // BSU14320
TU8J2-15926	+	BSU15350
TU8J2-563	-	BSU29280 // BSU29290 // BSU29300 // BSU29310 // BSU29320 // BSU29330 // BSU29340 // BSU29350 // BSU29360 // BSU29370 // BSU29380 // BSU29390
TU8J2-16702	-	BSU24870
TU8J2-1301	+	BSU08880
TU8J2-3035	+	BSU40490
TU8J2-510	-	BSU30890 // BSU30900 // BSU30910
TU8J2-16561	-	BSU20460 // BSU20450
TU8J2-16778	+	G8J2-169
TU8J2-16088	+	BSU05200
TU8J2-182	-	BSU34200
TU8J2-279	-	BSU39040 // BSU39050
TU8J2-16783	-	BSU26870
TU8J2-67	+	BSU28320
TU8J2-455	-	BSU33080 // BSU33090 // BSU33100 // BSU33110 // BSU33120 // BSU33130
TU8J2-490	+	BSU31440
TU8J2-3016	+	BSU13460 // BSU13450
TU8J2-589	+	BSU28660
TU8J2-16107	-	BSU05529
TU8J2-2976	+	BSU35090 // BSU35080
TU8J2-16556	-	BSU20320
TU8J2-145	+	BSU18100 // BSU18090
TU8J2-17223	+	BSU22869
TU8J2-16903	+	BSU_32539
TU8J2-561	-	BSU29410
TU8J2-1102	+	BSU03880
TU8J2-473	-	BSU32070
TU8J2-17008	-	BSU_37569
TU8J2-16878	+	BSU_31725
TU8J2-256	+	BSU39780 // BSU39770
TU8J2-16224	+	BSU10160
TU8J2-604	+	BSU28340
TU8J2-17056	+	BSU40750
TU8J2-16940	+	BSU33690
TU8J2-426	-	BSU35480
TU8J2-840	+	BSU15090
TU8J2-16518	-	BSU19510
TU8J2-16200	-	BSU09550
TU8J2-17206	+	BSU_19915
TU8J2-16051	-	BSU03620
TU8J2-16024	-	BSU_02181
TU8J2-1142	+	BSU02820
TU8J2-3007	+	BSU16520 // BSU16510 // BSU16500 // BSU16490
TU8J2-17278	+	BSU31810
TU8J2-16582	-	BSU20860 // BSU20850
TU8J2-16631	+	BSU21670
TU8J2-16662	-	BSU22880 // BSU22870
TU8J2-802	+	BSU17840
TU8J2-15882	+	BSU23900
TU8J2-17249	-	BSU27100
TU8J2-16587	-	BSU20940
TU8J2-903	+	BSU11710 // BSU11700 // BSU11690 // BSU11680 // BSU11670 // BSU11660 // BSU11650
TU8J2-16522	-	BSU19640
TU8J2-16840	-	BSU_29479
TU8J2-31	+	BSU_RRNA_26 // BSU_RRNA_5 // BSU_TRNA_9 // BSU_TRNA_8 // BSU_RRNA_4
TU8J2-16234	-	BSU10370 // BSU10360 // BSU10350
TU8J2-85	+	BSU11500 // BSU11490
TU8J2-723	-	BSU22849 // BSU22850 // BSU22860
TU8J2-16166	-	BSU07160
TU8J2-441	-	BSU34220 // BSU34230 // BSU34240 // BSU34250 // BSU34265 // BSU34280 // BSU34290 // BSU34300 // BSU34310 // BSU34320 // BSU34330 // BSU34340 // BSU34350 // BSU34360 // BSU34370
TU8J2-17185	+	BSU18770
TU8J2-17187	+	BSU18850
TU8J2-765	-	BSU19240
TU8J2-17248	-	BSU26890
TU8J2-821	+	BSU16650 // BSU16640 // BSU16630 // BSU16620 // BSU16610 // BSU16600 // BSU16590
TU8J2-49	-	BSU39040 // BSU39050
TU8J2-442	+	BSU34210
TU8J2-16632	-	BSU21750
TU8J2-122	-	BSU27500 // BSU27510 // BSU27520
TU8J2-1284	-	BSU_MISC_RNA_55
TU8J2-15975	+	BSU_RRNA_9
TU8J2-918	+	BSU10490 // BSU10480
TU8J2-16383	+	BSU15460 // BSU15450
TU8J2-206	-	BSU40880 // BSU40870
TU8J2-1196	+	BSU00480 // BSU00470
TU8J2-456	+	BSU03720 // BSU03710 // BSU03700
TU8J2-86	+	BSU23830
TU8J2-16306	-	BSU13240 // BSU13230 // BSU13220 // BSU13210
TU8J2-716	-	BSU23170 // BSU23180 // BSU23190
TU8J2-16666	-	BSU22940
TU8J2-260	-	BSU39600
TU8J2-225	-	BSU40420
TU8J2-16117	+	BSU_RRNA_30
TU8J2-16732	-	BSU26150 // BSU26140 // BSU26130 // BSU26120 // BSU26110 // BSU26100 // BSU26090 // BSU26089 // BSU26075 // BSU26060
TU8J2-16685	-	G8J2-166 // G8J2-165
TU8J2-1010	+	BSU07850
TU8J2-462	+	BSU32990
TU8J2-1249	+	BSU11810
TU8J2-1280	-	BSU28050
TU8J2-400	-	BSU36170
TU8J2-15953	+	BSU13920
TU8J2-133	-	BSU11990
TU8J2-779	-	BSU18610
TU8J2-16263	+	BSU11480
TU8J2-486	+	BSU31540
TU8J2-16879	-	BSU31770
TU8J2-16997	-	BSU36950
TU8J2-16174	-	BSU07670
TU8J2-16242	+	BSU10760
TU8J2-892	+	BSU12390 // BSU12380 // BSU12370 // BSU12360 // BSU12350 // BSU12340 // BSU12330 // BSU12320 // BSU12310 // BSU12300
TU8J2-539	-	BSU29880
TU8J2-16099	+	BSU05343
TU8J2-664	+	BSU25070 // BSU25060
TU8J2-1039	+	BSU06839 // BSU06830
TU8J2-16257	+	BSU11180
TU8J2-16813	-	BSU27770
TU8J2-16164	+	BSU07130 // BSU07120 // BSU07110 // BSU07100
TU8J2-155	+	BSU05430
TU8J2-16209	-	BSU09740 // BSU09730
TU8J2-16823	-	BSU28420
TU8J2-16393	+	BSU16050
TU8J2-823	+	BSU16170 // BSU16160 // BSU16150 // BSU16140
TU8J2-16069	+	BSU04620
TU8J2-16367	-	BSU14790
TU8J2-16282	-	BSU12069
TU8J2-457	+	BSU33070 // BSU33060 // BSU33050
TU8J2-1578	-	BSU33520
TU8J2-17068	-	BSU02880
TU8J2-16866	+	BSU31100 // BSU31090
TU8J2-1250	+	BSU11810 // BSU11809
TU8J2-815	+	BSU16980
TU8J2-1042	+	BSU06530 // BSU06520 // BSU06510 // BSU06500 // BSU06490 // BSU06480 // BSU06470 // BSU06460 // BSU06450 // BSU06440 // BSU06430 // BSU06420
TU8J2-16140	+	BSU06380
TU8J2-17236	+	G8J2-9
TU8J2-16079	+	BSU05109
TU8J2-1177	-	BSU01640
TU8J2-338	+	BSU37670
TU8J2-1212	+	BSU00090
TU8J2-163	+	BSU11920
TU8J2-16228	-	BSU10230
TU8J2-16691	-	BSU24470 // BSU24460 // BSU24450
TU8J2-662	+	BSU25150
TU8J2-15950	-	BSU18390
TU8J2-16192	+	BSU08920
TU8J2-17142	+	BSU_TRNA_83
TU8J2-16178	+	BSU08029
TU8J2-16288	+	BSU12220 // BSU12210
TU8J2-97	+	BSU15420
TU8J2-761	-	BSU19750 // BSU19760 // BSU19770
TU8J2-17092	+	BSU05680
TU8J2-1114	+	BSU03520 // BSU03510 // BSU03500 // BSU03490 // BSU03480
TU8J2-16289	-	BSU12260
TU8J2-16025	-	BSU02190
TU8J2-922	+	BSU10420
TU8J2-16336	-	BSU14009
TU8J2-17232	-	BSU25080
TU8J2-16400	+	BSU16580
TU8J2-725	-	BSU22790
TU8J2-1256	-	BSU33120 // BSU33130
TU8J2-391	-	BSU36460
TU8J2-1185	+	BSU00910 // BSU00900 // BSU00890
TU8J2-16679	-	BSU23380
TU8J2-436	+	BSU34540
TU8J2-904	-	BSU11570
TU8J2-17315	+	BSU35699
TU8J2-16773	-	BSU26780
TU8J2-16037	+	BSU02580 // BSU02570
TU8J2-16147	+	BSU06720
TU8J2-207	-	BSU40830
TU8J2-16255	+	BSU11160
TU8J2-955	+	BSU09270 // BSU09260
TU8J2-565	-	BSU29250
TU8J2-17155	+	BSU13360
TU8J2-17014	-	BSU38080
TU8J2-16749	-	BSU26430 // BSU26420
TU8J2-17299	-	BSU33650
TU8J2-238	+	BSU40100 // BSU40090
TU8J2-32	-	BSU_TRNA_72 // BSU_TRNA_71 // BSU_TRNA_70 // BSU_TRNA_69 // BSU_TRNA_68 // BSU_TRNA_67 // BSU_TRNA_66 // BSU_TRNA_65 // BSU_TRNA_64 // BSU_TRNA_63 // BSU_TRNA_62 // BSU_TRNA_61 // BSU_TRNA_60 // BSU_TRNA_59 // BSU_TRNA_58 // BSU_TRNA_57 // BSU_TRNA_56 // BSU_TRNA_55 // BSU_TRNA_54 // BSU_TRNA_53 // BSU_TRNA_52 // BSU_RRNA_21 // BSU_RRNA_20 // BSU_RRNA_19
TU8J2-1313	-	BSU29820 // BSU29830 // BSU29840
TU8J2-345	-	BSU_37569 // BSU37550 // BSU37560
TU8J2-1101	-	BSU03890
TU8J2-1090	+	BSU04110 // BSU04100 // BSU04090 // BSU04080 // BSU04070 // BSU04060 // BSU04050
TU8J2-1158	+	BSU02390
TU8J2-16477	+	BSU18650
TU8J2-16451	+	BSU17810
TU8J2-128	-	BSU25260 // BSU25270
TU8J2-222	+	BSU40480 // BSU40470
TU8J2-1138	+	BSU03000 // BSU02990 // BSU02980
TU8J2-749	-	BSU21830
TU8J2-778	-	BSU18630
TU8J2-16115	+	BSU05780
TU8J2-17038	-	BSU39339
TU8J2-27	-	BSU05730 // BSU05740
TU8J2-17097	+	BSU06550
TU8J2-235	-	BSU40140 // BSU40150 // BSU40160 // BSU40170 // BSU40180
TU8J2-16974	-	BSU35679
TU8J2-15987	+	BSU01190 // BSU01180 // BSU01170 // BSU01160 // BSU01150
TU8J2-562	+	BSU29400
TU8J2-382	-	BSU36620
TU8J2-249	-	BSU39870 // BSU39880
TU8J2-17177	-	BSU17730
TU8J2-16110	-	BSU05610
TU8J2-17207	+	BSU20000
TU8J2-1234	+	BSU04740 // BSU04730 // BSU04720 // BSU04710
TU8J2-514	-	BSU30740 // BSU30750 // BSU30760 // BSU30770
TU8J2-16941	+	BSU33740
TU8J2-16005	+	BSU_RRNA_24
TU8J2-1031	+	BSU07360 // BSU07350
TU8J2-16303	+	BSU13110
TU8J2-16652	-	BSU22530
TU8J2-16956	-	BSU34620 // BSU34610 // BSU34600 // BSU34590 // BSU34580 // BSU34570 // BSU34560 // BSU34550
TU8J2-16785	+	BSU26910
TU8J2-16682	-	BSU23610 // BSU23600
TU8J2-17226	+	BSU_TRNA_73
TU8J2-16450	+	BSU17800 // BSU17790 // BSU17780
TU8J2-1092	+	BSU04030
TU8J2-16357	+	BSU14570
TU8J2-16836	-	BSU29090 // BSU29080
TU8J2-17309	+	BSU34680
TU8J2-17125	+	BSU10440
