Proteins	Genes	Accession-1 of Gene	Left-End-Position of Gene	Right-End-Position of Gene	Genes of polypeptide, complex, or RNA	Common-Name	Locations
BSU15940-MONOMER	BSU15940	BSU15940	1666560	1670120	BSU15940	chromosome condensation and segregation SMC ATPase	CCI-CYTOSOL-GP
CPLX8J2-77	BSU02850 // BSU02870 // BSU02860		308332	309291	BSU02850 // BSU02870 // BSU02860	ABC-type Zn<small><sup>2+</sup></small> transporter	
BSU31700-MONOMER	BSU31700	BSU31700	3255853	3256020	BSU31700	competence pheromone precursor (pheromone peptide aa 46->55, geranyl-modified)	CCI-EXTRACELLULAR-GP
BSU13580-MONOMER	BSU13580	BSU13580	1425641	1426837	BSU13580	methionine-glutamine aminotransferase (PLP-dependent)	CCI-CYTOSOL-GP
BSU10330-MONOMER	BSU10330	BSU10330	1107733	1108704	BSU10330	iron(III) siderophore-binding lipoprotein	CCI-PM-BAC-POS-GP
BSU09020-MONOMER	BSU09020	BSU09020	979396	979926	BSU09020	NADH:quinone oxidoreductase associated to benzoate stress	CCI-PM-BAC-POS-GP
BSU27160-MONOMER	BSU27160	BSU27160	2773890	2777054	BSU27160	cytochrome P450 CYP102A3; NADPH--cytochrome P450 reductase	CCI-CYTOSOL-GP
BSU36220-MONOMER	BSU36220	BSU36220	3728511	3729296	BSU36220	conserved protein of unknown function	
BSU01690-MONOMER	BSU01690	BSU01690	191183	192034	BSU01690	transcriptional regulator MurR-N-acetylmuramic acid	
BSU23140-MONOMER	BSU23140	BSU23140	2419179	2420807	BSU23140	subunit of heme translocase required for cytochrome c synthesis	CCI-PM-BAC-POS-GP
BSU32240-MONOMER	BSU32240	BSU32240	3312844	3313773	BSU32240	homoserine kinase	CCI-CYTOSOL-GP
BSU37130-MONOMER	BSU37130	BSU37130	3809550	3809924	BSU37130	two-component response regulator phosphotransferase involved in sporulation initiation	CCI-CYTOSOL-GP
BSU29510-MONOMER	BSU29510	BSU29510	3018778	3019458	BSU29510	forespore-related protein	
BSU15970-MONOMER	BSU15970	BSU15970	1671828	1672160	BSU15970	component of the signal recognition particle (SRP) protein-targeting pathway	
BSU21570-MONOMER	BSU21570	BSU21570	2275200	2275697	BSU21570	antitoxin of type II toxin RttI; phage SPbeta	CCI-CYTOSOL-GP
BSU21610-MONOMER	BSU21610	BSU21610	2279977	2280867	BSU21610	calcium-dependent DNA nuclease, lipoprotein; phage SPbeta	CCI-CYTOSOL-GP // CCI-PM-BAC-POS-GP
BSU39820-MONOMER	BSU39820	BSU39820	4089429	4091309	BSU39820	class III heat-shock protein (ATP-dependent molecular chaperone HSP90)	CCI-CYTOSOL-GP
BSU31860-MONOMER	BSU31860	BSU31860	3266687	3269917	BSU31860	type VII secretion system for LXG toxins; calcium-dependent phage SPP1 attachment site	CCI-PM-BAC-POS-GP
BSU09460-MONOMER	BSU09460	BSU09460	1023350	1024747	BSU09460	broad specificity amino acid/H+ symporter BcaP	CCI-PM-BAC-POS-GP
BSU33850-MONOMER	BSU33850	BSU33850	3471841	3472476	BSU33850	putative integral membrane protein	CCI-PM-BAC-POS-GP
BSU03220-MONOMER	BSU03220	BSU03220	347150	348571	BSU03220	high affinity L-proline:sodium symporter	CCI-PM-BAC-POS-GP
BSU02920-MONOMER	BSU02920	BSU02920	314025	314798	BSU02920	Mn<sup>2+</sup> exporter MneF	CCI-PM-BAC-POS-GP
BSU01270-MONOMER	BSU01270	BSU01270	140857	141168	BSU01270	ribosomal protein L24 (BL23)	CCI-BAC-NUCLEOID-GP // CCI-RIBOSOME-GP // CCI-CYTOSOL-GP
BSU37390-MONOMER	BSU37390	BSU37390	3837840	3838559	BSU37390	transporter involved in subtilosin production ATP binding subunit	CCI-PM-BAC-POS-GP
BSU03720-MONOMER	BSU03720	BSU03720	422982	424103	BSU03720	spore germination receptor subunit	CCI-PM-BAC-POS-GP
BSU37400-MONOMER	BSU37400	BSU37400	3838552	3839862	BSU37400	integral membrane subunit involved in subtilosin production and immunity	CCI-PM-BAC-POS-GP
BSU38490-MONOMER	BSU38490	BSU38490	3950726	3951661	BSU38490	1,4-dihydroxy-2-naphthoate octaprenyltransferase	CCI-PM-BAC-POS-GP
BSU27600-MONOMER	BSU27600	BSU27600	2820529	2822733	BSU27600	GTP pyrophosphokinase (RelA/SpoT)	CCI-PM-BAC-POS-GP
BSU35390-MONOMER	BSU35390	BSU35390	3636716	3637291	BSU35390	conserved protein of unknown function	
BSU04410-MONOMER	BSU04410	BSU04410	495009	495350	BSU04410	putative enzyme; cupin family	
BSU08690-MONOMER	BSU08690	BSU08690	939349	941091	BSU08690	putative liposaccharide ABC transporter (ATP-binding protein)	CCI-PM-BAC-POS-GP
BSU33450-MONOMER	BSU33450	BSU33450	3434327	3436651	BSU33450	transcription factor; DNA helicase IV (NTP-depoendent)	CCI-CYTOSOL-GP
BSU28990-MONOMER	BSU28990	BSU28990	2964148	2965566	BSU28990	DnaB	
BSU02380-MONOMER	BSU02380	BSU02380	258532	258807	BSU02380	putative immunity protein (B. subtilis-specific)	CCI-PM-BAC-POS-GP
BSU03130-MONOMER	BSU03130	BSU03130	338288	339106	BSU03130	ammonium-dependent NAD+ synthetase	CCI-CYTOSOL-GP
BSU35600-MONOMER	BSU35600	BSU35600	3656752	3658203	BSU35600	putative exporter involved in biosynthesis of teichuronic acid (flippase)	CCI-PM-BAC-POS-GP
BSU20670-MONOMER	BSU20670	BSU20670	2199580	2200335	BSU20670	putative DNA-binding protein anti-repressor; phage SPbeta	
BSU40180-MONOMER	BSU40180	BSU40180	4127498	4127647	BSU40180	precursor of exported toxin EpeX*	CCI-CYTOSOL-GP
BSU39530-MONOMER	BSU39530	BSU39530	4062329	4062556	BSU39530	hypothetical protein	
BSU02720-MONOMER	BSU02720	BSU02720	293499	294575	BSU02720	conserved protein of unknown function	
BSU38330-MONOMER	BSU38330	BSU38330	3933577	3934254	BSU38330	metabolic regulator controlling activity of murein hydrolases	CCI-PM-BAC-POS-GP
BSU26259-MONOMER	BSU26259	BSU26259	2693457	2693606	BSU26259	hypothetical protein; skin element	
BSU26280-MONOMER	BSU26280	BSU26280	2695173	2696027	BSU26280	DNA recombination / maintenance protein; skin element	CCI-CYTOSOL-GP
BSU40390-MONOMER	BSU40390	BSU40390	4150496	4151863	BSU40390	regulator of WalRK	CCI-PM-BAC-POS-GP
MONOMER-13769	G-10502	G-10502			G-10502	heptaprenyl diphosphate synthase component 1	
BSU11970-MONOMER	BSU11970	BSU11970	1268275	1268592	BSU11970	conserved hypothetical protein; phage island	CCI-CYTOSOL-GP
BSU06680-MONOMER	BSU06680	BSU06680	729038	730495	BSU06680	glutamyl-tRNA(Gln) amidotransferase (subunit A)	
BSU16350-MONOMER	BSU16350	BSU16350	1704863	1705528	BSU16350	component of the flagellar export machinery (type III secretion system)	CCI-PM-BAC-POS-GP // CCO-CELL-PROJECTION
BSU31390-MONOMER	BSU31390	BSU31390	3225178	3225570	BSU31390	putative RNA degradation protein; putative phosphorylase or nucleotidyl transferase; general stress protein	CCI-CYTOSOL-GP
BSU11870-MONOMER	BSU11870	BSU11870	1258492	1259613	BSU11870	cystathionine gamma-synthase and O-acetylhomoserine thiolyase (PLP-dependent)	CCI-CYTOSOL-GP
BSU22500-MONOMER	BSU22500	BSU22500	2360155	2360490	BSU22500	oxidized nucleotide (5-OH-CTP) pyrophosphohydrolase	CCI-CYTOSOL-GP
BSU16950-MONOMER	BSU16950	BSU16950	1765859	1767034	BSU16950	penicillin-binding endopeptidase X (lysozyme resistance)	CCI-PM-BAC-POS-GP
BSU29190-MONOMER	BSU29190	BSU29190	2986588	2987547	BSU29190	6-phosphofructokinase	CCI-PM-BAC-POS-GP // CCI-CYTOSOL-GP
BSU37020-MONOMER	BSU37020	BSU37020	3798281	3798667	BSU37020	putative enzyme with glyoxalase domain	
BSU_02585-MONOMER	BSU_02585	BSU_02585	281675	281809	BSU_02585	hypothetical protein	CCI-PM-BAC-POS-GP
BSU24650-MONOMER	BSU24650	BSU24650	2555519	2555845	BSU24650	putative exported protein	
BSU00800-MONOMER	BSU00800	BSU00800	87401	87610	BSU00800	putative transcriptional regulator	CCI-CYTOSOL-GP
BSU11410-MONOMER	BSU11410	BSU11410	1217326	1218078	BSU11410	putative sporulation nucleic acid binding protein	
CPLX8J2-45	BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070 // BSU09520		1524791	1525000	BSU14540 // BSU15690 // BSU37160 // BSU01430 // BSU01080 // BSU01070 // BSU09520	RNA polymerase, &sigma;M	
BSU06900-MONOMER	BSU06900	BSU06900	756139	756402	BSU06900	component of the inner spore coat	
BSU23510-MONOMER	BSU23510	BSU23510	2448591	2449481	BSU23510	site-specific tyrosine recombinase for chromosome partitioning	CCI-CYTOSOL-GP
CPLX8J2-133	BSU24870	BSU24870	2571907	2573430	BSU24870		
BSU05440-MONOMER	BSU05440	BSU05440	592303	593205	BSU05440	carboxylesterase NP	
BSU18900-MONOMER	BSU18900	BSU18900	2060237	2060692	BSU18900	conserved hypothetical protein	
BSU23610-MONOMER	BSU23610	BSU23610	2458509	2459066	BSU23610	isopentenyl pyrophosphate and dimethylallyl pyrophosphate diphosphatase (moonlighting ADP-ribose pyrophosphatase)	CCI-CYTOSOL-GP
BSU13810-MONOMER	BSU13810	BSU13810	1447662	1447847	BSU13810	conserved protein of unknown function (HGT island)	
BSU29390-MONOMER	BSU29390	BSU29390	3008249	3008785	BSU29390	N-acetyltransferase acting on S-benzyl-cysteine and related compounds	CCI-CYTOSOL-GP
CPLX8J2-297	BSU05920 // BSU05940 // BSU05910		642111	642800	BSU05920 // BSU05940 // BSU05910	<em>N</em><small><sup>6</sup></small>-<small>L</small>-threonylcarbamoyladenine synthase	
CPLX8J2-213	BSU37690	BSU37690	3868287	3869486	BSU37690		
CPLX8J2-203	BSU10240	BSU10240	1098412	1099146	BSU10240	phosphodiesterase YhfI	
BSU19230-MONOMER	BSU19230	BSU19230	2096350	2096976	BSU19230	FMN-dependent NADH-azoreductase involved in aromatic hydrocarbons catabolism	CCI-CYTOSOL-GP
BSU17699-MONOMER	BSU17699	BSU17699	1904393	1904749	BSU17699	putative membrane protein of unknown function; defective SPbeta-like phage region	CCI-PM-BAC-POS-GP
BSU14260-MONOMER	BSU14260	BSU14260	1495505	1496104	BSU14260	molybdopterin-guanine dinucleotide biosynthesis protein A	CCI-CYTOSOL-GP
BSU29470-MONOMER	BSU29470	BSU29470	3015111	3016298	BSU29470	acetate kinase	CCI-CYTOSOL-GP
BSU14760-MONOMER	BSU14760	BSU14760	1545820	1546008	BSU14760	conserved hypothetical membrane protein	CCI-PM-BAC-POS-GP
CPLX8J2-212	BSU34780	BSU34780	3572413	3572889	BSU34780		
BSU40650-MONOMER	BSU40650	BSU40650	4178291	4179130	BSU40650	conserved hypothetical protein	
BSU14050-MONOMER	BSU14050	BSU14050	1477069	1477929	BSU14050	exported metallophosphoesterase (Mn2+ and Zn2+)	CCI-CW-BAC-POS-GP
BSU40660-MONOMER	BSU40660	BSU40660	4179163	4180377	BSU40660	putative permease	CCI-PM-BAC-POS-GP
BSU29330-MONOMER	BSU29330	BSU29330	3003345	3004349	BSU29330	<i>N</i>-acetyl-<i>S</i>-alkylcysteine monooxygenase	CCI-CYTOSOL-GP
BSU13870-MONOMER	BSU13870	BSU13870	1455064	1456029	BSU13870	putative transcriptional regulator (LacI family)	
BSU17140-MONOMER	BSU17140	BSU17140	1788695	1789942	BSU17140	malonyl-[AcpK acyl-carrier protein] decarboxylase	CCI-CYTOSOL-GP
BSU25540-MONOMER	BSU25540	BSU25540	2634505	2635611	BSU25540	spore germination protease	
BSU12080-MONOMER	BSU12080	BSU12080	1279514	1280503	BSU12080	heme <i>o</i> synthase 1	CCI-PM-BAC-POS-GP
BSU26670-MONOMER	BSU26670	BSU26670	2725837	2726727	BSU26670	transcriptional regulator of glutamate synthase	CCI-CYTOSOL-GP
BSU33240-MONOMER	BSU33240	BSU33240	3410466	3411623	BSU33240	oxalate decarboxylase [Mn(2+)-dependent]	CCI-CYTOSOL-GP // CCI-CW-BAC-POS-GP
BSU08010-MONOMER	BSU08010	BSU08010	872425	873288	BSU08010	putative DNA-3-methyladenine glycosylase	CCI-CYTOSOL-GP
BSU06410-MONOMER	BSU06410	BSU06410	698092	698289	BSU06410	conserved hypothetical protein	
BSU38740-MONOMER	BSU38740	BSU38740	3975088	3976791	BSU38740	ABC-type heme transporter CydC component	CCI-PM-BAC-POS-GP
BSU26870-MONOMER	BSU26870	BSU26870	2745594	2746463	BSU26870	putative transcriptional regulator (probes citrate or citrate-related metabolite)	
BSU21480-MONOMER	BSU21480	BSU21480	2269521	2269691	BSU21480	SP&beta; prophage-derived bacteriocin sublancin 168 precursor	CCI-EXTRACELLULAR-GP
BSU40000-MONOMER	BSU40000	BSU40000	4108058	4109128	BSU40000	putative oxidoreductase	CCI-CYTOSOL-GP
BSU25550-MONOMER	BSU25550	BSU25550	2635815	2636081	BSU25550	ribosomal protein S20 (BS20)	CCI-RIBOSOME-GP // CCI-CYTOSOL-GP
BSU23920-MONOMER	BSU23920	BSU23920	2486813	2488336	BSU23920	propionyl-CoA carboxylase subunit	CCI-CYTOSOL-GP
BSU39480-MONOMER	BSU39480	BSU39480	4058029	4058778	BSU39480	putative sulfur aminoacid S-(2-succino)cysteine ABC transporter (ATP-binding protein)	CCI-PM-BAC-POS-GP
BSU35440-MONOMER	BSU35440	BSU35440	3640632	3641051	BSU35440	putative accessory factor of flagella formation	
BSU34490-MONOMER	BSU34490	BSU34490	3541488	3541823	BSU34490	sodium / proton antiporter subunit A	CCI-PM-BAC-POS-GP
BSU26550-MONOMER	BSU26550	BSU26550	2713949	2714140	BSU26550	putative metal-sensitive transcriptional regulator involved in sulfur metabolism	
BSU37870-MONOMER	BSU37870	BSU37870	3887741	3888862	BSU37870	stationary phase survival protein required for legionaminic acid synthesis; phosphoenolpyruvate-sugar pyruvyltransferase;	
BSU26610-MONOMER	BSU26610	BSU26610	2718959	2720263	BSU26610	putative magnesium exporter	CCI-PM-BAC-POS-GP
BSU29850-MONOMER	BSU29850	BSU29850	3054746	3055192	BSU29850	putative enzyme with sugar binding fold	
BSU27050-MONOMER	BSU27050	BSU27050	2761081	2761890	BSU27050	phosphotransferase system (PTS) fructose-specific enzyme IIC component	CCI-PM-BAC-POS-GP
BSU19480-MONOMER	BSU19480	BSU19480	2123026	2123922	BSU19480	putative N-acetylated bacillithiolated adducts exporter	CCI-PM-BAC-POS-GP
BSU11220-MONOMER	BSU11220	BSU11220	1198099	1199256	BSU11220	N-acetylornithine aminotransferase (PLP-dependent)	CCI-CYTOSOL-GP
BSU06700-MONOMER	BSU06700	BSU06700	731954	732823	BSU06700	putative transcriptional regulator (TetR/AcrR family)	
BSU39690-MONOMER	BSU39690	BSU39690	4074896	4075765	BSU39690	myo-inositol epimerase/isomerase	CCI-CYTOSOL-GP
BSU13340-MONOMER	BSU13340	BSU13340	1398496	1398960	BSU13340	putative transcriptional regulator (MarR family)	
BSU39810-MONOMER	BSU39810	BSU39810	4088002	4089387	BSU39810	putative sugar proton transporter	CCI-PM-BAC-POS-GP
BSU36530-MONOMER	BSU36530	BSU36530	3758547	3759128	BSU36530	undecaprenyl pyrophosphate phosphatase (bacitracin resistance)	CCI-PM-BAC-POS-GP
BSU13430-MONOMER	BSU13430	BSU13430	1409912	1410577	BSU13430	putative lipid-phosphate transporter	CCI-PM-BAC-POS-GP
BSU25360-MONOMER	BSU25360	BSU25360	2616667	2616948	BSU25360	conserved sporulation protein of unknown function	
BSU36180-MONOMER	BSU36180	BSU36180	3725146	3725610	BSU36180	putative antitoxin of nuclease type II toxin	CCI-CYTOSOL-GP
BSU39640-MONOMER	BSU39640	BSU39640	4070393	4071166	BSU39640	ABC transporter ATP-binding subunit YxdL	CCI-PM-BAC-POS-GP
BSU02410-MONOMER	BSU02410	BSU02410	261656	262603	BSU02410	homocysteine methylase using (R,S)AdoMet of S-methylmethionine	CCI-CYTOSOL-GP
BSU30760-MONOMER	BSU30760	BSU30760	3144267	3145019	BSU30760	Mn<sup>2+</sup> ABC transporter ATP-binding protein	CCI-PM-BAC-POS-GP
BSU03990-MONOMER	BSU03990	BSU03990	451618	452739	BSU03990	mannitol-1-phosphate 5-dehydrogenase	CCI-CYTOSOL-GP
BSU31140-MONOMER	BSU31140	BSU31140	3193863	3194348	BSU31140	cysteine dioxygenase (Fe2+-dependent)	CCI-CYTOSOL-GP
BSU18990-MONOMER	BSU18990	BSU18990	2071286	2071744	BSU18990	antitoxin inhibiting type II toxin RNase RttL	CCI-CYTOSOL-GP
BSU13690-MONOMER	BSU13690	BSU13690	1434433	1435245	BSU13690	motility protein A; MotA component of the H+-coupled stator flagellum complex	CCI-PM-BAC-POS-GP
BSU33720-MONOMER	BSU33720	BSU33720	3461435	3462088	BSU33720	choline ABC transporter membrane subunit OpuBB	CCI-PM-BAC-POS-GP
