id	me_id	name	formula	compartment	type
3haACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3ha(1)				REPLACE
3hcddec5eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hcddec5e(1)				REPLACE
3hcmrs7eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hcmrs7e(1)				REPLACE
3hcpalm9eACP_c					CURATE
3hcvac11eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hcvac11e(1)				REPLACE
3hddecACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hddec(1)				REPLACE
3hdecACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hdec(1)				REPLACE
3hhexACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hhex(1)				REPLACE
3hmrsACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hmrs(1)				REPLACE
3hoctACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hoct(1)				REPLACE
3hoctaACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hocta(1)				REPLACE
3hpalmACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3hpalm(1)				REPLACE
3ocddec5eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3ocddec5e(1)				REPLACE
3ocmrs7eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3ocmrs7e(1)				REPLACE
3ocvac11eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3ocvac11e(1)				REPLACE
3oddecACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3oddec(1)				REPLACE
3odecACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3odec(1)				REPLACE
3ohexACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3ohex(1)				REPLACE
3omrsACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3omrs(1)				REPLACE
3ooctACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3ooct(1)				REPLACE
3ooctdACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3ooctd(1)				REPLACE
3opalmACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_3opalm(1)				REPLACE
3ocpalm9eACP_c					CURATE
acACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_ac(1)				REPLACE
actACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_act(1)				REPLACE
butACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_but(1)				REPLACE
but2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_but2e(1)				REPLACE
cddec5eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_cddec5e(1)				REPLACE
cdec3eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_cdec3e(1)				REPLACE
dcaACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_dca(1)				REPLACE
ddcaACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_ddca(1)				REPLACE
egmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_egme(1)				REPLACE
epmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_epme(1)				REPLACE
gmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_gme(1)				REPLACE
hdeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_hde(1)				REPLACE
hexACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_hex(1)				REPLACE
hgmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_hgme(1)				REPLACE
hpmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_hpme(1)				REPLACE
malACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_mal(1)				REPLACE
myrsACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_myrs(1)				REPLACE
ocACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_oc(1)				REPLACE
ocdcaACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_ocdca(1)				REPLACE
octeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_octe(1)				REPLACE
ogmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_ogme(1)				REPLACE
opmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_opme(1)				REPLACE
palmACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_palm(1)				REPLACE
pimACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_pim(1)				REPLACE
pmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_pme(1)				REPLACE
t3c11vaceACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_t3c11vace(1)				REPLACE
t3c5ddeceACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_t3c5ddece(1)				REPLACE
t3c7mrseACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_t3c7mrse(1)				REPLACE
t3c9palmeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_t3c9palme(1)				REPLACE
tddec2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_tddec2e(1)				REPLACE
tdeACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_tde(1)				REPLACE
tdec2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_tdec2e(1)				REPLACE
thex2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_thex2e(1)				REPLACE
tmrs2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_tmrs2e(1)				REPLACE
toct2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_toct2e(1)				REPLACE
toctd2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_toctd2e(1)				REPLACE
tpalm2eACP_c	I9X26_10810-MONOMER_mod_pan4p(1)_mod_tpalm2e(1)				REPLACE
flxr_c					CURATE
fldrd_c					CURATE
flxso_c					CURATE
fldox_c					CURATE
grxrd_c					CURATE
grxox_c					CURATE
iscs_c	I9X26_06060-MONOMER_mod_pydx5p(2)				REPLACE
iscssh_c					CURATE
iscu_c	I9X26_06065-MONOMER				REPLACE
iscu_2fe2s_c					CURATE
iscu_2fe2s2_c					CURATE
iscu_4fe4s_c					CURATE
trdrd_c	I9X26_32140-MONOMER				REPLACE
trdox_c	I9X26_32140-MONOMER_mod_Oxidized(1)				REPLACE
