Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product
EWS79_RS02380	EWS79_RS02380	536038	537300	EWS79_RS02380-MONOMER
EWS79_RS08175	EWS79_RS08175	1868726	1870261	EWS79_RS08175-MONOMER
EWS79_RS06925	EWS79_RS06925	1586542	1587930	EWS79_RS06925-MONOMER
EWS79_RS06985	EWS79_RS06985	1602782	1604212	EWS79_RS06985-MONOMER
EWS79_RS06970	EWS79_RS06970	1596346	1598769	EWS79_RS06970-MONOMER
EWS79_RS02750	EWS79_RS02750	618924	619745	EWS79_RS02750-MONOMER
EWS79_RS06225	EWS79_RS06225	1414240	1414587	EWS79_RS06225-MONOMER
EWS79_RS06515	EWS79_RS06515	1480225	1481157	EWS79_RS06515-MONOMER
EWS79_RS02030	EWS79_RS02030	467882	468232	EWS79_RS02030-MONOMER
EWS79_RS01650	EWS79_RS01650	391746	393167	EWS79_RS01650-MONOMER
EWS79_RS07860	EWS79_RS07860	1798409	1799299	EWS79_RS07860-MONOMER
EWS79_RS06510	EWS79_RS06510	1479078	1480232	EWS79_RS06510-MONOMER
EWS79_RS05320	EWS79_RS05320	1210469	1212007	EWS79_RS05320-MONOMER
EWS79_RS08800	EWS79_RS08800	1995815	1996099	EWS79_RS08800-MONOMER
EWS79_RS09050	EWS79_RS09050	2054054	2054509	EWS79_RS09050-MONOMER
EWS79_RS05625	EWS79_RS05625	1276435	1277493	EWS79_RS05625-MONOMER
EWS79_RS03020	EWS79_RS03020	678298	679338	EWS79_RS03020-MONOMER
EWS79_RS03435	EWS79_RS03435	770951	774202	EWS79_RS03435-MONOMER
EWS79_RS01240	EWS79_RS01240	292966	294222	EWS79_RS01240-MONOMER
EWS79_RS03810	EWS79_RS03810	868925	869022	EWS79_RS03810-RNA
EWS79_RS06105	EWS79_RS06105	1387629	1388369	EWS79_RS06105-MONOMER
EWS79_RS00280	EWS79_RS00280	61630	62067	EWS79_RS00280-MONOMER
EWS79_RS01220	EWS79_RS01220	285837	288980	EWS79_RS01220-MONOMER
EWS79_RS06235	EWS79_RS06235	1415906	1416604	EWS79_RS06235-MONOMER
EWS79_RS07155	EWS79_RS07155	1644902	1646191	EWS79_RS07155-MONOMER
EWS79_RS01600	EWS79_RS01600	383222	383842	EWS79_RS01600-MONOMER
EWS79_RS02915	EWS79_RS02915	654560	655855	EWS79_RS02915-MONOMER
EWS79_RS06850	EWS79_RS06850	1567732	1571256	EWS79_RS06850-MONOMER
EWS79_RS01335	EWS79_RS01335	313993	315411	EWS79_RS01335-MONOMER
EWS79_RS07570	EWS79_RS07570	1738775	1739797	EWS79_RS07570-MONOMER
EWS79_RS01140	EWS79_RS01140	266675	268102	EWS79_RS01140-MONOMER
EWS79_RS05755	EWS79_RS05755	1306821	1307474	EWS79_RS05755-MONOMER
EWS79_RS07450	EWS79_RS07450	1711902	1713089	EWS79_RS07450-MONOMER
EWS79_RS01065	EWS79_RS01065	241150	241317	EWS79_RS01065-MONOMER
EWS79_RS03760	EWS79_RS03760	860502	861620	EWS79_RS03760-MONOMER
EWS79_RS01750	EWS79_RS01750	412912	414894	EWS79_RS01750-MONOMER
EWS79_RS05355	EWS79_RS05355	1220852	1222264	EWS79_RS05355-MONOMER
EWS79_RS01055	EWS79_RS01055	238993	239547	EWS79_RS01055-MONOMER
EWS79_RS05790	EWS79_RS05790	1315608	1316330	EWS79_RS05790-MONOMER
EWS79_RS01945	EWS79_RS01945	450388	450705	EWS79_RS01945-MONOMER
EWS79_RS05950	EWS79_RS05950	1351050	1351961	EWS79_RS05950-MONOMER
EWS79_RS04430	EWS79_RS04430	1010269	1010787	EWS79_RS04430-MONOMER
EWS79_RS07275	EWS79_RS07275	1671962	1672231	EWS79_RS07275-MONOMER
EWS79_RS00075	EWS79_RS00075	17333	18370	EWS79_RS00075-MONOMER
EWS79_RS08225	EWS79_RS08225	1877052	1878212	EWS79_RS08225-MONOMER
EWS79_RS02830	EWS79_RS02830	634751	635062	EWS79_RS02830-MONOMER
EWS79_RS05565	EWS79_RS05565	1265714	1265839	EWS79_RS05565-MONOMER
EWS79_RS00365	EWS79_RS00365	79719	80423	EWS79_RS00365-MONOMER
EWS79_RS00675	EWS79_RS00675	145746	146825	EWS79_RS00675-MONOMER
EWS79_RS07575	EWS79_RS07575	1739820	1740626	EWS79_RS07575-MONOMER
EWS79_RS03925	EWS79_RS03925	893459	893842	EWS79_RS03925-MONOMER
EWS79_RS05535	EWS79_RS05535	1258635	1259120	EWS79_RS05535-MONOMER
EWS79_RS03155	EWS79_RS03155	711102	712274	EWS79_RS03155-MONOMER
EWS79_RS00100	EWS79_RS00100	23204	23800	EWS79_RS00100-MONOMER
EWS79_RS01310	EWS79_RS01310	308134	309867	EWS79_RS01310-MONOMER
EWS79_RS07585	EWS79_RS07585	1741778	1744258	EWS79_RS07585-MONOMER
EWS79_RS07540	EWS79_RS07540	1730557	1732140	EWS79_RS07540-MONOMER
EWS79_RS03975	EWS79_RS03975	904829	905647	EWS79_RS03975-MONOMER
EWS79_RS00775	EWS79_RS00775	168945	170627	EWS79_RS00775-MONOMER
EWS79_RS05450	EWS79_RS05450	1242262	1242396	EWS79_RS05450-MONOMER
EWS79_RS07605	EWS79_RS07605	1746873	1747967	EWS79_RS07605-MONOMER
EWS79_RS00815	EWS79_RS00815	180441	181220	EWS79_RS00815-MONOMER
EWS79_RS09010	EWS79_RS09010	2043522	2044511	EWS79_RS09010-MONOMER
EWS79_RS00090	EWS79_RS00090	20553	21215	EWS79_RS00090-MONOMER
EWS79_RS02170	EWS79_RS02170	505565	506224	EWS79_RS02170-MONOMER
EWS79_RS08125	EWS79_RS08125	1855857	1858064	EWS79_RS08125-MONOMER
EWS79_RS01560	EWS79_RS01560	373654	374628	EWS79_RS01560-MONOMER
EWS79_RS07435	EWS79_RS07435	1710357	1710992	EWS79_RS07435-MONOMER
EWS79_RS09020	EWS79_RS09020	2046111	2048522	EWS79_RS09020-MONOMER
EWS79_RS07300	EWS79_RS07300	1677010	1678341	EWS79_RS07300-MONOMER
EWS79_RS04655	EWS79_RS04655	1058110	1058736	EWS79_RS04655-MONOMER
EWS79_RS03295	EWS79_RS03295	742876	743349	EWS79_RS03295-MONOMER
EWS79_RS02440	EWS79_RS02440	551076	551810	EWS79_RS02440-MONOMER
EWS79_RS05500	EWS79_RS05500	1249720	1250715	EWS79_RS05500-MONOMER
EWS79_RS08195	EWS79_RS08195	1873652	1874092	EWS79_RS08195-MONOMER
EWS79_RS05965	EWS79_RS05965	1353447	1354745	EWS79_RS05965-MONOMER
EWS79_RS08725	EWS79_RS08725	1982331	1983971	EWS79_RS08725-MONOMER
EWS79_RS00500	EWS79_RS00500	108979	110328	EWS79_RS00500-MONOMER
EWS79_RS07350	EWS79_RS07350	1688747	1692250	EWS79_RS07350-MONOMER
EWS79_RS01265	EWS79_RS01265	298781	300106	EWS79_RS01265-MONOMER
EWS79_RS06290	EWS79_RS06290	1425878	1426504	EWS79_RS06290-MONOMER
EWS79_RS05395	EWS79_RS05395	1228856	1229806	EWS79_RS05395-MONOMER
EWS79_RS05540	EWS79_RS05540	1259367	1260380	EWS79_RS05540-MONOMER
EWS79_RS07385	EWS79_RS07385	1699042	1700121	EWS79_RS07385-MONOMER
EWS79_RS05735	EWS79_RS05735	1301922	1303043	EWS79_RS05735-MONOMER
EWS79_RS04825	EWS79_RS04825	1087804	1089982	EWS79_RS04825-MONOMER
EWS79_RS01450	EWS79_RS01450	338313	339032	EWS79_RS01450-MONOMER
EWS79_RS07020	EWS79_RS07020	1609954	1610742	EWS79_RS07020-MONOMER
EWS79_RS08290	EWS79_RS08290	1889902	1890264	EWS79_RS08290-MONOMER
EWS79_RS04240	EWS79_RS04240	968560	969417	EWS79_RS04240-MONOMER
EWS79_RS02735	EWS79_RS02735	615642	616076	EWS79_RS02735-MONOMER
EWS79_RS05810	EWS79_RS05810	1319368	1319877	EWS79_RS05810-MONOMER
EWS79_RS00385	EWS79_RS00385	83861	84868	EWS79_RS00385-MONOMER
EWS79_RS00805	EWS79_RS00805	177738	179099	EWS79_RS00805-MONOMER
EWS79_RS08765	EWS79_RS08765	1991799	1992089	EWS79_RS08765-MONOMER
EWS79_RS04175	EWS79_RS04175	957061	958362	EWS79_RS04175-MONOMER
EWS79_RS00045	EWS79_RS00045	10843	12663	EWS79_RS00045-MONOMER
EWS79_RS07210	EWS79_RS07210	1654965	1658304	EWS79_RS07210-MONOMER
EWS79_RS05280	EWS79_RS05280	1201040	1201888	EWS79_RS05280-MONOMER
EWS79_RS00315	EWS79_RS00315	68586	69119	EWS79_RS00315-MONOMER
EWS79_RS00495	EWS79_RS00495	107644	108711	EWS79_RS00495-MONOMER
EWS79_RS06315	EWS79_RS06315	1430634	1431173	EWS79_RS06315-MONOMER
EWS79_RS06455	EWS79_RS06455	1466457	1466540	EWS79_RS06455-MONOMER
EWS79_RS05990	EWS79_RS05990	1360576	1361532	EWS79_RS05990-MONOMER
EWS79_RS06720	EWS79_RS06720	1529877	1530410	EWS79_RS06720-MONOMER
EWS79_RS03215	EWS79_RS03215	723055	723756	EWS79_RS03215-MONOMER
EWS79_RS04580	EWS79_RS04580	1040352	1042370	EWS79_RS04580-MONOMER
EWS79_RS01675	EWS79_RS01675	395433	395801	EWS79_RS01675-MONOMER
EWS79_RS04335	EWS79_RS04335	988535	989962	EWS79_RS04335-MONOMER
EWS79_RS03820	EWS79_RS03820	871221	871553	EWS79_RS03820-MONOMER
EWS79_RS04020	EWS79_RS04020	920857	920933	EWS79_RS04020-tRNA
EWS79_RS05585	EWS79_RS05585	1268000	1268488	EWS79_RS05585-MONOMER
EWS79_RS02415	EWS79_RS02415	545731	546000	EWS79_RS02415-MONOMER
EWS79_RS07620	EWS79_RS07620	1749860	1750528	EWS79_RS07620-MONOMER
EWS79_RS08305	EWS79_RS08305	1892049	1893494	EWS79_RS08305-MONOMER
EWS79_RS03920	EWS79_RS03920	892650	893129	EWS79_RS03920-MONOMER
EWS79_RS01135	EWS79_RS01135	265190	266620	EWS79_RS01135-MONOMER
EWS79_RS00770	EWS79_RS00770	167257	168651	EWS79_RS00770-MONOMER
EWS79_RS06530	EWS79_RS06530	1484176	1485504	EWS79_RS06530-MONOMER
EWS79_RS08675	EWS79_RS08675	1968672	1969937	EWS79_RS08675-MONOMER
EWS79_RS07835	EWS79_RS07835	1793408	1793755	EWS79_RS07835-MONOMER
EWS79_RS02355	EWS79_RS02355	530849	531238	EWS79_RS02355-MONOMER
EWS79_RS00300	EWS79_RS00300	65434	65964	EWS79_RS00300-MONOMER
EWS79_RS08625	EWS79_RS08625	1959239	1959733	EWS79_RS08625-MONOMER
EWS79_RS06855	EWS79_RS06855	1571609	1571911	EWS79_RS06855-MONOMER
EWS79_RS05740	EWS79_RS05740	1303151	1303399	EWS79_RS05740-MONOMER
EWS79_RS08860	EWS79_RS08860	2005279	2005725	EWS79_RS08860-MONOMER
EWS79_RS07460	EWS79_RS07460	1714641	1715246	EWS79_RS07460-MONOMER
EWS79_RS05405	EWS79_RS05405	1231025	1231101	EWS79_RS05405-tRNA
EWS79_RS04910	EWS79_RS04910	1115989	1116750	EWS79_RS04910-MONOMER
EWS79_RS08740	EWS79_RS08740	1986482	1986823	EWS79_RS08740-MONOMER
EWS79_RS06680	EWS79_RS06680	1524861	1525238	EWS79_RS06680-MONOMER
EWS79_RS07430	EWS79_RS07430	1709013	1710299	EWS79_RS07430-MONOMER
EWS79_RS08735	EWS79_RS08735	1985424	1986590	EWS79_RS08735-MONOMER
EWS79_RS03225	EWS79_RS03225	724594	724965	EWS79_RS03225-MONOMER
EWS79_RS02005	EWS79_RS02005	463724	464404	EWS79_RS02005-MONOMER
EWS79_RS08990	EWS79_RS08990	2038901	2039836	EWS79_RS08990-MONOMER
EWS79_RS08950	EWS79_RS08950	2030500	2031510	EWS79_RS08950-MONOMER
EWS79_RS04315	EWS79_RS04315	983773	985098	EWS79_RS04315-MONOMER
EWS79_RS08540	EWS79_RS08540	1941243	1942640	EWS79_RS08540-MONOMER
EWS79_RS08185	EWS79_RS08185	1871781	1873151	EWS79_RS08185-MONOMER
EWS79_RS04970	EWS79_RS04970	1129571	1130374	EWS79_RS04970-MONOMER
EWS79_RS08905	EWS79_RS08905	2014763	2017810	EWS79_RS08905-MONOMER
EWS79_RS04710	EWS79_RS04710	1072155	1072688	EWS79_RS04710-MONOMER
EWS79_RS05865	EWS79_RS05865	1332064	1333398	EWS79_RS05865-MONOMER
EWS79_RS08955	EWS79_RS08955	2031706	2032527	EWS79_RS08955-MONOMER
EWS79_RS07175	EWS79_RS07175	1649536	1650825	EWS79_RS07175-MONOMER
EWS79_RS03500	EWS79_RS03500	789708	790667	EWS79_RS03500-MONOMER
EWS79_RS02175	EWS79_RS02175	506474	506893	EWS79_RS02175-MONOMER
EWS79_RS00340	EWS79_RS00340	72273	74603	EWS79_RS00340-MONOMER
EWS79_RS02850	EWS79_RS02850	636620	637417	EWS79_RS02850-MONOMER
EWS79_RS04995	EWS79_RS04995	1138180	1138521	EWS79_RS04995-MONOMER
EWS79_RS00975	EWS79_RS00975	222237	223784	EWS79_RS00975-MONOMER
EWS79_RS08010	EWS79_RS08010	1829954	1830193	EWS79_RS08010-MONOMER
EWS79_RS04400	EWS79_RS04400	1004642	1005919	EWS79_RS04400-MONOMER
EWS79_RS07910	EWS79_RS07910	1808947	1809969	EWS79_RS07910-MONOMER
EWS79_RS00830	EWS79_RS00830	185680	185928	EWS79_RS00830-MONOMER
EWS79_RS07360	EWS79_RS07360	1692506	1693057	EWS79_RS07360-MONOMER
EWS79_RS03085	EWS79_RS03085	696090	696413	EWS79_RS03085-MONOMER
EWS79_RS03075	EWS79_RS03075	692049	695624	EWS79_RS03075-MONOMER
EWS79_RS01270	EWS79_RS01270	300204	300902	EWS79_RS01270-MONOMER
EWS79_RS01085	EWS79_RS01085	251733	253208	EWS79_RS01085-MONOMER
EWS79_RS01165	EWS79_RS01165	274227	274547	EWS79_RS01165-MONOMER
EWS79_RS07785	EWS79_RS07785	1780698	1781498	EWS79_RS07785-MONOMER
EWS79_RS03275	EWS79_RS03275	739089	739385	EWS79_RS03275-MONOMER
EWS79_RS04255	EWS79_RS04255	972070	972666	EWS79_RS04255-MONOMER
EWS79_RS01355	EWS79_RS01355	317474	317550	EWS79_RS01355-tRNA
EWS79_RS06705	EWS79_RS06705	1528076	1528696	EWS79_RS06705-MONOMER
EWS79_RS06230	EWS79_RS06230	1414679	1415692	EWS79_RS06230-MONOMER
EWS79_RS06165	EWS79_RS06165	1401849	1404029	EWS79_RS06165-MONOMER
EWS79_RS01575	EWS79_RS01575	376450	376803	EWS79_RS01575-MONOMER
EWS79_RS07320	EWS79_RS07320	1680397	1682010	EWS79_RS07320-MONOMER
EWS79_RS08985	EWS79_RS08985	2037423	2038868	EWS79_RS08985-MONOMER
EWS79_RS04010	EWS79_RS04010	917050	918621	EWS79_RS04010-MONOMER
EWS79_RS01950	EWS79_RS01950	450831	451325	EWS79_RS01950-MONOMER
EWS79_RS08255	EWS79_RS08255	1881411	1882457	EWS79_RS08255-MONOMER
EWS79_RS08425	EWS79_RS08425	1920144	1920947	EWS79_RS08425-MONOMER
EWS79_RS07970	EWS79_RS07970	1822824	1823843	EWS79_RS07970-MONOMER
EWS79_RS07915	EWS79_RS07915	1810005	1810871	EWS79_RS07915-MONOMER
EWS79_RS01315	EWS79_RS01315	310200	311216	EWS79_RS01315-MONOMER
EWS79_RS08005	EWS79_RS08005	1828931	1829881	EWS79_RS08005-MONOMER
EWS79_RS08650	EWS79_RS08650	1963440	1964390	EWS79_RS08650-MONOMER
EWS79_RS08940	EWS79_RS08940	2027738	2028727	EWS79_RS08940-MONOMER
EWS79_RS00550	EWS79_RS00550	121838	122668	EWS79_RS00550-MONOMER
EWS79_RS01200	EWS79_RS01200	281722	282339	EWS79_RS01200-MONOMER
EWS79_RS06580	EWS79_RS06580	1499069	1499776	EWS79_RS06580-MONOMER
EWS79_RS02010	EWS79_RS02010	464614	465033	EWS79_RS02010-MONOMER
EWS79_RS00060	EWS79_RS00060	14548	15729	EWS79_RS00060-MONOMER
EWS79_RS08570	EWS79_RS08570	1947815	1947891	EWS79_RS08570-tRNA
EWS79_RS05190	EWS79_RS05190	1177188	1178453	EWS79_RS05190-MONOMER
EWS79_RS06140	EWS79_RS06140	1395914	1396834	EWS79_RS06140-MONOMER
EWS79_RS05615	EWS79_RS05615	1272683	1273399	EWS79_RS05615-MONOMER
EWS79_RS03010	EWS79_RS03010	675905	677224	EWS79_RS03010-MONOMER
EWS79_RS06920	EWS79_RS06920	1585466	1586236	EWS79_RS06920-MONOMER
EWS79_RS02795	EWS79_RS02795	628267	629028	EWS79_RS02795-MONOMER
EWS79_RS08455	EWS79_RS08455	1924853	1925086	EWS79_RS08455-MONOMER
EWS79_RS00665	EWS79_RS00665	144499	145209	EWS79_RS00665-MONOMER
EWS79_RS01915	EWS79_RS01915	443036	443686	EWS79_RS01915-MONOMER
EWS79_RS06640	EWS79_RS06640	1514989	1515603	EWS79_RS06640-MONOMER
EWS79_RS06275	EWS79_RS06275	1424137	1424568	EWS79_RS06275-MONOMER
EWS79_RS00220	EWS79_RS00220	48422	49228	EWS79_RS00220-MONOMER
EWS79_RS07445	EWS79_RS07445	1711474	1711902	EWS79_RS07445-MONOMER
EWS79_RS05860	EWS79_RS05860	1331178	1332047	EWS79_RS05860-MONOMER
EWS79_RS07825	EWS79_RS07825	1790952	1791896	EWS79_RS07825-MONOMER
EWS79_RS01835	EWS79_RS01835	429039	429707	EWS79_RS01835-MONOMER
EWS79_RS00065	EWS79_RS00065	15736	16365	EWS79_RS00065-MONOMER
EWS79_RS06420	EWS79_RS06420	1458718	1459617	EWS79_RS06420-MONOMER
EWS79_RS01255	EWS79_RS01255	297457	297744	EWS79_RS01255-MONOMER
EWS79_RS00820	EWS79_RS00820	181251	182609	EWS79_RS00820-MONOMER
EWS79_RS01090	EWS79_RS01090	253205	255352	EWS79_RS01090-MONOMER
EWS79_RS03895	EWS79_RS03895	886897	887229	EWS79_RS03895-MONOMER
EWS79_RS02150	EWS79_RS02150	499809	501779	EWS79_RS02150-MONOMER
EWS79_RS07515	EWS79_RS07515	1723229	1723891	EWS79_RS07515-MONOMER
EWS79_RS05765	EWS79_RS05765	1308219	1308794	EWS79_RS05765-MONOMER
EWS79_RS05835	EWS79_RS05835	1323543	1325027	EWS79_RS05835-MONOMER
EWS79_RS02330	EWS79_RS02330	526885	527061	EWS79_RS02330-MONOMER
EWS79_RS01815	EWS79_RS01815	425768	426883	EWS79_RS01815-MONOMER
EWS79_RS06495	EWS79_RS06495	1475823	1477604	EWS79_RS06495-MONOMER
EWS79_RS06445	EWS79_RS06445	1465893	1465969	EWS79_RS06445-tRNA
EWS79_RS04450	EWS79_RS04450	1013761	1014750	EWS79_RS04450-MONOMER
EWS79_RS07145	EWS79_RS07145	1642679	1644136	EWS79_RS07145-MONOMER
EWS79_RS00460	EWS79_RS00460	99841	100191	EWS79_RS00460-MONOMER
EWS79_RS03115	EWS79_RS03115	702064	702711	EWS79_RS03115-MONOMER
EWS79_RS06730	EWS79_RS06730	1531872	1532948	EWS79_RS06730-MONOMER
EWS79_RS02125	EWS79_RS02125	488881	493158	EWS79_RS02125-MONOMER
EWS79_RS07370	EWS79_RS07370	1694214	1695284	EWS79_RS07370-MONOMER
EWS79_RS06955	EWS79_RS06955	1593795	1594361	EWS79_RS06955-MONOMER
EWS79_RS02115	EWS79_RS02115	486029	487441	EWS79_RS02115-MONOMER
EWS79_RS00600	EWS79_RS00600	131655	133328	EWS79_RS00600-MONOMER
EWS79_RS07690	EWS79_RS07690	1762657	1763400	EWS79_RS07690-MONOMER
EWS79_RS00225	EWS79_RS00225	49348	49857	EWS79_RS00225-MONOMER
EWS79_RS07240	EWS79_RS07240	1666961	1667095	EWS79_RS07240-MONOMER
EWS79_RS01105	EWS79_RS01105	258595	259272	EWS79_RS01105-MONOMER
EWS79_RS01905	EWS79_RS01905	441285	442691	EWS79_RS01905-MONOMER
EWS79_RS02530	EWS79_RS02530	573239	574558	EWS79_RS02530-MONOMER
EWS79_RS03790	EWS79_RS03790	865965	866210	EWS79_RS03790-MONOMER
EWS79_RS04775	EWS79_RS04775	1079959	1080891	EWS79_RS04775-MONOMER
EWS79_RS03510	EWS79_RS03510	792032	792622	EWS79_RS03510-MONOMER
EWS79_RS04080	EWS79_RS04080	936405	939431	EWS79_RS04080-MONOMER
EWS79_RS04065	EWS79_RS04065	932425	932634	EWS79_RS04065-MONOMER
EWS79_RS08410	EWS79_RS08410	1915516	1917006	EWS79_RS08410-rRNA
EWS79_RS03410	EWS79_RS03410	765750	767225	EWS79_RS03410-MONOMER
EWS79_RS00870	EWS79_RS00870	196697	197146	EWS79_RS00870-MONOMER
EWS79_RS00455	EWS79_RS00455	97849	99645	EWS79_RS00455-MONOMER
EWS79_RS03725	EWS79_RS03725	846419	847597	EWS79_RS03725-MONOMER
EWS79_RS00430	EWS79_RS00430	93103	93681	EWS79_RS00430-MONOMER
EWS79_RS00635	EWS79_RS00635	139876	140379	EWS79_RS00635-MONOMER
EWS79_RS08140	EWS79_RS08140	1862198	1862392	EWS79_RS08140-MONOMER
EWS79_RS01210	EWS79_RS01210	283792	284439	EWS79_RS01210-MONOMER
EWS79_RS03390	EWS79_RS03390	758968	761748	EWS79_RS03390-MONOMER
EWS79_RS01920	EWS79_RS01920	444147	444223	EWS79_RS01920-tRNA
EWS79_RS05140	EWS79_RS05140	1169377	1170006	EWS79_RS05140-MONOMER
EWS79_RS07125	EWS79_RS07125	1636213	1638165	EWS79_RS07125-MONOMER
EWS79_RS02335	EWS79_RS02335	527212	527703	EWS79_RS02335-MONOMER
EWS79_RS02275	EWS79_RS02275	522299	522730	EWS79_RS02275-MONOMER
EWS79_RS04720	EWS79_RS04720	1073570	1074196	EWS79_RS04720-MONOMER
EWS79_RS07025	EWS79_RS07025	1610806	1611927	EWS79_RS07025-MONOMER
EWS79_RS04285	EWS79_RS04285	977307	977936	EWS79_RS04285-MONOMER
EWS79_RS00465	EWS79_RS00465	100924	102387	EWS79_RS00465-MONOMER
EWS79_RS07720	EWS79_RS07720	1768327	1769436	EWS79_RS07720-MONOMER
EWS79_RS03550	EWS79_RS03550	805381	807015	EWS79_RS03550-MONOMER
EWS79_RS00925	EWS79_RS00925	208992	210563	EWS79_RS00925-MONOMER
EWS79_RS03495	EWS79_RS03495	789164	789502	EWS79_RS03495-MONOMER
EWS79_RS07160	EWS79_RS07160	1646306	1647694	EWS79_RS07160-MONOMER
EWS79_RS04690	EWS79_RS04690	1065516	1066295	EWS79_RS04690-MONOMER
EWS79_RS07595	EWS79_RS07595	1745219	1746235	EWS79_RS07595-MONOMER
EWS79_RS03885	EWS79_RS03885	884719	885741	EWS79_RS03885-MONOMER
EWS79_RS01360	EWS79_RS01360	317893	318390	EWS79_RS01360-MONOMER
EWS79_RS00680	EWS79_RS00680	146879	148255	EWS79_RS00680-MONOMER
EWS79_RS08375	EWS79_RS08375	1909180	1909668	EWS79_RS08375-MONOMER
EWS79_RS05420	EWS79_RS05420	1234221	1235567	EWS79_RS05420-MONOMER
EWS79_RS02230	EWS79_RS02230	516455	517648	EWS79_RS02230-MONOMER
EWS79_RS02590	EWS79_RS02590	588031	588741	EWS79_RS02590-MONOMER
