Reaction	Metabolites	Stoichiometry
ac4C	h2o_c	-1.0
ac4C	adp_c	1.0
ac4C	pi_c	1.0
mnm5U	h2o_c	-2.0
mnm5U	gly_c	-1.0
mnm5U	5fthf_c	-1.0
mnm5U	gtp_c	-1.0
mnm5U	thf_c	1.0
mnm5U	pi_c	1.0
mnm5U	gdp_c	1.0
mnm5U	glx_c	1.0
mnm5U	amet_c	-1.0
mnm5U	ahcys_c	1.0
mnm5s2U	h2o_c	-2.0
mnm5s2U	gly_c	-1.0
mnm5s2U	5fthf_c	-1.0
mnm5s2U	gtp_c	-1.0
mnm5s2U	thf_c	1.0
mnm5s2U	pi_c	1.0
mnm5s2U	gdp_c	1.0
mnm5s2U	glx_c	1.0
mnm5s2U	amet_c	-1.0
mnm5s2U	ahcys_c	1.0
mnm5s2U	atp_c	-1.0
mnm5s2U	amp_c	1.0
mnm5s2U	ppi_c	1.0
mnm5s2U	BSU27510-MONOMER_mod_pydx5p(2)_mod_SH(1)	-1.0
mnm5s2U	BSU27510-MONOMER_mod_pydx5p(2)	1.0
mnm5s2U	THIOREDOXIN	-1.0
mnm5s2U	THIOREDOXIN	1.0
ms2i6A	dmpp_c	-1.0
ms2i6A	ppi_c	1.0
ms2i6A	amet_c	-1.0
ms2i6A	ahcys_c	1.0
ms2i6A	amet_c	-1.0
ms2i6A	met__L_c	1.0
ms2i6A	dad__5_c	1.0
ms2i6A	BSU27510-MONOMER_mod_pydx5p(2)_mod_SH(1)	-1.0
ms2i6A	BSU27510-MONOMER_mod_pydx5p(2)	1.0
ms2i6A	glutaredoxin	-1.0
ms2i6A	glutaredoxin	1.0
s4U,s2C	atp_c	-1.0
s4U,s2C	amp_c	1.0
s4U,s2C	ppi_c	1.0
s4U,s2C	BSU27510-MONOMER_mod_pydx5p(2)_mod_SH(1)	-1.0
s4U,s2C	BSU27510-MONOMER_mod_pydx5p(2)	1.0
