reaction	direction	complex	mods	keff
3HAD1411	FWD	FABA-CPLX		32.13001307928567
3HAD1411	FWD	FABZ-CPLX		17.621941612925323
3HAD1601	FWD	FABA-CPLX		32.13001307928567
3HAD1601	FWD	FABZ-CPLX		17.621941612925323
3HAD1611	FWD	FABA-CPLX		32.13001307928567
3HAD1611	FWD	FABZ-CPLX		17.621941612925323
3HAD1801	FWD	FABA-CPLX		32.13001307928567
3HAD1801	FWD	FABZ-CPLX		17.621941612925323
3HAD1811	FWD	FABA-CPLX		32.13001307928567
3HAD1811	FWD	FABZ-CPLX		17.621941612925323
3HAD401	FWD	FABA-CPLX		32.13001307928567
3HAD401	FWD	FABZ-CPLX		17.621941612925323
3HAD601	FWD	FABA-CPLX		32.13001307928567
3HAD601	FWD	FABZ-CPLX		17.621941612925323
3HAD801	FWD	FABA-CPLX		32.13001307928567
3HAD801	FWD	FABZ-CPLX		17.621941612925323
3HCINNMH	FWD	MHPHYDROXY-MONOMER		46.570369191004524
3HPPPNH	FWD	MHPHYDROXY-MONOMER		46.570369191004524
3HPPtex	FWD	CPLX0-7530		74.67911373302745
3HPPtex	REV	CPLX0-7530		74.67911373302745
3HPPtex	FWD	CPLX0-7533		76.74472378998097
3HPPtex	REV	CPLX0-7533		76.74472378998097
3HPPtex	FWD	CPLX0-7534		75.26768199270408
3HPPtex	REV	CPLX0-7534		75.26768199270408
3HPPtex	FWD	G6700-MONOMER		34.19401863135169
3HPPtex	REV	G6700-MONOMER		34.19401863135169
3KGK	FWD	LYXK-CPLX		71.5641293408596
3NTD2pp	FWD	CPDB-MONOMER		51.34051782070311
3NTD4pp	FWD	CPDB-MONOMER		51.34051782070311
3NTD7pp	FWD	CPDB-MONOMER		51.34051782070311
3NTD9pp	FWD	CPDB-MONOMER		51.34051782070311
3OAR1001	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1001	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1201	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1201	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1211	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1401	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		284.92065607649573
3OAR1401	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1411	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1601	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1601	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1611	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1801	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1801	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR1811	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR401	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR401	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR601	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR601	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR801	FWD	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAR801	REV	3-OXOACYL-ACP-REDUCT-MONOMER		23.898771544841836
3OAS1001	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		59.42287181224429
3OAS1001	FWD	FABB-CPLX		58.97014753501288
3OAS1201	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		59.42287181224429
3OAS1201	FWD	FABB-CPLX		58.97014753501288
3OAS1211	FWD	FABB-CPLX		58.97014753501288
3OAS1401	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		15.704087102340782
3OAS1401	FWD	FABB-CPLX		58.97014753501288
3OAS1411	FWD	FABB-CPLX		58.97014753501288
3OAS1601	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		59.42287181224429
3OAS1601	FWD	FABB-CPLX		58.97014753501288
3OAS1611	FWD	FABB-CPLX		58.97014753501288
3OAS1801	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		59.42287181224429
3OAS1801	FWD	FABB-CPLX		58.97014753501288
3OAS1811	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		59.42287181224429
3OAS601	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		59.42287181224429
3OAS601	FWD	FABB-CPLX		58.97014753501288
3OAS801	FWD	3-OXOACYL-ACP-SYNTHII-CPLX		59.42287181224429
3OAS801	FWD	FABB-CPLX		58.97014753501288
3OXCOAT	FWD	G6718-MONOMER		34.860664994608975
3PEPTabcpp	FWD	CPLX0-3970		112.14715773640529
3PEPTtex	FWD	CPLX0-7530		74.67911373302745
3PEPTtex	REV	CPLX0-7530		74.67911373302745
3PEPTtex	FWD	CPLX0-7533		76.74472378998097
3PEPTtex	REV	CPLX0-7533		76.74472378998097
3PEPTtex	FWD	CPLX0-7534		75.26768199270408
3PEPTtex	REV	CPLX0-7534		75.26768199270408
3PEPTtex	FWD	G6700-MONOMER		34.19401863135169
3PEPTtex	REV	G6700-MONOMER		34.19401863135169
3UMPtex	FWD	CPLX0-7530		74.67911373302745
3UMPtex	REV	CPLX0-7530		74.67911373302745
3UMPtex	FWD	CPLX0-7533		76.74472378998097
3UMPtex	REV	CPLX0-7533		76.74472378998097
3UMPtex	FWD	CPLX0-7534		75.26768199270408
3UMPtex	REV	CPLX0-7534		75.26768199270408
3UMPtex	FWD	G6700-MONOMER		34.19401863135169
3UMPtex	REV	G6700-MONOMER		34.19401863135169
42A12BOOXpp	FWD	AMINEOXID-CPLX		98.45412030783199
4Fe4S_to_ErpA_by_IscU	FWD	EG12130-MONOMER_EG12131-MONOMER		59.257239147917275
4Fe4S_to_IscA_by_IscU	FWD	EG12130-MONOMER_EG12131-MONOMER		59.257239147917275
4Fe4S_to_SufA_by_IscU	FWD	EG12130-MONOMER_EG12131-MONOMER		59.257239147917275
4HOXPACDtex	FWD	CPLX0-7530		74.67911373302745
4HOXPACDtex	REV	CPLX0-7530		74.67911373302745
4HOXPACDtex	FWD	CPLX0-7533		76.74472378998097
4HOXPACDtex	REV	CPLX0-7533		76.74472378998097
4HOXPACDtex	FWD	CPLX0-7534		75.26768199270408
4HOXPACDtex	REV	CPLX0-7534		75.26768199270408
4HOXPACDtex	FWD	G6700-MONOMER		34.19401863135169
4HOXPACDtex	REV	G6700-MONOMER		34.19401863135169
4HTHRS	FWD	THRESYN-MONOMER	pydx5p(1)	37.80677227517145
4PCP	FWD	G6621-MONOMER		29.318114453378666
4PEPTabcpp	FWD	ABC-22-CPLX		112.56171757670523
4PEPTtex	FWD	CPLX0-7530		74.67911373302745
4PEPTtex	REV	CPLX0-7530		74.67911373302745
4PEPTtex	FWD	CPLX0-7533		76.74472378998097
4PEPTtex	REV	CPLX0-7533		76.74472378998097
4PEPTtex	FWD	CPLX0-7534		75.26768199270408
4PEPTtex	REV	CPLX0-7534		75.26768199270408
4PEPTtex	FWD	G6700-MONOMER		34.19401863135169
4PEPTtex	REV	G6700-MONOMER		34.19401863135169
5DGLCNR	FWD	GLUCONREDUCT-MONOMER		25.287134967943473
5DGLCNR	REV	GLUCONREDUCT-MONOMER		25.287134967943473
5DGLCNt2rpp	FWD	YJGT-MONOMER		37.16633850116184
5DGLCNt2rpp	REV	YJGT-MONOMER		37.16633850116184
5DGLCNtex	FWD	CPLX0-7530		74.67911373302745
5DGLCNtex	REV	CPLX0-7530		74.67911373302745
5DGLCNtex	FWD	CPLX0-7533		76.74472378998097
5DGLCNtex	REV	CPLX0-7533		76.74472378998097
5DGLCNtex	FWD	CPLX0-7534		75.26768199270408
5DGLCNtex	REV	CPLX0-7534		75.26768199270408
5DGLCNtex	FWD	G6700-MONOMER		34.19401863135169
5DGLCNtex	REV	G6700-MONOMER		34.19401863135169
5DOAN	FWD	CPLX0-1541		1915.4773815888204
5MTRtex	FWD	CPLX0-7530		74.67911373302745
5MTRtex	REV	CPLX0-7530		74.67911373302745
5MTRtex	FWD	CPLX0-7533		76.74472378998097
5MTRtex	REV	CPLX0-7533		76.74472378998097
5MTRtex	FWD	CPLX0-7534		75.26768199270408
5MTRtex	REV	CPLX0-7534		75.26768199270408
5MTRtex	FWD	G6700-MONOMER		34.19401863135169
5MTRtex	REV	G6700-MONOMER		34.19401863135169
A5PISO	FWD	CPLX0-1262		85.92780213181207
A5PISO	REV	CPLX0-1262		85.92780213181207
A5PISO	FWD	CPLX0-3929		42.27519364983546
A5PISO	REV	CPLX0-3929		83.78484328302876
AACPS11	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS21	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS31	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS41	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS51	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS61	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS71	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS81	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AACPS91	FWD	AAS-MONOMER	mg2(1)	56.63308549859794
AADDGT	FWD	G7800-MONOMER		33.845286822688074
AAMYL	FWD	ALPHA-AMYL-CYTO-MONOMER		43.3920749475025
AAMYLpp	FWD	ALPHA-AMYL-PERI-MONOMER	ca2(1)	53.968234526135426
AB6PGH	FWD	G495-MONOMER		42.67319373048942
ABTA	FWD	G6646-MONOMER	pydx5p(1)	36.36495671105849
ABTA	FWD	GABATRANSAM-CPLX	pydx5p(1)	62.22703513106688
ABUTD	FWD	CPLX0-3641		113.2068472369263
ABUTt2pp	FWD	GABP-MONOMER		40.18727108630013
ABUTtex	FWD	CPLX0-7530		74.67911373302745
ABUTtex	REV	CPLX0-7530		74.67911373302745
ABUTtex	FWD	CPLX0-7533		76.74472378998097
ABUTtex	REV	CPLX0-7533		76.74472378998097
ABUTtex	FWD	CPLX0-7534		75.26768199270408
ABUTtex	REV	CPLX0-7534		75.26768199270408
ABUTtex	FWD	G6700-MONOMER		34.19401863135169
ABUTtex	REV	G6700-MONOMER		34.19401863135169
ACACCT	FWD	ACETOACETYL-COA-TRANSFER-CPLX		62.92986079469866
ACACT1r	FWD	ACETYL-COA-ACETYLTRANSFER-CPLX		95.2192809682725
ACACT1r	REV	ACETYL-COA-ACETYLTRANSFER-CPLX		95.2192809682725
ACACT1r	FWD	CPLX0-1667		37.4646849788567
ACACT1r	REV	CPLX0-1667		37.4646849788567
ACACT1r	FWD	FADA-CPLX		57.165109817720065
ACACT1r	REV	FADA-CPLX		57.165109817720065
ACACT2r	FWD	CPLX0-1667		37.4646849788567
ACACT2r	REV	CPLX0-1667		37.4646849788567
ACACT2r	FWD	FADA-CPLX		57.165109817720065
ACACT2r	REV	FADA-CPLX		57.165109817720065
ACACT3r	FWD	CPLX0-1667		37.4646849788567
ACACT3r	REV	CPLX0-1667		37.4646849788567
ACACT3r	FWD	FADA-CPLX		57.165109817720065
ACACT3r	REV	FADA-CPLX		57.165109817720065
ACACT4r	FWD	CPLX0-1667		37.4646849788567
ACACT4r	REV	CPLX0-1667		37.4646849788567
ACACT4r	FWD	FADA-CPLX		57.165109817720065
ACACT4r	REV	FADA-CPLX		57.165109817720065
ACACT5r	FWD	CPLX0-1667		37.4646849788567
ACACT5r	REV	CPLX0-1667		37.4646849788567
ACACT5r	FWD	FADA-CPLX		57.165109817720065
ACACT5r	REV	FADA-CPLX		57.165109817720065
ACACT6r	FWD	CPLX0-1667		37.4646849788567
ACACT6r	REV	CPLX0-1667		37.4646849788567
ACACT6r	FWD	FADA-CPLX		57.165109817720065
ACACT6r	REV	FADA-CPLX		57.165109817720065
ACACT7r	FWD	CPLX0-1667		37.4646849788567
ACACT7r	REV	CPLX0-1667		37.4646849788567
ACACT7r	FWD	FADA-CPLX		57.165109817720065
ACACT7r	REV	FADA-CPLX		57.165109817720065
ACACT8r	FWD	CPLX0-1667		37.4646849788567
ACACT8r	REV	CPLX0-1667		37.4646849788567
ACACT8r	FWD	FADA-CPLX		57.165109817720065
ACACT8r	REV	FADA-CPLX		57.165109817720065
ACACt2pp	FWD	EG11671-MONOMER		38.065525818758914
ACACt2pp	REV	EG11671-MONOMER		38.065525818758914
ACACtex	FWD	CPLX0-7530		74.67911373302745
ACACtex	REV	CPLX0-7530		74.67911373302745
ACACtex	FWD	CPLX0-7533		76.74472378998097
ACACtex	REV	CPLX0-7533		76.74472378998097
ACACtex	FWD	CPLX0-7534		75.26768199270408
ACACtex	REV	CPLX0-7534		75.26768199270408
ACACtex	FWD	G6700-MONOMER		34.19401863135169
ACACtex	REV	G6700-MONOMER		34.19401863135169
ACALD	FWD	ADHE-CPLX	fe2(1)	1026.8935724725548
ACALD	REV	ADHE-CPLX	fe2(1)	1026.8935724725548
ACALD	FWD	MHPF-MONOMER		29.234828790920577
ACALD	REV	MHPF-MONOMER		29.234828790920577
ACALDtex	FWD	CPLX0-7530		74.67911373302745
ACALDtex	REV	CPLX0-7530		74.67911373302745
ACALDtex	FWD	CPLX0-7533		76.74472378998097
ACALDtex	REV	CPLX0-7533		76.74472378998097
ACALDtex	FWD	CPLX0-7534		75.26768199270408
ACALDtex	REV	CPLX0-7534		75.26768199270408
ACALDtex	FWD	G6700-MONOMER		34.19401863135169
ACALDtex	REV	G6700-MONOMER		34.19401863135169
ACANTHAT	FWD	CPLX0-236		47.86904122289026
ACBIPGT	FWD	COBU-CPLX		33.6290262749219
ACCOAC	FWD	ACETYL-COA-CARBOXYLMULTI-CPLX	btn(1)	27.55499491607182
ACCOAL	FWD	ACS-MONOMER		52.02175114470202
ACGAL1Ptex	FWD	CPLX0-7530		74.67911373302745
ACGAL1Ptex	REV	CPLX0-7530		74.67911373302745
ACGAL1Ptex	FWD	CPLX0-7533		76.74472378998097
ACGAL1Ptex	REV	CPLX0-7533		76.74472378998097
ACGAL1Ptex	FWD	CPLX0-7534		75.26768199270408
ACGAL1Ptex	REV	CPLX0-7534		75.26768199270408
ACGAL1Ptex	FWD	G6700-MONOMER		34.19401863135169
ACGAL1Ptex	REV	G6700-MONOMER		34.19401863135169
ACGALtex	FWD	CPLX0-7530		74.67911373302745
ACGALtex	REV	CPLX0-7530		74.67911373302745
ACGALtex	FWD	CPLX0-7533		76.74472378998097
ACGALtex	REV	CPLX0-7533		76.74472378998097
ACGALtex	FWD	CPLX0-7534		75.26768199270408
ACGALtex	REV	CPLX0-7534		75.26768199270408
ACGALtex	FWD	G6700-MONOMER		34.19401863135169
ACGALtex	REV	G6700-MONOMER		34.19401863135169
ACGAM1Ptex	FWD	CPLX0-7530		74.67911373302745
ACGAM1Ptex	REV	CPLX0-7530		74.67911373302745
ACGAM1Ptex	FWD	CPLX0-7533		76.74472378998097
ACGAM1Ptex	REV	CPLX0-7533		76.74472378998097
ACGAM1Ptex	FWD	CPLX0-7534		75.26768199270408
ACGAM1Ptex	REV	CPLX0-7534		75.26768199270408
ACGAM1Ptex	FWD	G6700-MONOMER		34.19401863135169
ACGAM1Ptex	REV	G6700-MONOMER		34.19401863135169
ACGAMK	FWD	G6576-MONOMER		28.97077629368514
ACGAMT	FWD	GLCNACPTRANS-MONOMER	mg2(1)	34.056206362098465
ACGAptspp	FWD	CPLX-157		134.48956760073816
ACGAptspp	FWD	CPLX-167		141.17930695175792
ACGAtex	FWD	CPLX0-7530		74.67911373302745
ACGAtex	REV	CPLX0-7530		74.67911373302745
ACGAtex	FWD	CPLX0-7533		76.74472378998097
ACGAtex	REV	CPLX0-7533		76.74472378998097
ACGAtex	FWD	CPLX0-7534		75.26768199270408
ACGAtex	REV	CPLX0-7534		75.26768199270408
ACGAtex	FWD	G6700-MONOMER		34.19401863135169
ACGAtex	REV	G6700-MONOMER		34.19401863135169
ACGK	FWD	ACETYLGLUTKIN-CPLX	mg2(1)	0.6100659741726961
ACGS	FWD	N-ACETYLTRANSFER-CPLX		31.38626503094771
ACHBS	FWD	ACETOLACTSYNIII-CPLX		95.43791500884669
ACHBS	FWD	ACETOLACTSYNI-CPLX	mg2(1) AND fad(1) AND thmpp(1)	86.97372410429617
ACKr	FWD	ACETATEKINA-MONOMER	mg2(1)	35.48242421317606
ACKr	REV	ACETATEKINA-MONOMER	mg2(1)	35.48242421317606
ACKr	FWD	GARTRANSFORMYL2-MONOMER		34.95408622384066
ACKr	REV	GARTRANSFORMYL2-MONOMER		34.95408622384066
ACKr	FWD	PROPKIN-MONOMER		35.87189367717838
ACKr	REV	PROPKIN-MONOMER		35.87189367717838
ACLS	FWD	ACETOLACTSYNIII-CPLX		95.43791500884669
ACLS	FWD	ACETOLACTSYNI-CPLX	mg2(1) AND fad(1) AND thmpp(1)	86.97372410429617
ACM6PH	FWD	CPLX0-7732		46.69787554791258
ACMAMUT	FWD	UDPMANACATRANS-MONOMER		25.547393468454864
ACMANAptspp	FWD	CPLX-165		135.2742333717016
ACMANAtex	FWD	CPLX0-7530		74.67911373302745
ACMANAtex	REV	CPLX0-7530		74.67911373302745
ACMANAtex	FWD	CPLX0-7533		76.74472378998097
ACMANAtex	REV	CPLX0-7533		76.74472378998097
ACMANAtex	FWD	CPLX0-7534		75.26768199270408
ACMANAtex	REV	CPLX0-7534		75.26768199270408
ACMANAtex	FWD	G6700-MONOMER		34.19401863135169
ACMANAtex	REV	G6700-MONOMER		34.19401863135169
ACMUMptspp	FWD	CPLX0-7		85.89499563243186
ACMUMtex	FWD	CPLX0-7530		74.67911373302745
ACMUMtex	FWD	CPLX0-7533		76.74472378998097
