reaction,keff,complex,mods
ACOAD1f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACOAD2f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACOAD3f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACOAD4f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACOAD5f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACOAD6f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACOAD7f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACOAD8f,61.05747947137517,ACYLCOADEHYDROG-MONOMER,
ACODA,1.7710947492274822,ACETYLORNDEACET-CPLX,zn2(1)
ACOLIPAabctex,101.33633471925427,ABC-53-CPLX,
ACONIs,65,,
ACONMT,26.267803676795737,G6806-MONOMER,
ACONTa,106.3305798823874,CPLX0-7761,4fe4s(1)
ACONTb,106.3305798823874,CPLX0-7761,4fe4s(1)
ACOTA,60.16534110067218,ACETYLORNTRANSAM-CPLX,pydx5p(1)
ACS,52.02175114470202,ACS-MONOMER,
ACSERtex,34.19401863135169,G6700-MONOMER,
ACSERtpp,20.80922838127495,EG12445-MONOMER,
ACt2rpp,65,CPLX_dummy,
ACt4pp,44.88618585815505,YJCG-MONOMER,
ACtex,34.19401863135169,G6700-MONOMER,
ADA,31.148504768395068,ADENODEAMIN-MONOMER,
ADCL,44.99925798886856,ADCLY-CPLX,pydx5p(1)
ADCS,51.81900140009542,PABASYN-CPLX,mg2(1)
ADD,79.75958513530763,CPLX0-1683,mn2(1)
ADEt2rpp,38.86687550524414,YICE-MONOMER,
ADEtex,34.19401863135169,G6700-MONOMER,
ADK1,22.49659816538253,ADENYL-KIN-MONOMER,mg2(1)
ADK3,22.49659816538253,ADENYL-KIN-MONOMER,mg2(1)
ADK4,22.49659816538253,ADENYL-KIN-MONOMER,mg2(1)
ADMDC,27.199818932588183,SPED-MONOMER,
ADNCYC,65.29058248415204,ADENYLATECYC-MONOMER,mg2(1)
ADNK1,370.36187186896797,ADENYL-KIN-MONOMER,mg2(1)
ADNUC,28.6543815720468,EG11082-MONOMER,
ADNt2pp,37.380574950471946,NUPG-MONOMER,
ADNt2rpp,37.2290866550139,XAPB-MONOMER,
ADNtex,29.32956569869997,EG11035-MONOMER,
ADOCBIK,33.6290262749219,COBU-CPLX,
ADOCBLS,24.47844033988953,COBS-MONOMER,
ADOCBLabcpp,91.66963975136899,ABC-5-CPLX,
ADOCBLtonex,83.87525949926273,CPLX0-1924,
ADPRDP,34.85918243750512,CPLX0-1221,mg2(1)
ADPT,33.251164362565056,ADENPRIBOSYLTRAN-CPLX,mn2(1)
ADSK,3.103579777745548,ADENYLYLSULFKIN-CPLX,mn2(1)
ADSL1r,9.963067598272547,ASL-MONOMER,
ADSL2r,9.963067598272236,ASL-MONOMER,
ADSS,3000.0,ADENYLOSUCCINATE-SYN-DIMER,mg2(1)
AGDC,96.26124119769698,NAG6PDEACET-CPLX,zn2(1)
AGM3PA,20.272456148022822,EG10041-MONOMER,
AGM3PApp,27.91034445601148,NACMURLALAAMI1-MONOMER,
AGM3PH,31.91905929561459,G6567-MONOMER,
AGM3Pt2pp,41.45237650657954,AMPG-MONOMER,
AGM4PA,20.272456148022822,EG10041-MONOMER,
AGM4PApp,27.91034445601148,NACMURLALAAMI1-MONOMER,
AGM4PCP,29.318114453378666,G6621-MONOMER,
AGM4PCPpp,65,CPLX_dummy,
AGM4PH,31.91905929561459,G6567-MONOMER,
AGM4Pt2pp,41.45237650657954,AMPG-MONOMER,
AGMH,31.91905929561459,G6567-MONOMER,
AGMHE,100.90289796554762,CPLX0-3681,nadp(1)
AGMT,49.286621036284174,AGMATIN-CPLX,mn2(2)
AGMt2pp,41.45237650657954,AMPG-MONOMER,
AGMtex,34.19401863135169,G6700-MONOMER,
AGPR,30.865219543487818,N-ACETYLGLUTPREDUCT-MONOMER,
AGt3,239.3181381115306,CPLX0-1721,
AHCYSNS,1915.4773815888204,CPLX0-1541,
AICART,1008.3105935956769,AICARTRANSIMPCYCLO-CPLX,
AIRC2,25.00229185204438,PURK-CPLX,
AIRC3,86.5599734664004,PURE-CPLX,
AKGDH,3000.0,2OXOGLUTARATEDEH-CPLX,mg2(1) AND lipoyl(1)
AKGt2rpp,37.7862806703446,KGTP-MONOMER,
AKGtex,34.19401863135169,G6700-MONOMER,
ALAALAD,20.770709663140753,G6782-MONOMER,
ALAALAabcpp,113.29643853428684,ABC-8-CPLX,
ALAALAr,33.00511043430086,DALADALALIGA-MONOMER,
ALAALAtex,34.19401863135169,G6700-MONOMER,
ALAGLUE,30.036611994870395,G6661-MONOMER,
ALAR,55.02164007688278,CPLX0-7465,pydx5p(1)
ALATA_D2,61.761204708399646,GLYOHMETRANS-CPLX,
ALATA_L,62.68724566999383,CPLX0-7887,
ALATA_L2,61.761204708399646,GLYOHMETRANS-CPLX,
ALAabcpp,100.32711588608652,ABC-15-CPLX,
ALAt2pp,40.52465006172475,CYCA-MONOMER,
ALAt2rpp,65,CPLX_dummy,
ALAt4pp,40.526550816674735,YAAJ-MONOMER,
ALAtex,34.19401863135169,G6700-MONOMER,
ALCD19,55.561047596789834,ADHC-CPLX,zn2(1)
ALCD2x,55.561047596789834,ADHC-CPLX,zn2(1)
ALDD19xr,70.14584947859669,PHENDEHYD-CPLX,
ALDD2x,41.54594181716644,ALDHDEHYDROG-MONOMER,
ALDD2y,122.24172572256697,CPLX0-3482,mg2(1)
ALDD3y,122.24172572256697,CPLX0-3482,mg2(1)
ALDD4,65,CPLX_dummy,
ALLK,29.486779668091888,EG11956-MONOMER,
ALLPI,28.372441712982834,RIB5PISOMB-CPLX,
ALLTAMH,62.14064695399968,CPLX-7524,mn2(1)
ALLTN,111.13907347272828,CPLX-64,ni2(1) AND zn2(1)
ALLTNt2rpp,40.99299324459025,B0511-MONOMER,
ALLTNtex,34.19401863135169,G6700-MONOMER,
ALLULPE,24.275901935677222,EG11957-MONOMER,cobalt2(1)
ALLabcpp,118.08164421289597,ABC-42-CPLX,
ALLtex,34.19401863135169,G6700-MONOMER,
ALR2,26.56634578473805,MONOMER0-149,
ALR4x,155.17173240071875,GLYCDEH-CPLX,
ALTRH,41.934274945922915,ALTRODEHYDRAT-MONOMER,
AM3PA,20.272456148022822,EG10041-MONOMER,
AM4PA,20.272456148022822,EG10041-MONOMER,
AM4PCP,29.318114453378666,G6621-MONOMER,
AMALT1,55.46120325056167,AMYLOMALT-MONOMER,
AMALT2,55.46120325056167,AMYLOMALT-MONOMER,
AMALT3,55.46120325056167,AMYLOMALT-MONOMER,
AMALT4,55.46120325056167,AMYLOMALT-MONOMER,
AMANAPEr,22.840573353958312,NANE-MONOMER,
AMANK,26.70514772373983,NANK-MONOMER,
AMAOTr,63.808785622358826,DAPASYN-CPLX,pydx5p(1)
AMMQLT8,25.642034352018847,2-OCTAPRENYL-METHOXY-BENZOQ-METH-MONOMER,
AMPMS2,51.3477051891652,THIC-MONOMER,
AMPN,160.5605564523638,AMP-NUCLEOSID-CPLX,
AMPTASECG,37.247341889534596,EG12310-MONOMER,
AMPTASEPG,37.247341889534596,EG12310-MONOMER,
AMPtex,34.19401863135169,G6700-MONOMER,
ANHGMtex,34.19401863135169,G6700-MONOMER,
ANHMK,33.12386361238059,G6880-MONOMER,mg2(1)
ANPRT,0.2110453466547405,ANTHRANSYNCOMPII-MONOMER,
ANS,4.312688314185888,ANTHRANSYN-CPLX,mg2(1)
AOBUTDs,65,,
AP4AH,27.813921960861514,EG10048-MONOMER,
AP4AS,74.14431855438717,LysII_RS_dim,lys__L(1)
AP5AH,27.813921960861514,EG10048-MONOMER,
APCS,47.91666725729871,SPERMIDINESYN-CPLX,
APG3PAT120,21.502203935767703,EG11674-MONOMER,
APG3PAT140,21.502203935767703,EG11674-MONOMER,
APG3PAT141,21.502203935767703,EG11674-MONOMER,
APG3PAT160,21.502203935767703,EG11674-MONOMER,
APG3PAT161,21.502203935767703,EG11674-MONOMER,
APG3PAT180,21.502203935767703,EG11674-MONOMER,
APG3PAT181,21.502203935767703,EG11674-MONOMER,
APH120,12.079379459400254,G6502-MONOMER,
APH140,12.079379459400254,G6502-MONOMER,
APH141,12.079379459400254,G6502-MONOMER,
APH160,12.079379459400254,G6502-MONOMER,
APH161,12.079379459400254,G6502-MONOMER,
APH180,12.079379459400254,G6502-MONOMER,
APH181,12.079379459400254,G6502-MONOMER,
APPLDHr,155.17173240071875,GLYCDEH-CPLX,
APRAUR,0.04098814393480249,CPLX0-7659,
ARAI,165.1779816149191,ARABISOM-CPLX,mn2(1)
ARBTNR1,65,CPLX_dummy,
ARBTNR2,65,CPLX_dummy,
ARBTNR3,65,CPLX_dummy,
ARBTNabcpp,124.86091081290355,ABC-11-CPLX,
ARBTNexs,65,,
ARBTNtex,65,CPLX_dummy,
ARBTNtonex,65,CPLX_dummy,
ARBTNtpp,65,CPLX_dummy,
ARBTptspp,139.72891217372268,CPLX-154,
ARBTtex,34.19401863135169,G6700-MONOMER,
ARBabcpp,117.7603342295506,ABC-2-CPLX,
ARBt2rpp,40.541621633520364,ARAE-MONOMER,
ARBt3ipp,35.0311724608553,YDEA-MONOMER,
ARBtex,34.19401863135169,G6700-MONOMER,
ARGAGMt7pp,63.33185526461121,CPLX0-7535,
ARGDC,329.2935000033879,ARGDECARBOXDEG-CPLX,pydx5p(1)
ARGDCpp,149.86012603668883,ARGDECARBOXBIO-CPLX,mg2(1) AND pydx5p(4)
ARGORNt7pp,39.247252790676264,ARCD-MONOMER,
ARGSL,1.398097204798362,ARGSUCCINLYA-MONOMER,
ARGSS,3000.0,CPLX0-238,mg2(1)
ARGabcpp,84.10942860708552,ABC-3-CPLX,
ARGt3pp,22.209440438508402,YGGA-MONOMER,
ARGtex,34.19401863135169,G6700-MONOMER,
ASAD,56.25870053040857,ASP-SEMIALDEHYDE-DEHYDROGENASE-CPLX,
ASCBPL,128.34014499529792,CPLX0-7848,mn2(1)
ASCBptspp,138.40648053194778,EIISGA,
ASCBtex,34.19401863135169,G6700-MONOMER,
ASNN,53.176183128171765,ANSA-CPLX,
ASNNpp,88.9472371801186,ANSB-CPLX,
ASNS1,78.75040318029748,ASNSYNB-CPLX,mg2(1)
ASNS2,1.4741837054282958,ASNSYNA-CPLX,mg2(1)
ASNabcpp,65,CPLX_dummy,
ASNt2rpp,42.02921115744968,ANSP-MONOMER,
ASNtex,34.19401863135169,G6700-MONOMER,
ASO3t8pp,61.95535912681156,CPLX-7,
ASO3tex,34.19401863135169,G6700-MONOMER,
ASP1DC,15.07091313310692,MONOMER0-1842,
ASPCT,155.03980948310053,ASPCARBTRANS-CPLX,zn2(1)
ASPK,65.01091986793371,ASPKINIII-CPLX,
ASPO3,45.51833453928741,L-ASPARTATE-OXID-MONOMER,fad(1)
ASPO4,45.51833453928741,L-ASPARTATE-OXID-MONOMER,fad(1)
ASPO5,45.51833453928741,L-ASPARTATE-OXID-MONOMER,fad(1)
ASPO6,45.51833453928741,L-ASPARTATE-OXID-MONOMER,fad(1)
ASPT,115.7448361242834,ASPARTASE-CPLX,mg2(1)
ASPTA,59.96962499384186,ASPAMINOTRANS-DIMER,pydx5p(1)
ASPabcpp,72.62979674726823,ABC-13-CPLX,
ASPt2_2pp,36.803567049100316,DCTA-MONOMER,
ASPt2_3pp,36.99202877379554,DCUA-MONOMER,
ASPt2pp,37.84381545005166,GLTP-MONOMER,
ASPt2rpp,65,CPLX_dummy,
ASPtex,34.19401863135169,G6700-MONOMER,
ASR,33.55924344878746,GRXB-MONOMER_EG12237-MONOMER,
AST,32.46813710387382,ARGSUCCTRAN-MONOMER,
ATHRDHr,70.90878316307881,CPLX0-1962,
ATPHs,65,,
ATPPRT,0.4736510851160625,CPLX0-7614,
ATPS4rpp,232.1843881127397,ATPSYN-CPLX,mg2(1)
BALAt2pp,40.52465006172475,CYCA-MONOMER,
BALAtex,34.19401863135169,G6700-MONOMER,
BETALDHx,116.66765326642113,BADH-CPLX,
BETALDHy,116.66765326642113,BADH-CPLX,
BMOCOS,0.01,EG10153-MONOMER,
BMOGDS1,21.08967249108987,EG11829-MONOMER,mg2(1)
BMOGDS2,21.08967249108987,EG11829-MONOMER,mg2(1)
BPNT,0.6853856237746989,EG10043-MONOMER,mg2(1)
BSORx,59.30373369541167,EG10124-MONOMER,bmocogdp(1)
BSORy,59.30373369541167,EG10124-MONOMER,bmocogdp(1)
BTNt2ipp,65,CPLX_dummy,
BTNtex,34.19401863135169,G6700-MONOMER,
BUTCT,62.92986079469866,ACETOACETYL-COA-TRANSFER-CPLX,
BUTSO3abcpp,90.34053330979451,ABC-64-CPLX,
BUTSO3tex,34.19401863135169,G6700-MONOMER,
BUTt2rpp,38.065525818758914,EG11671-MONOMER,
BUTtex,34.19401863135169,G6700-MONOMER,
CA2t3pp,32.91860365478804,CHAA-MONOMER,
CA2tex,34.19401863135169,G6700-MONOMER,
CADVtpp,37.54716991418661,CADB-MONOMER,
CAT,223.98137837182082,HYDROPEROXIDII-CPLX,hemed(6)
CAt6pp,30.08579615323755,YRBG-MONOMER,
CBIAT,21.351061140130387,COBALADENOSYLTRANS-MONOMER,
CBItonex,83.87525949926273,CPLX0-1924,
CBIuabcpp,91.66963975136899,ABC-5-CPLX,
CBL1abcpp,0.01,ABC-5-CPLX,
CBL1tonex,83.87525949926273,CPLX0-1924,
CBLAT,0.01,COBALADENOSYLTRANS-MONOMER,
CBMD,65,,
CBMKr,29.555337069139583,G6188-MONOMER,
CBPS,158.54592308429494,CARBPSYN-CPLX,cobalt2(1)
CCGS,0.01,G6245-MONOMER,
CD2abcpp,54.57650805762166,YHHO-MONOMER,
CD2t3pp,30.042103873817194,B0752-MONOMER,
CD2tex,34.19401863135169,G6700-MONOMER,
CD2tpp,24.54324461325089,EG11167-MONOMER,
CDAPPA120,25.901779896323745,CDPDIGLYPYPHOSPHA-MONOMER,
CDAPPA140,25.901779896323745,CDPDIGLYPYPHOSPHA-MONOMER,
CDAPPA141,25.901779896323745,CDPDIGLYPYPHOSPHA-MONOMER,
CDAPPA160,25.901779896323745,CDPDIGLYPYPHOSPHA-MONOMER,
CDAPPA161,25.901779896323745,CDPDIGLYPYPHOSPHA-MONOMER,
CDAPPA180,25.901779896323745,CDPDIGLYPYPHOSPHA-MONOMER,
CDAPPA181,25.901779896323745,CDPDIGLYPYPHOSPHA-MONOMER,
CDGR,0.01,QueF_dim,
CDGS,65,CPLX_dummy,
CDPMEK,0.01,CPLX0-3841,mg2(1)
CFAS160E,60.31600256999451,CFA-CPLX,hco3(1)
CFAS160G,60.31600256999451,CFA-CPLX,hco3(1)
CFAS180E,60.31600256999451,CFA-CPLX,hco3(1)
CFAS180G,60.31600256999451,CFA-CPLX,hco3(1)
CGLYabcpp,113.29643853428684,ABC-8-CPLX,
CGLYtex,34.19401863135169,G6700-MONOMER,
CHLabcpp,98.16439560687897,ABC-40-CPLX,
CHLt2pp,41.23957888048175,YEAV-MONOMER,
CHLtex,34.19401863135169,G6700-MONOMER,
CHOLD,46.38638124369798,CHD-MONOMER,
CHORM,59.49287280501258,CHORISMUTPREPHENDEHYDRAT-CPLX,
CHORS,6.318760293562943,AROC-CPLX,fadh2(1)
CHRPL,18.960670728204523,CHORPYRLY-MONOMER,
CHTBSptspp,47.322209114209464,PTSI-MONOMER,
CHTBStex,34.19401863135169,G6700-MONOMER,
CINNDO,79.52364161049398,HCAMULTI-CPLX,
CITL,252.89263386601175,CITLY-CPLX,
CITt3pp,65,CPLX_dummy,
CITt7pp,41.364392642133225,B0612-MONOMER,
CITtex,34.19401863135169,G6700-MONOMER,
CLIPAabctex,101.33633471925427,ABC-53-CPLX,
CLPNH120pp,65,CPLX_dummy,
CLPNH140pp,65,CPLX_dummy,
CLPNH141pp,65,CPLX_dummy,
CLPNH160pp,65,CPLX_dummy,
CLPNH161pp,65,CPLX_dummy,
CLPNH180pp,65,CPLX_dummy,
CLPNH181pp,65,CPLX_dummy,
CLPNS120pp,38.129015436940946,G6406-MONOMER,
CLPNS140pp,38.129015436940946,G6406-MONOMER,
CLPNS141pp,38.129015436940946,G6406-MONOMER,
CLPNS160pp,38.129015436940946,G6406-MONOMER,
CLPNS161pp,38.129015436940946,G6406-MONOMER,
CLPNS180pp,38.129015436940946,G6406-MONOMER,
CLPNS181pp,38.129015436940946,G6406-MONOMER,
CLt3_2pp,39.75190232949498,YADQ-MONOMER,
CLtex,34.19401863135169,G6700-MONOMER,
CMPN,65,CPLX_dummy,
CMPtex,34.19401863135169,G6700-MONOMER,
CMtex,34.19401863135169,G6700-MONOMER,
CMtpp,115.80312528151872,TRANS-CPLX-201,
CO2tex,34.19401863135169,G6700-MONOMER,
CO2tpp,65,,
COBALT2abcpp,54.57650805762166,YHHO-MONOMER,
COBALT2t3pp,30.042103873817194,B0752-MONOMER,
COBALT2tex,34.19401863135169,G6700-MONOMER,
COBALT2tpp,24.54324461325089,EG11167-MONOMER,
COLIPAKpp,24.740804439424792,G7146-MONOMER,
COLIPAPabctex,101.33633471925427,ABC-53-CPLX,
COLIPAabcpp,80.46349695540525,CPLX0-7704,mg2(1)
COLIPAabctex,101.33633471925427,ABC-53-CPLX,
CPGNR1,65,CPLX_dummy,
CPGNR2,65,CPLX_dummy,
CPGNR3,65,CPLX_dummy,
CPGNUtex,65,CPLX_dummy,
CPGNUtpp,65,CPLX_dummy,
CPGNabcpp,124.86091081290355,ABC-11-CPLX,
CPGNexs,65,,
CPGNtonex,89.72604823004188,CPLX0-1923_EG10306-MONOMER,
CPH4S,15.02027036193946,G7431-MONOMER,
CPMPS,0.01,EG11595-MONOMER_EG11666-MONOMER,
CPPPGO,155.60967262390182,CPLX0-7808,mn2(1)
CPPPGO2,41.142856331780095,HEMN-MONOMER,4fe4s(1)
CRNBTCT,61.558740012364865,CARNDEHYDRA-CPLX,
CRNCAL2,44.51131423109999,CAIC-MONOMER,
CRNCAR,25.714600723583967,CARNRACE-MONOMER,
CRNCBCT,61.558740012364865,CARNDEHYDRA-CPLX,
CRNCDH,25.714600723583967,CARNRACE-MONOMER,
CRNDCAL2,44.51131423109999,CAIC-MONOMER,
CRNDabcpp,111.64922923957607,ABC-26-CPLX,
CRNDt2rpp,71.27676995912228,CPLX0-7642,
CRNDtex,34.19401863135169,G6700-MONOMER,
CRNabcpp,111.64922923957607,ABC-26-CPLX,
CRNt2rpp,71.27676995912228,CPLX0-7642,
CRNt7pp,98.90915550578868,CPLX0-7906,
CRNt8pp,98.90915550578868,CPLX0-7906,
CRNtex,34.19401863135169,G6700-MONOMER,
CS,493.212536,CITRATE-SI-SYNTHASE,
CSND,38.09377821841704,CYTDEAM-MONOMER,fe2(1) AND zn2(1)
CSNt2pp,35.71179444427871,CODB-MONOMER,
CSNtex,34.19401863135169,G6700-MONOMER,
CTBTCAL2,44.51131423109999,CAIC-MONOMER,
CTBTabcpp,111.64922923957607,ABC-26-CPLX,
CTBTt2rpp,71.27676995912228,CPLX0-7642,
CTECOAI6,94.24365723944095,FADB-CPLX,
CTECOAI7,94.24365723944095,FADB-CPLX,
CTECOAI8,94.24365723944095,FADB-CPLX,
CTPS2,6.812018257723042,CTPSYN-CPLX,mg2(1)
CU1Opp,43.365142911093244,EG12318-MONOMER,
CU1abcpp,60.35159508235751,G6260-MONOMER,
CU2abcpp,54.57650805762166,YHHO-MONOMER,
CU2tex,34.19401863135169,G6700-MONOMER,
CU2tpp,1530.58156643038,EG11167-MONOMER,
