TU_id	start	stop	tss	strand	rho_dependent	rnapol	replicon	genes
TU0_5003_from_RpoD_mono	4368639	4370694	4368639	+	True	RpoD_mono	NC_000913.2	b4142,b4143
TU0_5003_from_RPOH_MONOMER	4368639	4370694	4368639	+	True	RpoH_mono	NC_000913.2	b4142,b4143
TU0_13480_from_RpoD_mono	2066976	2068249	None	-	True	RpoD_mono	NC_000913.2	b1997
TU00368_from_RpoD_mono	3204446	3207509	3204446	+	True	RpoD_mono	NC_000913.2	b3062,b3061,b3063
TU0_1501_from_EG11355_MONOMER	1644412	1644761	1644412	+	True	FliA_mono	NC_000913.2	b1566
TU0_8689_from_RpoD_mono	1257961	1258292	1257961	+	True	RpoD_mono	NC_000913.2	b1205
TU0_1003_from_RPON_MONOMER	1823979	1830068	1830068	-	True	RpoN_mono	NC_000913.2	b1748,b1745,b1746,b1747
TU0_13884_from_RpoD_mono	3328604	3330757	None	-	True	RpoD_mono	NC_000913.2	b3184
TU783_from_RPON_MONOMER	4199928	4202668	4199928	+	True	RpoN_mono	NC_000913.2	b4004,b4003
TU0_13351_from_RpoD_mono	1702536	1702700	1702536	+	True	RpoD_mono	NC_000913.2	b4409
TU0_12878_from_RpoD_mono	303719	309343	309343	-	True	RpoD_mono	NC_000913.2	b0291,b0290,b0292
TU0_14683_with_TERM89_from_RpoD_mono	4636183	4637595	4636183	+	False	RpoD_mono	NC_000913.2	b4400
TU0_14475_from_RPOH_MONOMER	4633266	4636143	4633266	+	True	RpoH_mono	NC_000913.2	b4399,b4397,b4398
TU424_from_RPON_MONOMER	2833195	2836154	2836154	-	True	RpoN_mono	NC_000913.2	b2713
TU0_3423_from_RPOE_MONOMER	2751508	2751968	2751508	+	True	RpoE_mono	NC_000913.2	b2617
TU0_7681_from_RpoD_mono	1632334	1634627	1634627	-	True	RpoD_mono	NC_000913.2	b1547,b1548
TU00498_from_RpoD_mono	2057869	2057950	2057869	+	True	RpoD_mono	NC_000913.2	b1986
TU00243_with_TERM70_from_RpoD_mono	3913531	3920548	3920548	-	False	RpoD_mono	NC_000913.2	b3737,b3736,b3732,b3735,b3734,b3738,b3733,b3731,b3739
TU0_8343_from_RpoD_mono	3058872	3064302	None	+	True	RpoD_mono	NC_000913.2	b2918,b2920,b2919
TU0_5021_from_RpoD_mono	3239849	3242879	3242879	-	True	RpoD_mono	NC_000913.2	b3092
TU0_14388_with_TERM0_1036_from_RpoD_mono	3398027	3399151	3399151	-	False	RpoD_mono	NC_000913.2	b3251
TU0_6515_from_RpoD_mono	2714760	2715465	2714760	+	True	RpoD_mono	NC_000913.2	b2580
TU0_14122_from_RpoD_mono	4268237	4269037	4268237	+	True	RpoD_mono	NC_000913.2	b4056,b4057
TU0_14254_with_AROH_TERMINATOR_from_RpoD_mono	1786408	1787534	1786408	+	False	RpoD_mono	NC_000913.2	b1704
TU0_13147_from_RpoD_mono	1196090	1197460	None	-	True	RpoD_mono	NC_000913.2	b1138
TU0_13466_from_RpoD_mono	2033804	2034710	2033804	+	True	RpoD_mono	NC_000913.2	b1967
TU0_14576_from_RpoD_mono	656370	656724	656370	+	True	RpoD_mono	NC_000913.2	b0623
TU00160_with_TERM66_from_RpoD_mono	4364867	4366455	4366455	-	False	RpoD_mono	NC_000913.2	b4139
TU0_14052_from_RpoD_mono	4019968	4022359	None	+	True	RpoD_mono	NC_000913.2	b3838,b3839,b4483
TU00293_from_RpoD_mono	3806539	3808327	3806539	+	True	RpoD_mono	NC_000913.2	b3633,b3634
TU00023_with_TERM69_from_RpoD_mono	4376989	4380435	4380435	-	False	RpoD_mono	NC_000913.2	b4153,b4152,b4151,b4154
TU0_14137_from_RpoD_mono	4349866	4350380	None	+	True	RpoD_mono	NC_000913.2	b4127
TU0_3424_from_RPOE_MONOMER	4384070	4388661	4388661	-	True	RpoE_mono	NC_000913.2	b4160
TU0_13783_from_RpoD_mono	3022373	3026510	None	+	True	RpoD_mono	NC_000913.2	b2883,b4464
TU0_13843_from_RpoD_mono	3184164	3189718	None	+	True	RpoD_mono	NC_000913.2	b3045,b3044,b3047,b3048
TU0_12943_from_RpoD_mono	479314	480018	480018	-	True	RpoD_mono	NC_000913.2	b0461
TU0_12809_with_TERM0_1064_from_RpoD_mono	106508	107544	106508	+	False	RpoD_mono	NC_000913.2	b0096
TU0_14195_from_RpoD_mono	4531262	4532076	None	-	True	RpoD_mono	NC_000913.2	b4566
TU00369_from_RpoD_mono	4250466	4251911	4250466	+	True	RpoD_mono	NC_000913.2	b4040,b4039
TU0_14687_from_RpoD_mono	1724045	1725780	1724045	+	True	RpoD_mono	NC_000913.2	b1650,b1649
TU0_5041_from_RpoD_mono	4552481	4553372	4552481	+	True	RpoD_mono	NC_000913.2	b4324
TU0_13539_from_RpoD_mono	2239832	2241870	2241870	-	True	RpoD_mono	NC_000913.2	b2153
TU0_8344_from_RPON_MONOMER	2848649	2854438	2848649	+	True	RpoN_mono	NC_000913.2	b2731,b2729,b2726,b2727,b2728,b2730
TU441_from_RpoD_mono	1150797	1152403	1150797	+	True	RpoD_mono	NC_000913.2	b1095,b1094
TU0_1004_from_RPOS_MONOMER	1823979	1830063	1830063	-	True	RpoS_mono	NC_000913.2	b1748,b1745,b1746,b1747
TU00177_from_RpoD_mono	3532538	3534707	3534707	-	True	RpoD_mono	NC_000913.2	b3405
TU00499_from_RpoD_mono	2060276	2060359	2060276	+	True	RpoD_mono	NC_000913.2	b1989
TU0_14478_from_RPOH_MONOMER	3543480	3544221	3543480	+	True	RpoH_mono	NC_000913.2	b3414
TU0_12822_from_RPOS_MONOMER	177001	179183	179183	-	True	RpoS_mono	NC_000913.2	b0159,b0158
TU0_12822_from_RpoD_mono	177001	179183	179183	-	True	RpoD_mono	NC_000913.2	b0159,b0158
TU00090_from_RpoD_mono	3955935	3957468	3955935	+	True	RpoD_mono	NC_000913.2	b3774
TU0_1541_from_EG11355_MONOMER	4589656	4591335	4589656	+	True	FliA_mono	NC_000913.2	b4355
TU0_13648_from_RpoD_mono	2627814	2628887	None	+	True	RpoD_mono	NC_000913.2	b2506
TU00244_from_RpoD_mono	2160900	2163022	None	+	True	RpoD_mono	NC_000913.2	b2079
TU0_4782_with_TERM0322_from_RpoD_mono	2533632	2534402	2533632	+	False	RpoD_mono	NC_000913.2	b2417
TU0_13148_from_RpoD_mono	1198902	1200603	None	-	True	RpoD_mono	NC_000913.2	b1141
TU0_14389_with_TERM0_1036_from_RpoD_mono	3398027	3399215	3399215	-	False	RpoD_mono	NC_000913.2	b3251
TU00161_from_RpoD_mono	2257741	2261619	2261619	-	True	RpoD_mono	NC_000913.2	b2169,b2168
TU0_5042_from_RPOH_MONOMER	3244530	3245450	3244530	+	True	RpoH_mono	NC_000913.2	b3094
TU0_8471_from_RpoD_mono	1085329	1091746	1091746	-	True	RpoD_mono	NC_000913.2	b1024,b1022,b1023
TU0_13467_from_RpoD_mono	2034818	2036847	None	-	True	RpoD_mono	NC_000913.2	b1969
TU0_8691_from_RpoD_mono	1272983	1274401	1272983	+	True	RpoD_mono	NC_000913.2	b1220
TU0_7722_with_TERM0_1145_from_RPOS_MONOMER	1978120	1980466	1980466	-	False	RpoS_mono	NC_000913.2	b1896,b1897
TU00430_with_TERM0_1045_from_RPOH_MONOMER	4160160	4161318	4161318	-	False	RpoH_mono	NC_000913.2	b3965
TU0_8345_from_RpoD_mono	2848861	2854438	2848861	+	True	RpoD_mono	NC_000913.2	b2731,b2729,b2727,b2728,b2730
TU0_14255_with_RPLT_T2_from_RpoD_mono	1797387	1798451	1798451	-	False	RpoD_mono	NC_000913.2	b1716,b1717
TU00295_from_RpoD_mono	2962383	2964059	None	-	True	RpoD_mono	NC_000913.2	b2828
TU0_14688_with_TERM0_1087_from_RpoD_mono	849432	850232	849432	+	False	RpoD_mono	NC_000913.2	b0814
TU0_14606_from_RpoD_mono	106530	107474	106530	+	True	RpoD_mono	NC_000913.2	b0096
TU0_13600_from_RpoD_mono	2464537	2465724	2464537	+	True	RpoD_mono	NC_000913.2	b2349
TU0_14138_from_RpoD_mono	4350607	4351104	None	+	True	RpoD_mono	NC_000913.2	b4559
TU0_13784_from_RpoD_mono	3026546	3028953	None	-	True	RpoD_mono	NC_000913.2	b2887
TU442_from_RpoD_mono	1148951	1151074	None	+	True	RpoD_mono	NC_000913.2	b1093,b1094
TU0_12944_from_RpoD_mono	485716	489122	485716	+	True	RpoD_mono	NC_000913.2	b0465
TU0_4783_from_RpoD_mono	4457923	4460861	4460861	-	True	RpoD_mono	NC_000913.2	b4238
TU0_1341_with_TERM0_1067_from_RpoD_mono	3057752	3058702	3057752	+	False	RpoD_mono	NC_000913.2	b2916
TU0_1281_with_TERM3_from_RpoD_mono	709385	710052	710052	-	False	RpoD_mono	NC_000913.2	b4637,b0683
TU0_1281_with_TERM73_from_RpoD_mono	709341	710052	710052	-	False	RpoD_mono	NC_000913.2	b4637,b0683
TU0_3426_from_RPOE_MONOMER	395777	398190	395777	+	True	RpoE_mono	NC_000913.2	b0377,b0378
TU00370_from_RpoD_mono	2139658	2140972	None	-	True	RpoD_mono	NC_000913.2	b2066
TU0_1544_from_EG11355_MONOMER	1128637	1129388	1129388	-	True	FliA_mono	NC_000913.2	b1071
TU00178_from_RpoD_mono	148	5020	148	+	True	RpoD_mono	NC_000913.2	b0001,b0003,b0004,b0002
TU00500_from_RpoD_mono	2464330	2464405	2464330	+	True	RpoD_mono	NC_000913.2	b2348
TU0_13844_from_RpoD_mono	3190230	3192547	None	+	True	RpoD_mono	NC_000913.2	b3051
TU00091_with_TERM0881_from_RpoD_mono	3551046	3553842	3551046	+	False	RpoD_mono	NC_000913.2	b3418
TU0_5061_from_RpoD_mono	4212182	4213232	4212182	+	True	RpoD_mono	NC_000913.2	b4013
TU0_1021_from_RpoD_mono	191812	192580	191812	+	True	RpoD_mono	NC_000913.2	b0171
TU0_14479_from_RPOH_MONOMER	3527132	3528674	3527132	+	True	RpoH_mono	NC_000913.2	b3400,b3401
TU358_from_RpoD_mono	770507	773404	770507	+	True	RpoD_mono	NC_000913.2	b0734,b0733
TU0_12823_from_RpoD_mono	179196	180754	179196	+	True	RpoD_mono	NC_000913.2	b0160
TU0_8532_from_RpoD_mono	1671914	1672971	1671914	+	True	RpoD_mono	NC_000913.2	b1601
TU00245_from_RpoD_mono	4330204	4331973	None	-	True	RpoD_mono	NC_000913.2	b4113
TU0_8346_from_RpoD_mono	3497932	3502805	None	+	True	RpoD_mono	NC_000913.2	b4474,b3371,b3375,b3374
TU0_13998_from_RpoD_mono	3783258	3787083	3783258	+	True	RpoD_mono	NC_000913.2	b3613,b3614,b3612
TU0_4786_with_TERM0322_from_RpoD_mono	2533502	2534402	2533502	+	False	RpoD_mono	NC_000913.2	b2417
TU0_14390_with_TERM0_1036_from_RpoD_mono	3398027	3399378	3399378	-	False	RpoD_mono	NC_000913.2	b3251
TU0_3463_from_RPOH_MONOMER	1920337	1921409	1921409	-	True	RpoH_mono	NC_000913.2	b4433,b4432
TU0_13353_from_RpoD_mono	1712351	1713006	1712351	+	True	RpoD_mono	NC_000913.2	b1635
TU0_8472_from_RpoD_mono	2947178	2948595	2947178	+	True	RpoD_mono	NC_000913.2	b2818
TU0_14689_from_RpoD_mono	3053781	3054811	3053781	+	True	RpoD_mono	NC_000913.2	b2912,b2911
TU0_14689_from_RPOS_MONOMER	3053781	3054811	3053781	+	True	RpoS_mono	NC_000913.2	b2912,b2911
TU0_1545_from_EG11355_MONOMER	1137574	1140209	1137574	+	True	FliA_mono	NC_000913.2	b1083,b1082
TU0_13009_from_RpoD_mono	663325	668295	668295	-	True	RpoD_mono	NC_000913.2	b0635,b0637,b0634,b0636
TU00431_with_TERM54_from_RpoD_mono	3638006	3638614	3638006	+	False	RpoD_mono	NC_000913.2	b3495
TU443_from_RpoD_mono	1149893	1151074	None	+	True	RpoD_mono	NC_000913.2	b1094
TU00297_with_TERM0141_from_RpoD_mono	1108501	1112783	1108501	+	False	RpoD_mono	NC_000913.2	b1049,b1048
TU00025_from_RPOS_MONOMER	787020	791304	791304	-	True	RpoS_mono	NC_000913.2	b0758,b0757,b0759
TU00025_from_RpoD_mono	787020	791304	791304	-	True	RpoD_mono	NC_000913.2	b0758,b0757,b0759
TU00179_from_RpoD_mono	78848	83735	83735	-	True	RpoD_mono	NC_000913.2	b0075,b0073,b0072,b0074
TU00501_from_RpoD_mono	3108387	3108463	3108387	+	True	RpoD_mono	NC_000913.2	b2967
TU0_13079_from_RpoD_mono	936592	938560	None	+	True	RpoD_mono	NC_000913.2	b0891,b0892
TU0_12945_from_RpoD_mono	489334	490036	None	-	True	RpoD_mono	NC_000913.2	b0467
TU0_12810_from_RpoD_mono	111649	113219	None	-	True	RpoD_mono	NC_000913.2	b0102,b0103
TU0_14257_from_RpoD_mono	1793277	1800757	1800757	-	True	RpoD_mono	NC_000913.2	b1713,b1717,b1714,b1716,b1715,b1718,b1719
TU0_13483_from_RpoD_mono	2072803	2076158	None	+	True	RpoD_mono	NC_000913.2	b2005,b2003,b2004,b2002,b2006
TU00371_from_RpoD_mono	3845328	3848749	None	-	True	RpoD_mono	NC_000913.2	b3669,b3668
TU0_14608_from_RpoD_mono	131564	134212	131564	+	True	RpoD_mono	NC_000913.2	b0118
TU0_13601_from_RpoD_mono	2465877	2468484	None	+	True	RpoD_mono	NC_000913.2	b2351,b2352
TU0_4802_from_RpoD_mono	3900312	3904720	3904720	-	True	RpoD_mono	NC_000913.2	b3722,b3723
TU0_4802_with_TERM0563_from_RpoD_mono	3900272	3904720	3904720	-	False	RpoD_mono	NC_000913.2	b3721,b3722,b3723
TU0_8347_from_RpoD_mono	4347338	4349708	4349708	-	True	RpoD_mono	NC_000913.2	b4125
TU0_1022_from_RpoD_mono	2798678	2802483	2798678	+	True	RpoD_mono	NC_000913.2	b2675,b2673,b2674,b2676
TU788_from_RPOS_MONOMER	4105497	4106537	4105497	+	True	RpoS_mono	NC_000913.2	b3916
TU788_from_RpoD_mono	4105497	4106537	4105497	+	True	RpoD_mono	NC_000913.2	b3916
TU00163_from_RpoD_mono	608682	611890	611890	-	True	RpoD_mono	NC_000913.2	b0584
TU0_14484_from_RPOH_MONOMER	2763928	2765013	2763928	+	True	RpoH_mono	NC_000913.2	b2630
TU0_5081_from_RpoD_mono	1689610	1694176	1694176	-	True	RpoD_mono	NC_000913.2	b1617,b1616
TU0_13845_from_RpoD_mono	3192743	3192887	3192887	-	True	RpoD_mono	NC_000913.2	b4447,b4664
TU0_8693_from_RpoD_mono	1386898	1387919	1386898	+	True	RpoD_mono	NC_000913.2	b1325
TU00246_from_RpoD_mono	1790833	1793176	None	-	True	RpoD_mono	NC_000913.2	b1711,b1710
TU0_14691_from_RpoD_mono	2356064	2360233	None	-	True	RpoD_mono	NC_000913.2	b2247,b2248,b2246
TU0_13303_from_RpoD_mono	1609990	1611275	None	-	True	RpoD_mono	NC_000913.2	b1524
TU461_from_RpoD_mono	1236732	1239172	1236732	+	True	RpoD_mono	NC_000913.2	b1189,b1190
TU0_8473_from_RpoD_mono	1710695	1712295	1710695	+	True	RpoD_mono	NC_000913.2	b1634
TU0_3465_from_RPOE_MONOMER	4110892	4111744	4110892	+	True	RpoE_mono	NC_000913.2	b3923,b3922
TU0_13469_from_RpoD_mono	2037502	2039142	None	+	True	RpoD_mono	NC_000913.2	b1972
TU0_8677_from_RpoD_mono	1017682	1018160	1017682	+	True	RpoD_mono	NC_000913.2	b0956
TU0_13010_from_RpoD_mono	668519	674006	None	-	True	RpoD_mono	NC_000913.2	b0640,b0642,b0641,b0639
TU00180_from_RpoD_mono	1229961	1231677	1229961	+	True	RpoD_mono	NC_000913.2	b1183,b1184
TU00502_from_RpoD_mono	3213619	3213695	3213619	+	True	RpoD_mono	NC_000913.2	b3069
TU00432_with_TERM54_from_RpoD_mono	3638021	3638614	3638021	+	False	RpoD_mono	NC_000913.2	b3495
TU0_13080_from_RpoD_mono	938588	939943	938588	+	True	RpoD_mono	NC_000913.2	b0893
TU0_8349_from_RPOH_MONOMER	919317	921516	919317	+	True	RpoH_mono	NC_000913.2	b0879
TU0_14055_from_RpoD_mono	4024466	4025251	4024466	+	True	RpoD_mono	NC_000913.2	b3844
TU00298_from_RpoD_mono	2371670	2378665	None	-	True	RpoD_mono	NC_000913.2	b2263,b2265,b2262,b2264,b2261
TU0_12881_from_RpoD_mono	311598	312029	312029	-	True	RpoD_mono	NC_000913.2	b0296
TU00026_from_RpoD_mono	787020	791309	791309	-	True	RpoD_mono	NC_000913.2	b0758,b0757,b0759
TU0_14140_from_RpoD_mono	4360756	4363065	None	-	True	RpoD_mono	NC_000913.2	b4136
TU0_8761_from_RPON_MONOMER	3372605	3374258	3372605	+	True	RpoN_mono	NC_000913.2	b3227
TU0_13710_from_RpoD_mono	2795233	2796066	None	+	True	RpoD_mono	NC_000913.2	b2668
TU361_from_RpoD_mono	960388	962891	960388	+	True	RpoD_mono	NC_000913.2	b0911,b0910
TU0_13151_from_RpoD_mono	1202247	1207768	None	+	True	RpoD_mono	NC_000913.2	b4693,b4692,b1154,b1150,b1151,b1147,b1148,b1153,b1152,b1155
TU0_13411_from_RpoD_mono	1881212	1883813	None	+	True	RpoD_mono	NC_000913.2	b1802
TU0_12811_from_RpoD_mono	114522	117705	117705	-	True	RpoD_mono	NC_000913.2	b0107,b0108
TU0_13484_from_RpoD_mono	2076599	2076955	None	+	True	RpoD_mono	NC_000913.2	b4538
TU0_1547_from_EG11355_MONOMER	1964417	1970740	1970740	-	True	FliA_mono	NC_000913.2	b1883,b1886,b1882,b1884,b1885
TU0_8839_from_RpoD_mono	1403676	1403833	None	-	True	RpoD_mono	NC_000913.2	b4426
TU0_4823_from_RPOS_MONOMER	2788934	2793675	2788934	+	True	RpoS_mono	NC_000913.2	b2662,b2663,b2661
TU0_1041_with_TERM0241_from_RpoD_mono	4103808	4104402	4103808	+	False	RpoD_mono	NC_000913.2	b4484
TU0_14692_with_TERM0_1093_from_RPOS_MONOMER	3908466	3909591	3909591	-	False	RpoS_mono	NC_000913.2	b3728
TU0_14692_with_TERM0_1093_from_RpoD_mono	3908466	3909591	3909591	-	False	RpoD_mono	NC_000913.2	b3728
TU0_14486_from_RpoD_mono	4033379	4038659	4033379	+	True	RpoD_mono	NC_000913.2	b3855,b3854,b3851,b3853,b3852
TU0_14609_from_RpoD_mono	194901	195664	194901	+	True	RpoD_mono	NC_000913.2	b0174
TU0_13602_from_RpoD_mono	2468825	2469127	None	+	True	RpoD_mono	NC_000913.2	b2353
TU00247_from_RpoD_mono	34781	42037	42037	-	True	RpoD_mono	NC_000913.2	b0039,b0038,b0040,b0036,b0037
TU0_8350_from_RPOH_MONOMER	919560	921516	919560	+	True	RpoH_mono	NC_000913.2	b0879
TU462_from_RpoD_mono	1236761	1239172	1236761	+	True	RpoD_mono	NC_000913.2	b1189,b1190
TU0_13168_from_RpoD_mono	1222688	1223130	None	+	True	RpoD_mono	NC_000913.2	b4521
TU0_14393_from_RpoD_mono	179214	180754	179214	+	True	RpoD_mono	NC_000913.2	b0160
TU00503_from_RpoD_mono	3980387	3980834	3980387	+	True	RpoD_mono	NC_000913.2	b3796,b3797,b3799,b3798
TU00181_from_RpoD_mono	931551	932312	931551	+	True	RpoD_mono	NC_000913.2	b0889
TU0_14199_from_RpoD_mono	4556377	4558703	None	-	True	RpoD_mono	NC_000913.2	b4330,b4329
TU0_8474_with_RPSOT1_from_RpoD_mono	3309394	3309808	3309808	-	False	RpoD_mono	NC_000913.2	b3165
TU00094_from_RpoD_mono	4402687	4404008	4402687	+	True	RpoD_mono	NC_000913.2	b4177
TU0_13011_from_RpoD_mono	675934	678065	None	+	True	RpoD_mono	NC_000913.2	b0646
TU00433_with_TERM54_from_RpoD_mono	3638023	3638614	3638023	+	False	RpoD_mono	NC_000913.2	b3495
TU0_4881_from_RpoD_mono	3573744	3576772	3576772	-	True	RpoD_mono	NC_000913.2	b3437,b3438
TU0_4881_with_TERM0382_from_RpoD_mono	3573711	3576772	3576772	-	False	RpoD_mono	NC_000913.2	b3437,b3438,b4476
TU0_3484_from_RPOE_MONOMER	2547668	2549265	2549265	-	True	RpoE_mono	NC_000913.2	b2432
TU362_from_RPOS_MONOMER	738203	740148	738203	+	True	RpoS_mono	NC_000913.2	b0708,b0707
TU0_14056_from_RpoD_mono	4029170	4033176	4029170	+	True	RpoD_mono	NC_000913.2	b3849,b3847,b3850,b3848
TU0_13152_from_RpoD_mono	1207740	1208878	None	-	True	RpoD_mono	NC_000913.2	b1157
TU00299_from_RpoD_mono	1223502	1225303	None	-	True	RpoD_mono	NC_000913.2	b1175,b1176
TU0_14_from_RpoD_mono	3644135	3645674	3644135	+	True	RpoD_mono	NC_000913.2	b3500
TU00027_from_RpoD_mono	4051892	4056245	4056245	-	True	RpoD_mono	NC_000913.2	b3869,b3870
TU0_14141_from_RpoD_mono	4370784	4371185	4370784	+	True	RpoD_mono	NC_000913.2	b4144
TU00165_from_RpoD_mono	618607	621457	621457	-	True	RpoD_mono	NC_000913.2	b0589,b0590
TU0_13711_from_RpoD_mono	2798143	2798497	2798143	+	True	RpoD_mono	NC_000913.2	b2672
TU0_12947_from_RpoD_mono	490534	491187	490534	+	True	RpoD_mono	NC_000913.2	b0469
TU0_5121_from_RPOE_MONOMER	3468167	3471707	3471707	-	True	RpoE_mono	NC_000913.2	b3340
TU00373_from_RpoD_mono	436385	440597	440597	-	True	RpoD_mono	NC_000913.2	b0420,b0422,b0421
TU0_12882_from_RpoD_mono	314506	315677	None	+	True	RpoD_mono	NC_000913.2	b0298,b0299
TU0_14693_with_TERM0_1094_from_RPOS_MONOMER	3906518	3909591	3909591	-	False	RpoS_mono	NC_000913.2	b3728,b3727,b3726
TU0_14693_with_TERM0_1094_from_RpoD_mono	3906518	3909591	3909591	-	False	RpoD_mono	NC_000913.2	b3728,b3727,b3726
TU0_6557_from_RpoD_mono	2904665	2907739	2907739	-	True	RpoD_mono	NC_000913.2	b2780
TU790_from_RPOH_MONOMER	1664548	1666615	1666615	-	True	RpoH_mono	NC_000913.2	b1594
TU790_from_RpoD_mono	1664548	1666615	1666615	-	True	RpoD_mono	NC_000913.2	b1594
TU0_1061_from_RpoD_mono	4040414	4042067	4040414	+	True	RpoD_mono	NC_000913.2	b3859,b3860
TU0_13242_from_RpoD_mono	1441075	1444230	None	+	True	RpoD_mono	NC_000913.2	b1382,b1383
TU0_14487_from_RpoD_mono	4205994	4211182	4205994	+	True	RpoD_mono	NC_000913.2	b4007,b4009,b4010,b4008
TU482_with_TERM161_from_RpoD_mono	3267981	3272956	3272956	-	False	RpoD_mono	NC_000913.2	b3125,b3124,b3127,b3123,b3126
TU0_4901_from_RPOS_MONOMER	3656265	3656916	3656265	+	True	RpoS_mono	NC_000913.2	b3512
TU0_13169_from_RpoD_mono	1226832	1227230	1226832	+	True	RpoD_mono	NC_000913.2	b1179
TU0_12827_from_RpoD_mono	185123	189506	None	-	True	RpoD_mono	NC_000913.2	b0168,b0167
TU0_3501_from_RpoD_mono	3382624	3383195	3382624	+	True	RpoD_mono	NC_000913.2	b3237
TU00504_from_RpoD_mono	4173404	4175151	4173404	+	True	RpoD_mono	NC_000913.2	b3979,b3977,b3980,b3976,b3978
TU00182_from_RpoD_mono	3352531	3359962	3352531	+	True	RpoD_mono	NC_000913.2	b3212,b3214,b3213
TU0_14262_from_RpoD_mono	3924035	3925054	3925054	-	True	RpoD_mono	NC_000913.2	b3743
TU00248_from_RpoD_mono	1814410	1819750	1819750	-	True	RpoD_mono	NC_000913.2	b1734,b1737,b1738,b1736,b1735
TU0_13603_from_RpoD_mono	2469099	2471268	None	-	True	RpoD_mono	NC_000913.2	b2355,b2356,b2357
TU00095_from_RPOS_MONOMER	4412270	4413923	4412270	+	True	RpoS_mono	NC_000913.2	b4187
TU00095_from_RpoD_mono	4412270	4413923	4412270	+	True	RpoD_mono	NC_000913.2	b4187
TU0_5162_from_RpoD_mono	4417950	4422409	4417950	+	True	RpoD_mono	NC_000913.2	b4197,b4196,b4194,b4193,b4198,b4195
TU0_14394_with_TERM0_1039_from_RpoD_mono	21833	27279	21833	+	False	RpoD_mono	NC_000913.2	b0029,b0026,b0028,b0027
