Modified_enzyme	Core_enzyme	Modifications	Source
ANGLYC3PDEHYDROG-CPLX_mod_fmn(1)	ANGLYC3PDEHYDROG-CPLX	fmn(1)	M_protein_recon
GLUTAMATESYN-CPLX_mod_fe2(1)_mod_fad(1)	GLUTAMATESYN-CPLX	fe2(1) AND fad(1)	M_protein_recon
FORMHYDROGI-CPLX_mod_ni2(1)_mod_4fe4s(1)	FORMHYDROGI-CPLX	ni2(1) AND 4fe4s(1)	M_protein_recon
FORMHYDROG2-CPLX_mod_ni2(1)_mod_fe2(1)	FORMHYDROG2-CPLX	ni2(1) AND fe2(1)	M_protein_recon
NADH-DHI-CPLX_mod_2fe2s(1)_mod_4fe4s(1)_mod_fmn(1)	NADH-DHI-CPLX	2fe2s(1) AND 4fe4s(1) AND fmn(1)	M_protein_recon
NITRITREDUCT-CPLX_mod_2fe2s(1)_mod_fad(1)_mod_sheme(1)	NITRITREDUCT-CPLX	2fe2s(1) AND fad(1) AND sheme(1)	M_protein_recon
PYRUVATEDEH-CPLX_mod_mg2(1)_mod_fad(1)_mod_thmpp(1)_mod_lipoyl(1)	PYRUVATEDEH-CPLX	mg2(1) AND fad(1) AND thmpp(1) AND lipoyl(1)	M_protein_recon
Phe_RS_tetra_mod_mg2(1)	Phe_RS_tetra	mg2(1)	M_protein_recon
SUCC-DEHASE_mod_3fe4s(1)_mod_fad(1)_mod_2fe2s(1)_mod_4fe4s(1)	SUCC-DEHASE	3fe4s(1) AND fad(1) AND 2fe2s(1) AND 4fe4s(1)	M_protein_recon
LTARTDEHYDRA-CPLX_mod_4fe4s(1)	LTARTDEHYDRA-CPLX	4fe4s(1)	M_protein_recon
TMAOREDUCTI-CPLX_mod_bmocogdp(1)	TMAOREDUCTI-CPLX	bmocogdp(1)	M_protein_recon
TRYPSYN_mod_pydx5p(1)	TRYPSYN	pydx5p(1)	M_protein_recon
CPLX0-1762_mod_fad(1)_mod_2fe2s(1)	CPLX0-1762	fad(1) AND 2fe2s(1)	M_protein_recon
AAS-MONOMER_mod_mg2(1)	AAS-MONOMER	mg2(1)	M_protein_recon
CPLX0-1_mod_fad(1)	CPLX0-1	fad(1)	M_protein_recon
RIBONUCLEOSIDE-DIP-REDUCTI-CPLX_mod_mg2(1)_mod_fe2(1)	RIBONUCLEOSIDE-DIP-REDUCTI-CPLX	mg2(1) AND fe2(1)	M_protein_recon
CPLX0-301_mod_mn2(1)	CPLX0-301	mn2(1)	M_protein_recon
PHOSGLYCMUTASE_mod_23bpg(1)	PHOSGLYCMUTASE	23bpg(1)	M_protein_recon
PPPGPPHYDRO-CPLX_mod_nh4(1)_mod_mg2(1)	PPPGPPHYDRO-CPLX	nh4(1) AND mg2(1)	M_protein_recon
CPLX0-7630_mod_ca2(1)	CPLX0-7630	ca2(1)	M_protein_recon
ALPHA-AMYL-PERI-MONOMER_mod_ca2(1)	ALPHA-AMYL-PERI-MONOMER	ca2(1)	M_protein_recon
G6437-MONOMER_mod_ca2(1)_mod_pqq(1)	G6437-MONOMER	ca2(1) AND pqq(1)	M_protein_recon
GLYCPDIESTER-PERI-CPLX_mod_ca2(1)	GLYCPDIESTER-PERI-CPLX	ca2(1)	M_protein_recon
DIACYLGLYKIN-CPLX_mod_cd2(1)_mod_zn2(1)_mod_mg2(1)_mod_mn2(1)_mod_cobalt2(1)	DIACYLGLYKIN-CPLX	cd2(1) AND zn2(1) AND mg2(1) AND mn2(1) AND cobalt2(1)	M_protein_recon
AROB-MONOMER_mod_cobalt2(1)_mod_nad(1)	AROB-MONOMER	cobalt2(1) AND nad(1)	M_protein_recon
EG11817-MONOMER_mod_cobalt2(1)	EG11817-MONOMER	cobalt2(1)	M_protein_recon
EG11957-MONOMER_mod_cobalt2(1)	EG11957-MONOMER	cobalt2(1)	M_protein_recon
CPLX0-7625_mod_cobalt2(1)	CPLX0-7625	cobalt2(1)	M_protein_recon
CPLX0-7622_mod_4fe4s(1)	CPLX0-7622	4fe4s(1)	M_protein_recon
LSERINEDEAM1-MONOMER_mod_4fe4s(1)	LSERINEDEAM1-MONOMER	4fe4s(1)	M_protein_recon
LSERINEDEAM2-MONOMER_mod_4fe4s(1)	LSERINEDEAM2-MONOMER	4fe4s(1)	M_protein_recon
G6886-MONOMER_mod_cu2(1)	G6886-MONOMER	cu2(1)	M_protein_recon
METHYLENETHFREDUCT-CPLX_mod_fad(1)	METHYLENETHFREDUCT-CPLX	fad(1)	M_protein_recon
UDHA-CPLX_mod_fad(1)	UDHA-CPLX	fad(1)	M_protein_recon
ADHE-CPLX_mod_fe2(1)	ADHE-CPLX	fe2(1)	M_protein_recon
AROF-CPLX_mod_fe2(2)	AROF-CPLX	fe2(2)	M_protein_recon
AROG-CPLX_mod_fe2(1)	AROG-CPLX	fe2(1)	M_protein_recon
GALACTARDEHYDRA-MONOMER_mod_fe2(1)	GALACTARDEHYDRA-MONOMER	fe2(1)	M_protein_recon
GALACTURIDYLYLTRANS-CPLX_mod_fe2(1)_mod_zn2(1)	GALACTURIDYLYLTRANS-CPLX	fe2(1) AND zn2(1)	M_protein_recon
CPLX0-227_mod_fe2(1)	CPLX0-227	fe2(1)	M_protein_recon
LACTALDREDUCT-CPLX_mod_fe2(1)	LACTALDREDUCT-CPLX	fe2(1)	M_protein_recon
SUPEROX-DISMUTFE-CPLX_mod_fe3(1)	SUPEROX-DISMUTFE-CPLX	fe3(1)	M_protein_recon
AROC-CPLX_mod_fmnh2(1)	AROC-CPLX	fmnh2(1)	M_protein_recon
AROC-CPLX_mod_fadh2(1)	AROC-CPLX	fadh2(1)	M_protein_recon
CFA-CPLX_mod_hco3(1)	CFA-CPLX	hco3(1)	M_protein_recon
CPLX0-7882_mod_hco3(1)	CPLX0-7882	hco3(1)	M_protein_recon
RHAMNULPALDOL-CPLX_mod_k(1)_mod_zn2(1)	RHAMNULPALDOL-CPLX	k(1) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_k(4)_mod_mg2(1)	S-ADENMETSYN-CPLX	k(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_k(4)_mod_mn2(1)	S-ADENMETSYN-CPLX	k(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_k(4)_mod_cobalt2(1)	S-ADENMETSYN-CPLX	k(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_k(4)_mod_zn2(1)	S-ADENMETSYN-CPLX	k(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_k(4)_mod_cd2(1)	S-ADENMETSYN-CPLX	k(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_k(4)_mod_ni2(1)	S-ADENMETSYN-CPLX	k(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_k(4)_mod_ca2(1)	S-ADENMETSYN-CPLX	k(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_nh4(4)_mod_mg2(1)	S-ADENMETSYN-CPLX	nh4(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_nh4(4)_mod_mn2(1)	S-ADENMETSYN-CPLX	nh4(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_nh4(4)_mod_cobalt2(1)	S-ADENMETSYN-CPLX	nh4(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_nh4(4)_mod_zn2(1)	S-ADENMETSYN-CPLX	nh4(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_nh4(4)_mod_cd2(1)	S-ADENMETSYN-CPLX	nh4(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_nh4(4)_mod_ni2(1)	S-ADENMETSYN-CPLX	nh4(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_nh4(4)_mod_ca2(1)	S-ADENMETSYN-CPLX	nh4(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_tl(4)_mod_mg2(1)	S-ADENMETSYN-CPLX	tl(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_tl(4)_mod_mn2(1)	S-ADENMETSYN-CPLX	tl(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_tl(4)_mod_cobalt2(1)	S-ADENMETSYN-CPLX	tl(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_tl(4)_mod_zn2(1)	S-ADENMETSYN-CPLX	tl(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_tl(4)_mod_cd2(1)	S-ADENMETSYN-CPLX	tl(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_tl(4)_mod_ni2(1)	S-ADENMETSYN-CPLX	tl(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_tl(4)_mod_ca2(1)	S-ADENMETSYN-CPLX	tl(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_cs(4)_mod_mg2(1)	S-ADENMETSYN-CPLX	cs(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_cs(4)_mod_mn2(1)	S-ADENMETSYN-CPLX	cs(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_cs(4)_mod_cobalt2(1)	S-ADENMETSYN-CPLX	cs(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_cs(4)_mod_zn2(1)	S-ADENMETSYN-CPLX	cs(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_cs(4)_mod_cd2(1)	S-ADENMETSYN-CPLX	cs(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_cs(4)_mod_ni2(1)	S-ADENMETSYN-CPLX	cs(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_cs(4)_mod_ca2(1)	S-ADENMETSYN-CPLX	cs(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_LI(4)_mod_mg2(1)	S-ADENMETSYN-CPLX	LI(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_LI(4)_mod_mn2(1)	S-ADENMETSYN-CPLX	LI(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_LI(4)_mod_cobalt2(1)	S-ADENMETSYN-CPLX	LI(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_LI(4)_mod_zn2(1)	S-ADENMETSYN-CPLX	LI(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_LI(4)_mod_cd2(1)	S-ADENMETSYN-CPLX	LI(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_LI(4)_mod_ni2(1)	S-ADENMETSYN-CPLX	LI(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_LI(4)_mod_ca2(1)	S-ADENMETSYN-CPLX	LI(4) AND ca2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_na1(4)_mod_mg2(1)	S-ADENMETSYN-CPLX	na1(4) AND mg2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_na1(4)_mod_mn2(1)	S-ADENMETSYN-CPLX	na1(4) AND mn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_na1(4)_mod_cobalt2(1)	S-ADENMETSYN-CPLX	na1(4) AND cobalt2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_na1(4)_mod_zn2(1)	S-ADENMETSYN-CPLX	na1(4) AND zn2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_na1(4)_mod_cd2(1)	S-ADENMETSYN-CPLX	na1(4) AND cd2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_na1(4)_mod_ni2(1)	S-ADENMETSYN-CPLX	na1(4) AND ni2(1)	M_protein_recon
S-ADENMETSYN-CPLX_mod_na1(4)_mod_ca2(1)	S-ADENMETSYN-CPLX	na1(4) AND ca2(1)	M_protein_recon
PKI-COMPLEX_mod_mg2(1)_mod_k(1)	PKI-COMPLEX	mg2(1) AND k(1)	M_protein_recon
PKI-COMPLEX_mod_mn2(1)_mod_k(1)	PKI-COMPLEX	mn2(1) AND k(1)	M_protein_recon
PKII-CPLX_mod_mg2(1)_mod_k(1)	PKII-CPLX	mg2(1) AND k(1)	M_protein_recon
PKII-CPLX_mod_mn2(1)_mod_k(1)	PKII-CPLX	mn2(1) AND k(1)	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2(1)_mod_k(1)	PANTOATE-BETA-ALANINE-LIG-CPLX	mg2(1) AND k(1)	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mg2(1)_mod_nh4(1)	PANTOATE-BETA-ALANINE-LIG-CPLX	mg2(1) AND nh4(1)	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2(1)_mod_k(1)	PANTOATE-BETA-ALANINE-LIG-CPLX	mn2(1) AND k(1)	M_protein_recon
PANTOATE-BETA-ALANINE-LIG-CPLX_mod_mn2(1)_mod_nh4(1)	PANTOATE-BETA-ALANINE-LIG-CPLX	mn2(1) AND nh4(1)	M_protein_recon
HOMOSERKIN-CPLX_mod_k(1)_mod_mg2(1)	HOMOSERKIN-CPLX	k(1) AND mg2(1)	M_protein_recon
AIRS-CPLX_mod_k(1)_mod_mg2(1)	AIRS-CPLX	k(1) AND mg2(1)	M_protein_recon
CPLX0-322_mod_k(1)_mod_mg2(1)	CPLX0-322	k(1) AND mg2(1)	M_protein_recon
CPLX0-7647_mod_k(1)_mod_mg2(1)	CPLX0-7647	k(1) AND mg2(1)	M_protein_recon
UDP-NACMURALA-GLU-LIG-MONOMER_mod_k(1)_mod_mg2(1)	UDP-NACMURALA-GLU-LIG-MONOMER	k(1) AND mg2(1)	M_protein_recon
G6986-MONOMER_mod_k(1)_mod_mg2(1)	G6986-MONOMER	k(1) AND mg2(1)	M_protein_recon
NADH-DHII-MONOMER_mod_mg2(1)_mod_cu(1)_mod_fad(1)	NADH-DHII-MONOMER	mg2(1) AND cu(1) AND fad(1)	M_protein_recon
ARGDECARBOXBIO-CPLX_mod_mg2(1)_mod_pydx5p(4)	ARGDECARBOXBIO-CPLX	mg2(1) AND pydx5p(4)	M_protein_recon
PYRUVOXID-CPLX_mod_mg2(1)_mod_thmpp(1)_mod_fad(1)	PYRUVOXID-CPLX	mg2(1) AND thmpp(1) AND fad(1)	M_protein_recon
PEPCARBOXYKIN-MONOMER_mod_mg2(1)	PEPCARBOXYKIN-MONOMER	mg2(1)	M_protein_recon
PEPCARBOXYKIN-MONOMER_mod_ca2(1)	PEPCARBOXYKIN-MONOMER	ca2(1)	M_protein_recon
PEPCARBOXYKIN-MONOMER_mod_mn2(1)	PEPCARBOXYKIN-MONOMER	mn2(1)	M_protein_recon
HEMEOSYN-MONOMER_mod_mg2(1)	HEMEOSYN-MONOMER	mg2(1)	M_protein_recon
HEMEOSYN-MONOMER_mod_ca2(1)	HEMEOSYN-MONOMER	ca2(1)	M_protein_recon
GLY3KIN-MONOMER_mod_mg2(1)	GLY3KIN-MONOMER	mg2(1)	M_protein_recon
GLY3KIN-MONOMER_mod_cobalt2(1)	GLY3KIN-MONOMER	cobalt2(1)	M_protein_recon
GLY3KIN-MONOMER_mod_mn2(1)	GLY3KIN-MONOMER	mn2(1)	M_protein_recon
GLY3KIN-MONOMER_mod_fe2(1)	GLY3KIN-MONOMER	fe2(1)	M_protein_recon
GLY3KIN-MONOMER_mod_ca2(1)	GLY3KIN-MONOMER	ca2(1)	M_protein_recon
PD04413_mod_mg2(1)	PD04413	mg2(1)	M_protein_recon
PD04413_mod_mn2(1)	PD04413	mn2(1)	M_protein_recon
PD04413_mod_ca2(1)	PD04413	ca2(1)	M_protein_recon
PD04413_mod_zn2(1)	PD04413	zn2(1)	M_protein_recon
PD04413_mod_cu2(1)	PD04413	cu2(1)	M_protein_recon
PD04413_mod_cd2(1)	PD04413	cd2(1)	M_protein_recon
PD04413_mod_cobalt2(1)	PD04413	cobalt2(1)	M_protein_recon
PD04413_mod_ni2(1)	PD04413	ni2(1)	M_protein_recon
NUCLEOSIDE-DIP-KIN-CPLX_mod_mg2(1)	NUCLEOSIDE-DIP-KIN-CPLX	mg2(1)	M_protein_recon
NUCLEOSIDE-DIP-KIN-CPLX_mod_mn2(1)	NUCLEOSIDE-DIP-KIN-CPLX	mn2(1)	M_protein_recon
NUCLEOSIDE-DIP-KIN-CPLX_mod_ca2(1)	NUCLEOSIDE-DIP-KIN-CPLX	ca2(1)	M_protein_recon
FOLXTET-CPLX_mod_mg2(1)	FOLXTET-CPLX	mg2(1)	M_protein_recon
FOLXTET-CPLX_mod_mn2(1)	FOLXTET-CPLX	mn2(1)	M_protein_recon
FOLXTET-CPLX_mod_ca2(1)	FOLXTET-CPLX	ca2(1)	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_mg2(1)	ADENYLYLSULFKIN-CPLX	mg2(1)	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_mn2(1)	ADENYLYLSULFKIN-CPLX	mn2(1)	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_cobalt2(1)	ADENYLYLSULFKIN-CPLX	cobalt2(1)	M_protein_recon
ADENYLYLSULFKIN-CPLX_mod_cd2(1)	ADENYLYLSULFKIN-CPLX	cd2(1)	M_protein_recon
ASPARTASE-CPLX_mod_mg2(1)	ASPARTASE-CPLX	mg2(1)	M_protein_recon
ASPARTASE-CPLX_mod_mn2(1)	ASPARTASE-CPLX	mn2(1)	M_protein_recon
ASPARTASE-CPLX_mod_cobalt2(1)	ASPARTASE-CPLX	cobalt2(1)	M_protein_recon
CPLX0-7712_mod_mg2(1)	CPLX0-7712	mg2(1)	M_protein_recon
CPLX0-7712_mod_mn2(1)	CPLX0-7712	mn2(1)	M_protein_recon
NAD-SYNTH-CPLX_mod_mg2(1)	NAD-SYNTH-CPLX	mg2(1)	M_protein_recon
NAD-SYNTH-CPLX_mod_mn2(1)	NAD-SYNTH-CPLX	mn2(1)	M_protein_recon
ADENPRIBOSYLTRAN-CPLX_mod_mg2(1)	ADENPRIBOSYLTRAN-CPLX	mg2(1)	M_protein_recon
ADENPRIBOSYLTRAN-CPLX_mod_mn2(1)	ADENPRIBOSYLTRAN-CPLX	mn2(1)	M_protein_recon
GLYCEROL-KIN-CPLX_mod_mg2(1)	GLYCEROL-KIN-CPLX	mg2(1)	M_protein_recon
GLYCEROL-KIN-CPLX_mod_mn2(1)	GLYCEROL-KIN-CPLX	mn2(1)	M_protein_recon
HOLO-ACP-SYNTH-CPLX_mod_mg2(1)	HOLO-ACP-SYNTH-CPLX	mg2(1)	M_protein_recon
HOLO-ACP-SYNTH-CPLX_mod_mn2(1)	HOLO-ACP-SYNTH-CPLX	mn2(1)	M_protein_recon
ISOCIT-LYASE_mod_mg2(1)	ISOCIT-LYASE	mg2(1)	M_protein_recon
ISOCIT-LYASE_mod_mn2(1)	ISOCIT-LYASE	mn2(1)	M_protein_recon
FPPSYN-MONOMER_mod_mg2(1)	FPPSYN-MONOMER	mg2(1)	M_protein_recon
FPPSYN-MONOMER_mod_mn2(1)	FPPSYN-MONOMER	mn2(1)	M_protein_recon
G6954-MONOMER_mod_mg2(1)	G6954-MONOMER	mg2(1)	M_protein_recon
G6954-MONOMER_mod_mn2(1)	G6954-MONOMER	mn2(1)	M_protein_recon
EG11829-MONOMER_mod_mg2(1)	EG11829-MONOMER	mg2(1)	M_protein_recon
EG11829-MONOMER_mod_mn2(1)	EG11829-MONOMER	mn2(1)	M_protein_recon
IMIDHISTID-CPLX_mod_mg2(1)	IMIDHISTID-CPLX	mg2(1)	M_protein_recon
AROK-MONOMER_mod_mg2(1)	AROK-MONOMER	mg2(1)	M_protein_recon
AROK-MONOMER_mod_mn2(1)	AROK-MONOMER	mn2(1)	M_protein_recon
AROK-MONOMER_mod_cobalt2(1)	AROK-MONOMER	cobalt2(1)	M_protein_recon
AROK-MONOMER_mod_fe2(1)	AROK-MONOMER	fe2(1)	M_protein_recon
AROK-MONOMER_mod_ca2(1)	AROK-MONOMER	ca2(1)	M_protein_recon
AROK-MONOMER_mod_k(1)	AROK-MONOMER	k(1)	M_protein_recon
AROL-MONOMER_mod_mg2(1)	AROL-MONOMER	mg2(1)	M_protein_recon
AROL-MONOMER_mod_mn2(1)	AROL-MONOMER	mn2(1)	M_protein_recon
AROL-MONOMER_mod_cobalt2(1)	AROL-MONOMER	cobalt2(1)	M_protein_recon
AROL-MONOMER_mod_fe2(1)	AROL-MONOMER	fe2(1)	M_protein_recon
AROL-MONOMER_mod_ca2(1)	AROL-MONOMER	ca2(1)	M_protein_recon
AROL-MONOMER_mod_k(1)	AROL-MONOMER	k(1)	M_protein_recon
6PFK-2-CPX_mod_mg2(1)	6PFK-2-CPX	mg2(1)	M_protein_recon
CPLX0-1622_mod_mg2(1)	CPLX0-1622	mg2(1)	M_protein_recon
ACETATEKINA-MONOMER_mod_mg2(1)	ACETATEKINA-MONOMER	mg2(1)	M_protein_recon
GLUCARDEHYDRA-MONOMER_mod_mg2(1)	GLUCARDEHYDRA-MONOMER	mg2(1)	M_protein_recon
GMP-SYN-CPLX_mod_mg2(1)	GMP-SYN-CPLX	mg2(1)	M_protein_recon
1-PFK_mod_mg2(1)	1-PFK	mg2(1)	M_protein_recon
3-METHYL-2-OXOBUT-OHCH3XFER-CPLX_mod_mg2(1)	3-METHYL-2-OXOBUT-OHCH3XFER-CPLX	mg2(1)	M_protein_recon
ACETYLGLUTKIN-CPLX_mod_mg2(1)	ACETYLGLUTKIN-CPLX	mg2(1)	M_protein_recon
ACYLCOASYN-CPLX_mod_mg2(1)	ACYLCOASYN-CPLX	mg2(1)	M_protein_recon
ADENYLOSUCCINATE-SYN-DIMER_mod_mg2(1)	ADENYLOSUCCINATE-SYN-DIMER	mg2(1)	M_protein_recon
APHA-CPLX_mod_mg2(1)	APHA-CPLX	mg2(1)	M_protein_recon
ASNSYNA-CPLX_mod_mg2(1)	ASNSYNA-CPLX	mg2(1)	M_protein_recon
ASNSYNB-CPLX_mod_mg2(1)	ASNSYNB-CPLX	mg2(1)	M_protein_recon
COADTRI-CPLX_mod_mg2(1)	COADTRI-CPLX	mg2(1)	M_protein_recon
CPLX0-1021_mod_mg2(1)	CPLX0-1021	mg2(1)	M_protein_recon
CPLX0-1221_mod_mg2(1)	CPLX0-1221	mg2(1)	M_protein_recon
GTP-CYCLOHYDRO-II-CPLX_mod_mg2(1)	GTP-CYCLOHYDRO-II-CPLX	mg2(1)	M_protein_recon
Trp_RS_dim_mod_mg2(1)	Trp_RS_dim	mg2(1)	M_protein_recon
UDP-NACMUR-ALA-LIG-MONOMER_mod_mg2(1)	UDP-NACMUR-ALA-LIG-MONOMER	mg2(1)	M_protein_recon
EG11736-MONOMER_mod_mg2(1)	EG11736-MONOMER	mg2(1)	M_protein_recon
THI-P-KIN-MONOMER_mod_mg2(1)	THI-P-KIN-MONOMER	mg2(1)	M_protein_recon
PGPPHOSPHAA-MONOMER_mod_mg2(1)	PGPPHOSPHAA-MONOMER	mg2(1)	M_protein_recon
ADENYL-KIN-MONOMER_mod_mg2(1)	ADENYL-KIN-MONOMER	mg2(1)	M_protein_recon
ENTC-MONOMER_mod_mg2(1)	ENTC-MONOMER	mg2(1)	M_protein_recon
NICONUCADENYLYLTRAN-MONOMER_mod_mg2(1)	NICONUCADENYLYLTRAN-MONOMER	mg2(1)	M_protein_recon
PHOSPHOGLUCMUT-MONOMER_mod_mg2(1)	PHOSPHOGLUCMUT-MONOMER	mg2(1)	M_protein_recon
GALACTOKIN-MONOMER_mod_mg2(1)	GALACTOKIN-MONOMER	mg2(1)	M_protein_recon
EG11239-MONOMER_mod_mg2(1)	EG11239-MONOMER	mg2(1)	M_protein_recon
G6425-MONOMER_mod_mg2(1)	G6425-MONOMER	mg2(1)	M_protein_recon
TETRAACYLDISACC4KIN-MONOMER_mod_mg2(1)	TETRAACYLDISACC4KIN-MONOMER	mg2(1)	M_protein_recon
CPM-KDOSYNTH-MONOMER_mod_mg2(1)	CPM-KDOSYNTH-MONOMER	mg2(1)	M_protein_recon
DTMPKI-MONOMER_mod_mg2(1)	DTMPKI-MONOMER	mg2(1)	M_protein_recon
THIKIN-MONOMER_mod_mg2(1)	THIKIN-MONOMER	mg2(1)	M_protein_recon
