Transcription-Units	Direction	Genes of transcription unit
TU1W2W-815	+	EWS79_RS06925
TU1W2W-739	-	EWS79_RS06295 // EWS79_RS06290 // EWS79_RS06285
TU1W2W-717	+	EWS79_RS06140
TU1W2W-449	+	EWS79_RS03875
TU1W2W-1181	+	EWS79_RS03750
TU1W2W-532	+	EWS79_RS04595
TU1W2W-1194	+	EWS79_RS03250
TU1W2W-336	+	EWS79_RS02900
TU1W2W-1016	-	EWS79_RS08590
TU1W2W-71	+	EWS79_RS00565
TU1W2W-1020	-	EWS79_RS08620
TU1W2W-322	+	EWS79_RS02725 // EWS79_RS02720
TU1W2W-283	+	EWS79_RS02365
TU1W2W-599	-	EWS79_RS05210
TU1W2W-531	+	EWS79_RS04590 // EWS79_RS04585 // EWS79_RS04580
TU1W2W-242	+	EWS79_RS01950
TU1W2W-736	+	EWS79_RS06270
TU1W2W-1081	+	EWS79_RS08355
TU1W2W-606	-	EWS79_RS05280
TU1W2W-751	-	EWS79_RS06410
TU1W2W-129	+	EWS79_RS01040
TU1W2W-830	-	EWS79_RS07050 // EWS79_RS07045
TU1W2W-437	-	EWS79_RS03780
TU1W2W-773	-	EWS79_RS06595
TU1W2W-64	-	EWS79_RS00530 // EWS79_RS00525
TU1W2W-957	+	EWS79_RS07990
TU1W2W-1240	+	EWS79_RS00865
TU1W2W-241	+	EWS79_RS01945
TU1W2W-403	+	EWS79_RS03450
TU1W2W-731	-	EWS79_RS06245
TU1W2W-715	-	EWS79_RS06130
TU1W2W-335	-	EWS79_RS02895 // EWS79_RS02890
TU1W2W-1250	+	EWS79_RS00400
TU1W2W-587	-	EWS79_RS05100
TU1W2W-787	+	EWS79_RS06710
TU1W2W-206	-	EWS79_RS01595
TU1W2W-178	+	EWS79_RS01400 // EWS79_RS01395
TU1W2W-730	-	EWS79_RS06240
TU1W2W-479	+	EWS79_RS04075
TU1W2W-158	-	EWS79_RS01255
TU1W2W-887	-	EWS79_RS07495
TU1W2W-18	-	EWS79_RS00175
TU1W2W-936	-	EWS79_RS07860
TU1W2W-373	-	EWS79_RS03175
TU1W2W-545	+	EWS79_RS04695
TU1W2W-1162	+	EWS79_RS04365
TU1W2W-1106	-	EWS79_RS07335
TU1W2W-106	+	EWS79_RS00835
TU1W2W-86	+	EWS79_RS00655
TU1W2W-245	-	EWS79_RS01975
TU1W2W-22	-	EWS79_RS00235
TU1W2W-683	+	EWS79_RS05900 // EWS79_RS05895
TU1W2W-609	+	EWS79_RS05295
TU1W2W-1069	-	EWS79_RS08825
TU1W2W-82	+	EWS79_RS00635 // EWS79_RS00630
TU1W2W-611	+	EWS79_RS05310
TU1W2W-516	+	EWS79_RS04455
TU1W2W-955	-	EWS79_RS07980
TU1W2W-997	-	EWS79_RS08405 // EWS79_RS08400
TU1W2W-827	+	EWS79_RS07025
TU1W2W-901	-	EWS79_RS07610 // EWS79_RS07605
TU1W2W-927	-	EWS79_RS07790 // EWS79_RS07785
TU1W2W-744	-	EWS79_RS06330
TU1W2W-820	-	EWS79_RS06970 // EWS79_RS06965
TU1W2W-774	-	EWS79_RS06600
TU1W2W-620	-	EWS79_RS05395
TU1W2W-846	+	EWS79_RS07150
TU1W2W-1038	+	EWS79_RS08775
TU1W2W-240	+	EWS79_RS01935
TU1W2W-1174	-	EWS79_RS04100
TU1W2W-941	-	EWS79_RS07885
TU1W2W-847	-	EWS79_RS07155
TU1W2W-316	-	EWS79_RS02655
TU1W2W-654	+	EWS79_RS05620
TU1W2W-1108	-	EWS79_RS07235
TU1W2W-445	-	EWS79_RS03830
TU1W2W-779	+	EWS79_RS06640
TU1W2W-58	+	EWS79_RS00490
TU1W2W-344	+	EWS79_RS02950 // EWS79_RS02945
TU1W2W-1030	-	EWS79_RS08710 // EWS79_RS08705
TU1W2W-128	+	EWS79_RS01035 // EWS79_RS01030 // EWS79_RS01025 // EWS79_RS01020
TU1W2W-884	+	EWS79_RS07480
TU1W2W-1123	+	EWS79_RS06400
TU1W2W-1235	-	EWS79_RS00995
TU1W2W-605	-	EWS79_RS05275
TU1W2W-1124	-	EWS79_RS06340
TU1W2W-1160	-	EWS79_RS04410
TU1W2W-1095	-	EWS79_RS07835
TU1W2W-94	-	EWS79_RS00725
TU1W2W-1004	+	EWS79_RS08485 // EWS79_RS08480
TU1W2W-969	-	EWS79_RS08120 // EWS79_RS08115 // EWS79_RS08110 // EWS79_RS08105 // EWS79_RS08100 // EWS79_RS08095 // EWS79_RS08090
TU1W2W-221	+	EWS79_RS01745
TU1W2W-1009	-	EWS79_RS08510
TU1W2W-1214	+	EWS79_RS02095
TU1W2W-1221	-	EWS79_RS01575
TU1W2W-416	-	EWS79_RS03550
TU1W2W-1179	+	EWS79_RS03760
TU1W2W-544	+	EWS79_RS04690
TU1W2W-1099	+	EWS79_RS07615
TU1W2W-691	+	EWS79_RS05975
TU1W2W-421	+	EWS79_RS03595 // EWS79_RS03590
TU1W2W-646	-	EWS79_RS05550
TU1W2W-915	-	EWS79_RS07710
TU1W2W-570	+	EWS79_RS04960
TU1W2W-1034	+	EWS79_RS08735 // EWS79_RS08730
TU1W2W-1111	-	EWS79_RS06955
TU1W2W-1247	+	EWS79_RS00705
TU1W2W-363	-	EWS79_RS03085
TU1W2W-733	-	EWS79_RS06255
TU1W2W-1237	+	EWS79_RS00920
TU1W2W-253	+	EWS79_RS02065
TU1W2W-151	-	EWS79_RS01185
TU1W2W-1188	-	EWS79_RS03410
TU1W2W-439	-	EWS79_RS03795
TU1W2W-756	-	EWS79_RS06475
TU1W2W-673	-	EWS79_RS05815
TU1W2W-399	-	EWS79_RS03380 // EWS79_RS03375
TU1W2W-1014	-	EWS79_RS08565 // EWS79_RS08560 // EWS79_RS08555
TU1W2W-60	+	EWS79_RS00500
TU1W2W-108	+	EWS79_RS00845
TU1W2W-1001	-	EWS79_RS08450 // EWS79_RS08445 // EWS79_RS08440 // EWS79_RS08435
TU1W2W-1119	+	EWS79_RS06440
TU1W2W-638	+	EWS79_RS05510
TU1W2W-169	-	EWS79_RS01335
TU1W2W-988	-	EWS79_RS08330 // EWS79_RS08325
TU1W2W-353	+	EWS79_RS03030
TU1W2W-188	+	EWS79_RS01455
TU1W2W-43	-	EWS79_RS00375
TU1W2W-334	-	EWS79_RS02885
TU1W2W-551	+	EWS79_RS04760 // EWS79_RS04755
TU1W2W-1252	+	EWS79_RS00225
TU1W2W-1026	+	EWS79_RS08650
TU1W2W-285	+	EWS79_RS02380 // EWS79_RS02375
TU1W2W-1222	+	EWS79_RS01570
TU1W2W-295	+	EWS79_RS02485
TU1W2W-79	-	EWS79_RS00615
TU1W2W-898	-	EWS79_RS07585
TU1W2W-301	+	EWS79_RS02520
TU1W2W-272	+	EWS79_RS02230
TU1W2W-1205	+	EWS79_RS02475
TU1W2W-917	-	EWS79_RS07720
TU1W2W-864	+	EWS79_RS07325 // EWS79_RS07320
TU1W2W-595	-	EWS79_RS05185 // EWS79_RS05180
TU1W2W-1146	-	EWS79_RS05230
TU1W2W-114	-	EWS79_RS00905
TU1W2W-400	+	EWS79_RS03390 // EWS79_RS03385
TU1W2W-859	-	EWS79_RS07280 // EWS79_RS07275 // EWS79_RS07270 // EWS79_RS07265
TU1W2W-10	-	EWS79_RS00115
TU1W2W-451	-	EWS79_RS03900 // EWS79_RS03895
TU1W2W-701	-	EWS79_RS06035
TU1W2W-217	+	EWS79_RS01715
TU1W2W-565	-	EWS79_RS04910 // EWS79_RS04905 // EWS79_RS04900
TU1W2W-1077	+	EWS79_RS08550
TU1W2W-700	-	EWS79_RS06030
TU1W2W-862	-	EWS79_RS07310
TU1W2W-8	+	EWS79_RS00095 // EWS79_RS00090
TU1W2W-1251	+	EWS79_RS00245
TU1W2W-879	+	EWS79_RS07430
TU1W2W-892	+	EWS79_RS07540 // EWS79_RS07535
TU1W2W-553	-	EWS79_RS04770
TU1W2W-237	+	EWS79_RS01910 // EWS79_RS01905 // EWS79_RS01900 // EWS79_RS01895
TU1W2W-383	-	EWS79_RS03260 // EWS79_RS03255
TU1W2W-173	+	EWS79_RS01360
TU1W2W-475	-	EWS79_RS04050
TU1W2W-29	+	EWS79_RS00275
TU1W2W-468	+	EWS79_RS04010
TU1W2W-481	+	EWS79_RS04090
TU1W2W-911	-	EWS79_RS07690
TU1W2W-266	+	EWS79_RS02185 // EWS79_RS02180
TU1W2W-491	+	EWS79_RS04210
TU1W2W-738	-	EWS79_RS06280
TU1W2W-41	-	EWS79_RS00365
TU1W2W-102	-	EWS79_RS00805
TU1W2W-226	+	EWS79_RS01785
TU1W2W-530	+	EWS79_RS04575
TU1W2W-608	-	EWS79_RS05290
TU1W2W-863	+	EWS79_RS07315
TU1W2W-590	-	EWS79_RS05125 // EWS79_RS05120 // EWS79_RS05115
TU1W2W-381	+	EWS79_RS03235
TU1W2W-168	+	EWS79_RS01330 // EWS79_RS01325
TU1W2W-312	+	EWS79_RS02630
TU1W2W-727	-	EWS79_RS06225 // EWS79_RS06220
TU1W2W-627	+	EWS79_RS05435
TU1W2W-446	+	EWS79_RS03835
TU1W2W-1234	+	EWS79_RS01000
TU1W2W-659	+	EWS79_RS05690 // EWS79_RS05685
TU1W2W-949	-	EWS79_RS07950
TU1W2W-367	-	EWS79_RS03130 // EWS79_RS03125 // EWS79_RS03120 // EWS79_RS03115
TU1W2W-472	-	EWS79_RS04035 // EWS79_RS04030
TU1W2W-35	-	EWS79_RS00315
TU1W2W-712	-	EWS79_RS06115
TU1W2W-720	-	EWS79_RS06170
TU1W2W-758	+	EWS79_RS06485
TU1W2W-27	-	EWS79_RS00265
TU1W2W-918	-	EWS79_RS07730 // EWS79_RS07725
TU1W2W-1100	+	EWS79_RS07600
TU1W2W-743	-	EWS79_RS06325
TU1W2W-1039	+	EWS79_RS08820 // EWS79_RS08815 // EWS79_RS08810 // EWS79_RS08805 // EWS79_RS08800 // EWS79_RS08795 // EWS79_RS08790 // EWS79_RS08785 // EWS79_RS08780
TU1W2W-23	-	EWS79_RS00240
TU1W2W-536	-	EWS79_RS04625
TU1W2W-346	+	EWS79_RS02975 // EWS79_RS02970 // EWS79_RS02965
TU1W2W-1138	+	EWS79_RS05710
TU1W2W-680	-	EWS79_RS05875 // EWS79_RS05870
TU1W2W-1216	-	EWS79_RS01995
TU1W2W-125	-	EWS79_RS01005
TU1W2W-171	-	EWS79_RS01350
TU1W2W-1170	-	EWS79_RS04165
TU1W2W-1178	+	EWS79_RS03890
TU1W2W-40	-	EWS79_RS00360
TU1W2W-20	-	EWS79_RS00220 // EWS79_RS00215
TU1W2W-945	-	EWS79_RS07915 // EWS79_RS07910
TU1W2W-921	-	EWS79_RS07750
TU1W2W-288	-	EWS79_RS02410
TU1W2W-1090	-	EWS79_RS08025
TU1W2W-1186	-	EWS79_RS03420
TU1W2W-829	-	EWS79_RS07040
TU1W2W-1079	+	EWS79_RS08465
TU1W2W-342	+	EWS79_RS02935 // EWS79_RS02930
TU1W2W-429	+	EWS79_RS03705 // EWS79_RS03700 // EWS79_RS03695 // EWS79_RS03690 // EWS79_RS03685 // EWS79_RS03680 // EWS79_RS03675 // EWS79_RS03670 // EWS79_RS03665 // EWS79_RS03660 // EWS79_RS03655 // EWS79_RS03650 // EWS79_RS03645 // EWS79_RS03640
TU1W2W-726	+	EWS79_RS06215
TU1W2W-348	-	EWS79_RS02985
TU1W2W-59	+	EWS79_RS00495
TU1W2W-550	+	EWS79_RS04750 // EWS79_RS04745 // EWS79_RS04740 // EWS79_RS04735 // EWS79_RS04730
TU1W2W-980	-	EWS79_RS08245
TU1W2W-203	+	EWS79_RS01580
TU1W2W-963	+	EWS79_RS08050 // EWS79_RS08045
TU1W2W-21	-	EWS79_RS00230
TU1W2W-951	+	EWS79_RS07960
TU1W2W-207	+	EWS79_RS01600
TU1W2W-524	-	EWS79_RS04530 // EWS79_RS04525 // EWS79_RS04520 // EWS79_RS04515
TU1W2W-923	-	EWS79_RS07765
TU1W2W-427	+	EWS79_RS03630
TU1W2W-385	+	EWS79_RS03280
TU1W2W-72	+	EWS79_RS00570
TU1W2W-157	-	EWS79_RS01250
TU1W2W-14	+	EWS79_RS00135
TU1W2W-598	-	EWS79_RS05205
TU1W2W-725	+	EWS79_RS06210
TU1W2W-778	-	EWS79_RS06635 // EWS79_RS06630
TU1W2W-502	+	EWS79_RS04325 // EWS79_RS04320 // EWS79_RS04315 // EWS79_RS04310 // EWS79_RS04305
TU1W2W-689	-	EWS79_RS05965 // EWS79_RS05960
TU1W2W-318	-	EWS79_RS02670 // EWS79_RS02665
TU1W2W-486	-	EWS79_RS04145 // EWS79_RS04140 // EWS79_RS04135
TU1W2W-407	+	EWS79_RS03485 // EWS79_RS03480
TU1W2W-1103	+	EWS79_RS07350
TU1W2W-1073	-	EWS79_RS08695
TU1W2W-677	+	EWS79_RS05845
TU1W2W-251	-	EWS79_RS02055 // EWS79_RS02050
TU1W2W-410	+	EWS79_RS03505 // EWS79_RS03500
TU1W2W-1037	+	EWS79_RS08770
TU1W2W-580	+	EWS79_RS05055 // EWS79_RS05050
TU1W2W-1202	-	EWS79_RS02770
TU1W2W-149	+	EWS79_RS01175
TU1W2W-952	+	EWS79_RS07965
TU1W2W-387	+	EWS79_RS03290
TU1W2W-388	+	EWS79_RS03295
TU1W2W-239	+	EWS79_RS01930 // EWS79_RS01925
TU1W2W-707	+	EWS79_RS06070
TU1W2W-492	+	EWS79_RS04220 // EWS79_RS04215
TU1W2W-134	+	EWS79_RS01075
TU1W2W-67	+	EWS79_RS00545
TU1W2W-1082	+	EWS79_RS08320
TU1W2W-62	-	EWS79_RS00515 // EWS79_RS00510
TU1W2W-323	+	EWS79_RS02730
TU1W2W-810	-	EWS79_RS06880 // EWS79_RS06875 // EWS79_RS06870
TU1W2W-855	-	EWS79_RS07215
TU1W2W-690	-	EWS79_RS05970
TU1W2W-624	-	EWS79_RS05420
TU1W2W-153	+	EWS79_RS01225 // EWS79_RS01220 // EWS79_RS01215
TU1W2W-227	-	EWS79_RS01795 // EWS79_RS01790
TU1W2W-614	-	EWS79_RS05345
TU1W2W-976	+	EWS79_RS08225
TU1W2W-444	-	EWS79_RS03825
TU1W2W-419	-	EWS79_RS03570
TU1W2W-768	+	EWS79_RS06565
TU1W2W-91	-	EWS79_RS00695
TU1W2W-1153	+	EWS79_RS04715
TU1W2W-56	+	EWS79_RS00480
TU1W2W-656	+	EWS79_RS05650
TU1W2W-99	+	EWS79_RS00780
TU1W2W-1086	-	EWS79_RS08160
TU1W2W-1070	+	EWS79_RS08745
TU1W2W-1172	+	EWS79_RS04130
TU1W2W-500	+	EWS79_RS04295 // EWS79_RS04290
TU1W2W-113	-	EWS79_RS00900
TU1W2W-430	+	EWS79_RS03710
TU1W2W-806	-	EWS79_RS06845
TU1W2W-632	-	EWS79_RS05470
TU1W2W-232	-	EWS79_RS01855
TU1W2W-254	+	EWS79_RS02070
TU1W2W-1058	+	EWS79_RS08980
TU1W2W-1218	-	EWS79_RS01915
TU1W2W-721	-	EWS79_RS06180 // EWS79_RS06175
TU1W2W-49	+	EWS79_RS00420
TU1W2W-1163	+	EWS79_RS04275
TU1W2W-993	-	EWS79_RS08365
TU1W2W-998	-	EWS79_RS08410
TU1W2W-766	-	EWS79_RS06555
TU1W2W-195	+	EWS79_RS01520 // EWS79_RS01515
TU1W2W-607	-	EWS79_RS05285
TU1W2W-268	+	EWS79_RS02200 // EWS79_RS02195
TU1W2W-150	-	EWS79_RS01180
TU1W2W-222	+	EWS79_RS01750
TU1W2W-972	+	EWS79_RS08155 // EWS79_RS08150 // EWS79_RS08145 // EWS79_RS08140 // EWS79_RS08135
TU1W2W-180	+	EWS79_RS01415
TU1W2W-482	+	EWS79_RS04095
TU1W2W-1101	-	EWS79_RS07555
TU1W2W-973	+	EWS79_RS08205 // EWS79_RS08200 // EWS79_RS08195 // EWS79_RS08190 // EWS79_RS08185 // EWS79_RS08180 // EWS79_RS08175 // EWS79_RS08170 // EWS79_RS08165
TU1W2W-982	-	EWS79_RS08260
TU1W2W-793	-	EWS79_RS06765 // EWS79_RS06760
TU1W2W-231	-	EWS79_RS01850
TU1W2W-790	+	EWS79_RS06740
TU1W2W-464	-	EWS79_RS03990
TU1W2W-672	-	EWS79_RS05810
TU1W2W-848	-	EWS79_RS07165 // EWS79_RS07160
TU1W2W-703	-	EWS79_RS06045
TU1W2W-341	+	EWS79_RS02925
TU1W2W-311	-	EWS79_RS02625 // EWS79_RS02620
TU1W2W-958	+	EWS79_RS07995
TU1W2W-453	-	EWS79_RS03910
TU1W2W-397	-	EWS79_RS03350
TU1W2W-1167	-	EWS79_RS04195
TU1W2W-850	+	EWS79_RS07185 // EWS79_RS07180
TU1W2W-984	-	EWS79_RS08280 // EWS79_RS08275 // EWS79_RS08270
TU1W2W-872	+	EWS79_RS07395
TU1W2W-547	-	EWS79_RS04710 // EWS79_RS04705
TU1W2W-459	-	EWS79_RS03960 // EWS79_RS03955
TU1W2W-922	-	EWS79_RS07760 // EWS79_RS07755
TU1W2W-208	+	EWS79_RS01610 // EWS79_RS01605
TU1W2W-496	-	EWS79_RS04250
TU1W2W-356	-	EWS79_RS03045
TU1W2W-1233	-	EWS79_RS01070
TU1W2W-44	+	EWS79_RS00380
TU1W2W-522	+	EWS79_RS04505 // EWS79_RS04500
TU1W2W-1035	-	EWS79_RS08760 // EWS79_RS08755 // EWS79_RS08750
TU1W2W-1040	+	EWS79_RS08835 // EWS79_RS08830
TU1W2W-374	+	EWS79_RS03185 // EWS79_RS03180
TU1W2W-1159	+	EWS79_RS04415
TU1W2W-571	+	EWS79_RS04970
TU1W2W-660	-	EWS79_RS05700 // EWS79_RS05695
TU1W2W-1	+	EWS79_RS00010 // EWS79_RS00005
TU1W2W-964	+	EWS79_RS08055
TU1W2W-1231	-	EWS79_RS01210
TU1W2W-484	+	EWS79_RS04110
TU1W2W-1129	+	EWS79_RS06110
TU1W2W-359	-	EWS79_RS03060
TU1W2W-112	-	EWS79_RS00895
TU1W2W-852	+	EWS79_RS07195
TU1W2W-619	-	EWS79_RS05390
TU1W2W-306	-	EWS79_RS02555
TU1W2W-85	-	EWS79_RS00650
TU1W2W-891	+	EWS79_RS07530
TU1W2W-487	-	EWS79_RS04150
TU1W2W-775	-	EWS79_RS06610 // EWS79_RS06605
TU1W2W-358	-	EWS79_RS03055
TU1W2W-90	-	EWS79_RS00690
TU1W2W-939	-	EWS79_RS07875
TU1W2W-629	+	EWS79_RS05450
TU1W2W-361	-	EWS79_RS03075
TU1W2W-442	+	EWS79_RS03815
TU1W2W-330	+	EWS79_RS02855 // EWS79_RS02850 // EWS79_RS02845 // EWS79_RS02840 // EWS79_RS02835 // EWS79_RS02830 // EWS79_RS02825 // EWS79_RS02820 // EWS79_RS02815
TU1W2W-101	+	EWS79_RS00800
TU1W2W-1245	-	EWS79_RS00755
TU1W2W-418	-	EWS79_RS03565
TU1W2W-511	-	EWS79_RS04420
TU1W2W-1184	-	EWS79_RS03430
TU1W2W-1185	+	EWS79_RS03425
TU1W2W-636	-	EWS79_RS05500
TU1W2W-836	+	EWS79_RS07085
TU1W2W-596	+	EWS79_RS05190
TU1W2W-764	-	EWS79_RS06545
TU1W2W-668	-	EWS79_RS05770
TU1W2W-692	+	EWS79_RS05980
TU1W2W-1120	+	EWS79_RS06425
TU1W2W-527	-	EWS79_RS04560
TU1W2W-760	-	EWS79_RS06520 // EWS79_RS06515 // EWS79_RS06510 // EWS79_RS06505 // EWS79_RS06500
TU1W2W-260	+	EWS79_RS02115
TU1W2W-422	+	EWS79_RS03600
TU1W2W-658	+	EWS79_RS05665
TU1W2W-719	+	EWS79_RS06155
TU1W2W-919	-	EWS79_RS07735
TU1W2W-209	+	EWS79_RS01620 // EWS79_RS01615
TU1W2W-276	+	EWS79_RS02300 // EWS79_RS02295 // EWS79_RS02290
TU1W2W-1125	+	EWS79_RS06335
TU1W2W-135	+	EWS79_RS01095 // EWS79_RS01090 // EWS79_RS01085 // EWS79_RS01080
TU1W2W-1161	+	EWS79_RS04405
TU1W2W-1065	-	EWS79_RS09045
TU1W2W-840	-	EWS79_RS07115
TU1W2W-315	+	EWS79_RS02650
TU1W2W-1246	+	EWS79_RS00720
TU1W2W-1207	+	EWS79_RS02390
TU1W2W-136	+	EWS79_RS01100
TU1W2W-57	+	EWS79_RS00485
TU1W2W-968	-	EWS79_RS08080
TU1W2W-1000	-	EWS79_RS08430 // EWS79_RS08425 // EWS79_RS08420
TU1W2W-197	+	EWS79_RS01530
TU1W2W-1173	-	EWS79_RS04125
TU1W2W-548	-	EWS79_RS04720
